symbol,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,worst_year_r,worst_2y_r,is_trades,is_r,oos_trades,oos_r,direction,h4,retrace,hours,recovery,body,score
AUDJPY,32,53.125,8.61018181989772,0.26906818187180376,1.5539673070738176,5.22432252692384,5,-1.6678152060381615,-2.7238142926124747,32,8.61018181989772,0,0.0,long,any,r50_764,none,rec25_85,ge45,28.754930125528766
AUDJPY,28,50.0,6.08211080750687,0.21721824312524537,1.4436170531434316,2.4192301614114564,3,-1.0609859614757011,-1.2345521148598233,28,6.08211080750687,0,0.0,long,not_oppose,r50_886,none,rec25_85,ge45,26.782325180405277
AUDJPY,33,51.515151515151516,7.537133943162793,0.22839799827766039,1.4536122015380326,5.22432252692384,5,-1.6678152060381615,-2.7238142926124747,33,7.537133943162793,0,0.0,long,any,r50_786,none,rec25_85,ge45,24.116916211983934
AUDJPY,30,50.0,6.3379506872364875,0.2112650229078829,1.4075219498276677,4.170826160508369,4,-2.067676260795856,-3.123675347370169,30,6.3379506872364875,0,0.0,long,any,r50_886,ex_1_6_11_14,rec25_85,any,21.553044034239132
AUDJPY,27,51.85185185185185,4.890616088738106,0.18113392921252244,1.3596041560667167,4.377577629389364,4,-1.0619081874820917,-2.095281758792713,26,4.692747031355195,1,0.1978690573829113,long,not_oppose,r50_786,none,any,ge45,20.010920745775014
AUDJPY,34,50.0,6.47614798168709,0.19047494063785558,1.3663643663953156,5.22432252692384,5,-2.1187684996018494,-2.7238142926124747,34,6.47614798168709,0,0.0,long,any,r50_800,none,rec25_85,ge45,19.8090089270287
AUDJPY,44,47.72727272727273,7.0345055774512435,0.15987512676025553,1.3059510462890798,5.044766716902318,5,-2.1187684996018494,-1.7797625407930224,44,7.0345055774512435,0,0.0,long,any,r50_886,none,rec25_85,ge45,18.85687453407332
AUDJPY,40,50.0,7.814682752890571,0.19536706882226426,1.3769109534832964,5.22432252692384,5,-2.7073153004083834,-3.7633143869826964,39,8.860010920685406,1,-1.0453281677948365,long,any,r50_764,none,rec25_85,any,16.611410631744462
CHFJPY,28,50.0,3.9462552984307564,0.14093768922966987,1.2785429666498378,6.145774753527042,4,-3.196257421076836,-2.815254906432738,23,3.5886815050677967,5,0.35757379336296014,long,not_oppose,r50_800,ex_1,any,ge45,13.340730733067435
CHFJPY,26,50.0,3.5042460521976757,0.1347786943152952,1.2666960781293348,5.662710277705704,4,-3.196257421076836,-2.815254906432738,21,3.1466722588347156,5,0.35757379336296014,long,not_oppose,r50_764,ex_1,any,ge45,12.778015637588721
CHFJPY,26,50.0,3.5042460521976757,0.1347786943152952,1.2666960781293348,5.662710277705704,4,-3.196257421076836,-2.815254906432738,21,3.1466722588347156,5,0.35757379336296014,long,not_oppose,r50_786,ex_1,any,ge45,12.778015637588721
CHFJPY,29,48.275862068965516,4.0297820807938205,0.13895800278599382,1.264286149584191,5.662710277705704,4,-3.196257421076836,-3.841858915514959,25,2.642906875155587,4,1.3868752056382339,long,not_oppose,r50_786,ex_1,rec25_85,any,11.270423420524942
CHFJPY,29,48.275862068965516,4.0297820807938205,0.13895800278599382,1.264286149584191,5.662710277705704,4,-3.196257421076836,-3.841858915514959,25,2.642906875155587,4,1.3868752056382339,long,not_oppose,r50_800,ex_1,rec25_85,any,11.270423420524942
CHFJPY,34,47.05882352941176,3.777901790959578,0.11111475855763464,1.2056494105750306,6.299940370590766,5,-3.196257421076836,-3.841858915514959,29,3.4153180177785583,5,0.3625837731810204,long,not_oppose,r50_886,ex_1,rec25_85,any,8.037799362677392
CHFJPY,33,48.484848484848484,3.7044711198017044,0.11225670060005165,1.2142515689372873,8.244278165674496,4,-3.196257421076836,-2.815254906432738,27,4.371188758895959,6,-0.666717639094254,long,not_oppose,r50_886,ex_1,any,ge45,8.011307093951462
CHFJPY,28,46.42857142857143,2.633036474744877,0.09403701695517418,1.1722501525670443,6.387471879205897,4,-3.196257421076836,-2.815254906432738,24,1.2461612691066433,4,1.3868752056382339,long,not_oppose,r50_764,none,rec25_85,ge45,7.913523049020517
EURJPY,30,50.0,6.410378065502757,0.2136792688500919,1.4125029271347644,4.178626151548416,4,-2.0792770914267655,-2.749323776790507,27,4.4849203887234745,3,1.9254576767792813,long,not_oppose,r50_764,ex_1_6_14,any,any,22.570754760465018
EURJPY,30,50.0,6.410378065502757,0.2136792688500919,1.4125029271347644,4.178626151548416,4,-2.0792770914267655,-2.749323776790507,27,4.4849203887234745,3,1.9254576767792813,long,not_oppose,r50_764,ex_1_6_11_14,any,any,22.570754760465018
EURJPY,25,48.0,4.146817601188761,0.16587270404755045,1.3079442470777594,4.394162895702976,4,-2.0792770914267655,-2.0792770914267655,22,2.22135992440948,3,1.9254576767792813,long,not_oppose,r50_764,ex_1_6_14,any,ge45,18.09166752124229
EURJPY,25,48.0,4.146817601188761,0.16587270404755045,1.3079442470777594,4.394162895702976,4,-2.0792770914267655,-2.0792770914267655,22,2.22135992440948,3,1.9254576767792813,long,not_oppose,r50_764,ex_1_6_11_14,any,ge45,18.09166752124229
EURJPY,25,48.0,4.146817601188761,0.16587270404755045,1.3079442470777594,4.394162895702976,4,-2.0792770914267655,-2.0792770914267655,22,2.22135992440948,3,1.9254576767792813,long,not_oppose,r50_786,ex_1_6_14,any,ge45,18.09166752124229
