symbol,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,worst_year_r,worst_2y_r,is_trades,is_r,oos_trades,oos_r,direction,h4,retrace,hours,recovery,body,score,verdict
USDJPY,26,69.23076923076923,18.532128822452375,0.7127741854789374,3.3345999383806153,3.1109783042280323,3,-1.04735186632548,-0.6159909832053208,24,15.562710718868859,2,2.9694181035835143,both,any,r50_618,ex_1_6,any,any,88.01159920793314,research_candidate
GBPJPY,26,61.53846153846154,13.748313710362213,0.5287812965523928,2.445474884690322,2.2027924718158776,3,-2.112783439177857,-2.2027924718158776,23,15.95110618217809,3,-2.2027924718158776,long,any,r50_618,ex_1_6,rec25_85,ge45,57.27264929690341,research_candidate
SILVER,30,60.0,8.835032378765348,0.2945010792921783,1.6021621354095603,6.902628522256647,3,-2.90747780212763,-3.2006465124288566,24,5.129927207426182,6,3.7051051713391643,short,not_oppose,r50_800,ex_1_6_11_14,rec25_85,any,29.702855421448067,weak_candidate
AUDJPY,32,53.125,8.61018181989772,0.26906818187180376,1.5539673070738176,5.22432252692384,5,-1.6678152060381615,-2.7238142926124747,32,8.61018181989772,0,0.0,long,any,r50_764,none,rec25_85,ge45,28.754930125528766,weak_candidate
EURJPY,30,50.0,6.410378065502757,0.2136792688500919,1.4125029271347644,4.178626151548416,4,-2.0792770914267655,-2.749323776790507,27,4.4849203887234745,3,1.9254576767792813,long,not_oppose,r50_764,ex_1_6_14,any,any,22.570754760465018,weak_candidate
XAUUSD,29,48.275862068965516,4.63985126224933,0.15999487111204586,1.2972404102064012,6.718248933237079,5,-1.65788172972457,-1.8343581651128247,27,4.152736286733249,2,0.4871149755160822,short,not_oppose,r50_764,none,any,ge45,17.115000452927468,weak_candidate
CHFJPY,28,50.0,3.9462552984307564,0.14093768922966987,1.2785429666498378,6.145774753527042,4,-3.196257421076836,-2.815254906432738,23,3.5886815050677967,5,0.35757379336296014,long,not_oppose,r50_800,ex_1,any,ge45,13.340730733067435,weak_candidate
