symbol,preset,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,worst_year_r,worst_2y_r,is_trades,is_r,oos_trades,oos_r,direction,h4,retrace,hours,recovery,body
USDJPY,a_plus_shallow,25,68.0,17.04573562783832,0.6818294251135327,3.1473503517950125,3.1109783042280323,3,-1.04735186632548,-0.6159909832053208,24,15.562710718868859,1,1.4830249089694585,both,any,r50_618,ex_1_6_14,any,any
GBPJPY,a_plus_shallow,49,46.93877551020408,7.111199470733033,0.14512651981087824,1.2700926476190544,7.2603958157159365,7,-3.1226877196282343,-4.165950767032754,46,9.313991942548911,3,-2.2027924718158776,both,any,r50_618,ex_1_6_14,any,any
EURJPY,a_plus_shallow,34,47.05882352941176,4.861019174734304,0.14297115219806777,1.2603830123396274,4.78612066697217,4,-2.7172101793094887,-3.752689710858315,33,3.3822570555855576,1,1.4787621191487466,both,any,r50_618,ex_1_6_14,any,any
XAUUSD,a_plus_shallow,52,42.30769230769231,0.331715695769055,0.00637914799555875,1.0105342092078617,8.495536885298254,7,-4.188749328789897,-6.237548861831886,50,-0.14879301257276434,2,0.48050870834181936,both,any,r50_618,ex_1_6_14,any,any
AUDJPY,a_plus_shallow,26,34.61538461538461,-4.511645117469037,-0.17352481221034757,0.7443705596455358,7.589807503242306,5,-3.107176355166078,-5.2061121272658255,26,-4.511645117469037,0,0.0,both,any,r50_618,ex_1_6_14,any,any
SILVER,a_plus_shallow,50,44.0,-5.522804513158663,-0.11045609026317325,0.8363448850925156,8.925401317157139,5,-3.581480497654188,-5.168255502091403,45,-7.6847977765015925,5,2.1619932633429273,both,any,r50_618,ex_1_6_14,any,any
CHFJPY,a_plus_shallow,38,34.21052631578947,-6.709725747382802,-0.17657173019428427,0.7344414483228847,9.400731058419156,6,-5.223342487343855,-6.873078103956118,35,-4.158295600647844,3,-2.5514301467349565,both,any,r50_618,ex_1_6_14,any,any
USDJPY,base,145,48.275862068965516,24.425891686437645,0.1684544254237079,1.3180068286520816,17.709794142987956,10,-6.5116469435193585,-10.564071891918532,134,13.130744269431556,11,11.29514741700609,both,any,r50_886,none,any,any
XAUUSD,base,180,43.333333333333336,6.149362032404271,0.03416312240224595,1.0582668734017946,14.633608336695438,14,-10.215504428991597,-11.263602449296364,166,4.226783564382794,14,1.9225784680214737,both,any,r50_886,none,any,any
EURJPY,base,146,41.0958904109589,-1.89480342311001,-0.012978105637739793,0.9787209339754896,12.30327950254768,7,-9.993854616056877,-9.336076160289238,130,-2.945990191831126,16,1.0511867687211165,both,any,r50_886,none,any,any
