symbol,event_type,events,median_mfe_48_atr,median_mae_48_atr,median_fwd_48_atr,pct_mfe48_ge_3,pct_hit_1atr_first_24,pct_mae48_ge_2
GBPJPY,E3_break_fail_long_trap,146,2.98,3.68,-1.17,50.0,49.3,71.2
CHFJPY,E3_break_fail_long_trap,131,3.03,3.26,-0.2,50.4,54.2,66.4
USDJPY,E3_break_fail_long_trap,127,2.86,3.45,-1.16,48.8,48.0,70.1
EURJPY,E3_break_fail_long_trap,126,2.93,3.5,-0.35,49.2,47.6,63.5
XAUUSD,E3_break_fail_long_trap,114,3.03,3.25,-0.32,50.9,54.4,65.8
AUDJPY,E3_break_fail_long_trap,114,2.81,3.24,-0.34,46.5,39.5,71.1
CHFJPY,E4_range_break_up,97,3.76,2.24,0.72,60.8,52.6,56.7
GBPJPY,E4_range_break_up,87,3.24,2.69,0.99,52.9,54.0,59.8
SILVER,E3_break_fail_long_trap,85,3.58,2.9,0.81,60.0,43.5,62.4
GBPJPY,RANDOM_H4_BAR,81,3.63,2.96,1.22,61.7,46.9,63.0
AUDJPY,E4_range_break_up,81,2.98,2.69,0.26,49.4,44.4,61.7
USDJPY,RANDOM_H4_BAR,77,3.84,3.0,1.09,64.9,53.2,61.0
CHFJPY,RANDOM_H4_BAR,75,3.07,3.26,-0.68,50.7,45.3,73.3
EURJPY,E4_range_break_up,74,3.71,3.06,1.09,54.1,55.4,60.8
EURJPY,RANDOM_H4_BAR,74,3.29,2.8,0.64,55.4,43.2,67.6
CHFJPY,E4_range_break_down,73,3.01,3.24,-0.54,50.7,38.4,57.5
USDJPY,E4_range_break_up,72,3.33,3.54,-0.26,54.2,52.8,69.4
AUDJPY,RANDOM_H4_BAR,68,2.64,2.55,0.23,47.1,51.5,57.4
USDJPY,E4_range_break_down,66,3.05,3.78,-0.29,50.0,43.9,65.2
GBPJPY,E4_range_break_down,65,3.27,3.68,-0.76,55.4,53.8,67.7
EURJPY,E4_range_break_down,61,3.58,3.52,-0.89,52.5,57.4,62.3
XAUUSD,RANDOM_H4_BAR,61,2.97,2.94,0.05,49.2,45.9,65.6
AUDJPY,E4_range_break_down,59,3.04,3.06,-0.56,50.8,55.9,62.7
SILVER,E4_range_break_up,55,2.96,3.08,0.52,49.1,41.8,65.5
USDJPY,E2_v_reaccel,52,3.99,2.76,1.66,61.5,55.8,63.5
SILVER,E4_range_break_down,52,3.27,2.83,1.31,55.8,44.2,55.8
SILVER,RANDOM_H4_BAR,51,2.71,2.67,0.44,47.1,51.0,62.7
XAUUSD,E4_range_break_up,49,3.72,3.09,-0.78,63.3,55.1,67.3
GBPJPY,E2_v_reaccel,46,3.41,2.16,0.84,54.3,58.7,52.2
EURJPY,E2_v_reaccel,46,3.23,3.04,-0.38,54.3,56.5,63.0
XAUUSD,E4_range_break_down,46,2.55,2.76,-0.72,43.5,43.5,63.0
AUDJPY,E2_v_reaccel,42,2.19,2.6,0.44,42.9,47.6,66.7
CHFJPY,E2_v_reaccel,39,2.43,3.26,-0.44,38.5,48.7,69.2
EURJPY,E3b_d1_break_fail_long,38,2.41,3.68,-1.99,44.7,50.0,78.9
XAUUSD,E2_v_reaccel,36,2.7,3.84,-0.92,41.7,44.4,75.0
USDJPY,E1_short_squeeze_cascade,35,3.86,2.83,0.44,51.4,45.7,68.6
USDJPY,E3b_d1_break_fail_long,32,3.33,3.97,-1.36,56.2,43.8,81.2
XAUUSD,E3b_d1_break_fail_long,32,3.04,2.68,-0.63,50.0,56.2,62.5
GBPJPY,E1_short_squeeze_cascade,29,2.87,3.56,-0.83,41.4,55.2,75.9
CHFJPY,E3b_d1_break_fail_long,28,2.46,4.2,-1.39,35.7,46.4,64.3
GBPJPY,E3b_d1_break_fail_long,27,2.98,3.3,-0.16,48.1,63.0,74.1
EURJPY,E1_short_squeeze_cascade,26,3.77,1.93,2.46,57.7,57.7,50.0
SILVER,E2_v_reaccel,26,3.74,3.53,0.56,61.5,57.7,61.5
XAUUSD,E1_short_squeeze_cascade,24,5.31,1.36,2.98,70.8,58.3,41.7
AUDJPY,E1_short_squeeze_cascade,24,2.59,2.55,-0.25,45.8,45.8,62.5
AUDJPY,E3b_d1_break_fail_long,21,3.77,2.87,-0.12,66.7,42.9,57.1
SILVER,E1_short_squeeze_cascade,19,3.09,3.09,0.71,52.6,47.4,52.6
SILVER,E3b_d1_break_fail_long,19,2.69,1.52,1.3,47.4,68.4,36.8
CHFJPY,E1_short_squeeze_cascade,8,3.55,2.0,3.37,50.0,37.5,50.0
GBPJPY,E1_chain_second_shelf,5,2.77,4.94,-0.77,20.0,80.0,80.0
USDJPY,E1_chain_second_shelf,4,3.61,5.33,0.85,50.0,25.0,75.0
XAUUSD,E1_chain_second_shelf,4,3.36,3.17,2.43,50.0,50.0,50.0
AUDJPY,E1_chain_second_shelf,3,1.82,6.47,-4.22,33.3,66.7,66.7
SILVER,E1_chain_second_shelf,2,3.34,1.69,0.64,100.0,100.0,0.0
CHFJPY,E1_chain_second_shelf,1,4.55,1.85,4.18,100.0,0.0,0.0
EURJPY,E1_chain_second_shelf,1,1.55,2.93,-0.2,0.0,0.0,100.0
