symbol,timeframe,event_type,loser_cohort,cascade_direction,signal_time,period,year,atr_signal,signal_kind,shelf_high,shelf_low,shelf_range_atr,sharp_drop_atr,signal_range_atr,body_ratio,close_location,lower_wick_ratio,d1_ema50_prev,sqz_variant,mfe_12_atr,mae_12_atr,fwd_12_atr,hit_3atr_12,hit_1atr_first_12,mfe_24_atr,mae_24_atr,fwd_24_atr,hit_3atr_24,hit_1atr_first_24,mfe_48_atr,mae_48_atr,fwd_48_atr,hit_3atr_48,hit_1atr_first_48,mfe_72_atr,mae_72_atr,fwd_72_atr,hit_3atr_72,hit_1atr_first_72,parent_event,pair_key,v_start_i,v_extreme_i,v_start,v_extreme,drop,drop_atr,drop_bars,recovery_bars_at_context,recovery_ratio_at_context,drop_speed,recovery_speed_at_context,speed_ratio_at_context,context_i,shelf_hold_level,risk_atr,entry_close,ema20_gt_50,don20_break,don55_break,dormant120_break,dormant360_break,dormant1250_break,dormant_break_key,dormant_high_level,dormant_break_atr,recent_dormant_break_key,bars_since_dormant_break,recent_dormant_high_level,nearest_overhead_key,nearest_overhead_level,nearest_overhead_room_atr,pre_calm,trap_level,break_time,break_extreme,fail_bars,break_depth_atr,reclaim_atr,range_atr,activity_ratio,atr_expansion_20,lower_wick_atr,upper_wick_atr,ema50_slope_20_atr,range60_atr,don_lookback,fail_window,adx14,box_range_atr,touches_high,touches_low
XAUUSD,H4,E1_short_squeeze_cascade,shorts_and_late_sellers,up,2016-08-26 08:00:00,Research_2015_2024,2016,4.091103375682063,short_squeeze,1326.908,1318.009,2.1752078065043414,3.2152695231777124,0.9960638062147885,0.8704294478527572,0.9055214723926414,0.035092024539884054,1329.9750179670928,E1_SQZ_DEFAULT,3.5252103590747352,3.145117299279878,-1.7811820750643235,True,False,3.5252103590747352,5.715084135731975,-5.506338493889653,True,False,6.066578553728717,6.180973120921009,5.842433643225927,True,False,6.066578553728717,6.180973120921009,0.4768884628036939,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XAUUSD,H4,E1_short_squeeze_cascade,shorts_and_late_sellers,up,2017-07-04 20:00:00,Research_2015_2024,2017,4.130645488260061,short_squeeze,1226.488,1218.489,1.9365012133659083,3.918031708602789,0.9582037507815933,0.7857503789793432,0.8110156644770472,0.025265285497704064,1253.6086066585576,E1_SQZ_DEFAULT,0.6030534469926785,2.230159917180482,-0.9390784106321532,False,False,0.6030534469926785,5.2798043458303425,-3.0438341987310507,False,False,1.5050916418921825,5.2798043458303425,0.37693866598459086,False,False,5.052721193169083,5.2798043458303425,4.679898106710349,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XAUUSD,H4,E1_chain_second_shelf,shorts_still_trapped,up,2017-07-05 00:00:00,Research_2015_2024,2017,4.101313667670059,,,,,,,,,,,E1_SQZ_DEFAULT,0.3611038120967093,2.4923721588471093,-1.6897025103512677,False,False,0.3611038120967093,5.563827068355723,-3.414271897900267,False,False,1.269593213766056,5.563827068355723,0.20725066865777933,False,False,4.842594741426553,5.563827068355723,3.9077723136218747,True,False,2017-07-04 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XAUUSD,H4,E1_short_squeeze_cascade,shorts_and_late_sellers,up,2018-04-02 00:00:00,Research_2015_2024,2018,4.563657141231372,short_squeeze,1328.269,1321.178,1.5537977066538773,3.93609761734931,1.0013898631234277,0.5862144420131564,0.7803063457330592,0.19409190371990284,1327.0024488498486,E1_SQZ_DEFAULT,3.39508414425263,0.20312656523311542,1.16573174438001,True,True,4.145797857832733,1.437662777232565,0.21057673051677028,True,True,7.860800864264851,2.1138748379763186,5.171291196873771,True,True,7.860800864264851,2.1138748379763186,3.938507964941066,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XAUUSD,H4,E1_short_squeeze_cascade,shorts_and_late_sellers,up,2018-06-19 00:00:00,Research_2015_2024,2018,4.17044440739244,short_squeeze,1282.342,1277.009,1.278760601759113,4.686790684789613,0.8131027940305985,0.7401946328516468,0.9436744323208415,0.20347979946919464,1303.5657901484904,E1_SQZ_DEFAULT,0.06234347580299129,4.5503543858208175,-4.279879613875486,False,False,0.06234347580299129,5.374966744614992,-3.088399878240626,False,False,0.06234347580299129,9.075771381320429,-8.452096840691224,False,False,0.06234347580299129,10.986598914682135,-6.464538875571947,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XAUUSD,H4,E1_short_squeeze_cascade,shorts_and_late_sellers,up,2019-05-03 12:00:00,Research_2015_2024,2019,4.271725923914026,short_squeeze,1272.955,1266.195,1.5824985311337696,3.3319085197673446,3.3241833050443237,0.5992957746478847,0.7828873239436568,0.183591549295772,1289.8392153516997,E1_SQZ_DEFAULT,1.4848799087250935,0.5735386688280788,0.17089111356918374,False,True,2.816191912653732,0.5735386688280788,0.7093151700200125,False,True,5.585564342137816,0.5735386688280788,4.015472974044026,True,True,5.585564342137816,1.35238077135501,-0.8982317846095066,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XAUUSD,H4,E1_short_squeeze_cascade,shorts_and_late_sellers,up,2019-11-06 16:00:00,Research_2015_2024,2019,5.774655873849194,short_squeeze,1489.748,1479.275,1.813614564882981,3.622207185491962,1.4650223640704811,0.27458628841605853,0.6217494089834478,0.34716312056738924,1495.8821181502076,E1_SQZ_DEFAULT,0.2129997054145048,6.026333128800527,-5.034585719931527,False,False,0.2129997054145048,7.857264742904183,-6.765771130524038,False,False,0.2129997054145048,7.857264742904183,-5.491755819357792,False,False,0.2129997054145048,7.857264742904183,-3.4067830931865783,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XAUUSD,H4,E1_short_squeeze_cascade,shorts_and_late_sellers,up,2019-12-10 08:00:00,Research_2015_2024,2019,3.9889162777365534,short_squeeze,1465.318,1459.085,1.5625798001297644,3.627551693867788,1.2141142262198987,0.8616559983481185,0.8616559983481185,0.0,1474.6623017242548,E1_SQZ_DEFAULT,3.118641539164851,1.0303550422803192,2.059958000588246,True,False,5.089101547029483,1.1933065696482796,2.7067502169101956,True,False,5.089101547029483,1.1933065696482796,2.9807594775458384,True,False,11.905489284159017,1.1933065696482796,11.647273786945215,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XAUUSD,H4,E1_short_squeeze_cascade,shorts_and_late_sellers,up,2021-01-12 04:00:00,Research_2015_2024,2021,15.00834091327622,short_squeeze,1855.346,1826.998,1.8888163697643365,3.2901038352826704,0.8688501997222703,0.7513036809815992,0.8279907975460166,0.07668711656441739,1875.7093036159786,E1_SQZ_DEFAULT,0.28870612848134053,2.057988966167315,-1.1500271815342347,False,False,0.28870612848134053,3.7617082611748653,-2.090171070957638,False,False,1.0334253525837762,3.7617082611748653,0.14018871320672532,False,False,1.0334253525837762,3.7617082611748653,-1.305140928846614,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XAUUSD,H4,E1_short_squeeze_cascade,shorts_and_late_sellers,up,2021-03-31 12:00:00,Research_2015_2024,2021,9.515806166633562,short_squeeze,1690.448,1677.788,1.3304180201138809,3.9376590216166294,2.775382299463442,0.8792124195380596,0.9772813328284774,0.09806891329041774,1758.6704834371067,E1_SQZ_DEFAULT,2.3568155558525823,0.252211946941028,1.7641174805412023,False,True,3.917692242483817,0.252211946941028,2.7753822994634656,True,True,5.309797101287021,0.252211946941028,2.0492220688957747,True,True,7.956236042876881,0.252211946941028,7.271060253687117,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
