name,trades,WR_%,PF,avg_R,total_R,max_DD_R,Calmar,MaxConsecLoss,trades_per_yr
ALL (全8通貨),728,40.8,1.646,0.382,278.36,16.4,16.98,10,73.9
EXCL_CHF_AUD (6通貨),476,44.5,1.971,0.538,256.3,13.33,19.22,11,48.3
TOP5 (PF>1.6),433,45.3,1.993,0.543,235.3,11.33,20.76,9,44.0
TOP3 (高Calmar),268,47.0,2.264,0.67,179.47,6.76,26.53,5,27.2
GOLD_ONLY (XAUUSD),137,48.2,2.617,0.838,114.83,7.0,16.4,7,13.9
