month,trades,monthly_R,cum_R,peak,dd_R
2015-02,3,-1.6800000000000235,-1.6800000000000235,-1.6800000000000235,0.0
2015-03,8,8.000000000000004,6.31999999999998,6.31999999999998,0.0
2015-04,5,0.17906917813993584,6.499069178139916,6.499069178139916,0.0
2015-05,7,2.78534588984792,9.284415067987837,9.284415067987837,0.0
2015-06,7,-2.9999999999999876,6.284415067987849,9.284415067987837,2.9999999999999876
2015-07,1,-0.9999999999999998,5.284415067987849,9.284415067987837,3.9999999999999876
2015-08,6,3.4723745255166087,8.756789593504458,9.284415067987837,0.5276254744833793
2015-09,2,-2.0000000000000027,6.756789593504455,9.284415067987837,2.527625474483382
2015-10,3,-3.000000000000008,3.756789593504447,9.284415067987837,5.52762547448339
2015-11,4,4.000000000000016,7.756789593504463,9.284415067987837,1.527625474483374
2015-12,4,3.999999999999978,11.75678959350444,11.75678959350444,0.0
2016-01,3,5.666480893282099,17.42327048678654,17.42327048678654,0.0
2016-02,6,0.4974574785200626,17.9207279653066,17.9207279653066,0.0
2016-03,10,-1.9181878159262327,16.00254014938037,17.9207279653066,1.918187815926231
2016-04,8,8.104628079763643e-15,16.002540149380376,17.9207279653066,1.918187815926224
2016-05,2,3.946605849208482,19.949145998588858,19.949145998588858,0.0
2016-06,10,-1.8326405122123974,18.11650548637646,19.949145998588858,1.8326405122123965
2016-07,1,1.243257501515399,19.35976298789186,19.949145998588858,0.5893830106969986
2016-08,6,4.587901701323284,23.947664689215145,23.947664689215145,0.0
2016-09,3,0.6235899481623217,24.571254637377468,24.571254637377468,0.0
2016-10,7,-1.3519961825990037,23.219258454778466,24.571254637377468,1.3519961825990023
2016-11,10,9.23292819113862,32.45218664591709,32.45218664591709,0.0
2016-12,4,-1.5429846021010565,30.90920204381603,32.45218664591709,1.5429846021010576
2017-01,4,-0.31360549251043945,30.59559655130559,32.45218664591709,1.856590094611498
2017-02,8,-7.993605777301127e-15,30.595596551305583,32.45218664591709,1.856590094611505
2017-03,5,-0.9999999999999729,29.59559655130561,32.45218664591709,2.8565900946114766
2017-04,5,12.908785113665488,42.5043816649711,42.5043816649711,0.0
2017-05,5,-0.99999999999999,41.504381664971106,42.5043816649711,0.9999999999999929
2017-06,5,4.300648100022507,45.80502976499361,45.80502976499361,0.0
2017-07,6,3.1207696751774083,48.92579944017102,48.92579944017102,0.0
2017-08,8,4.781502044165711,53.70730148433673,53.70730148433673,0.0
2017-09,8,2.096426900011823,55.80372838434855,55.80372838434855,0.0
2017-11,11,-1.1989271345552028,54.60480124979335,55.80372838434855,1.1989271345552055
2017-12,5,-1.0000000000000138,53.60480124979333,55.80372838434855,2.1989271345552197
2018-01,10,1.936451063622993,55.54125231341632,55.80372838434855,0.26247607093223024
2018-02,3,1.000000000000015,56.54125231341634,56.54125231341634,0.0
2018-03,8,-8.000000000000002,48.54125231341634,56.54125231341634,8.0
2018-04,8,-5.333022862918043,43.208229450498294,56.54125231341634,13.333022862918043
2018-05,4,3.9999999999999503,47.208229450498244,56.54125231341634,9.333022862918092
2018-06,7,1.2827928025447815,48.49102225304303,56.54125231341634,8.050230060373309
2018-07,4,-0.06776697884801164,48.423255274195014,56.54125231341634,8.117997039221322
2018-08,7,1.0000000000000315,49.42325527419504,56.54125231341634,7.117997039221294
2018-09,11,7.751508991376848,57.17476426557189,57.17476426557189,0.0
2018-10,6,1.999999999999927,59.17476426557182,59.17476426557182,0.0
2018-11,8,-1.6882536003882567,57.48651066518356,59.17476426557182,1.6882536003882578
2018-12,5,4.600380425384785,62.08689109056834,62.08689109056834,0.0
2019-01,6,5.72744535358136,67.8143364441497,67.8143364441497,0.0
2019-02,9,-3.616346676410351,64.19798976773936,67.8143364441497,3.6163466764103447
2019-03,5,4.7750601261514145,68.97304989389077,68.97304989389077,0.0
2019-04,4,5.450261780104684,74.42331167399546,74.42331167399546,0.0
2019-05,7,8.30341356966313,82.72672524365859,82.72672524365859,0.0
2019-06,3,5.000000000000007,87.72672524365859,87.72672524365859,0.0
2019-07,9,4.118625185632679,91.84535042929127,91.84535042929127,0.0
2019-08,11,12.97779609157208,104.82314652086335,104.82314652086335,0.0
2019-09,7,0.9265240491922997,105.74967057005564,105.74967057005564,0.0
2019-10,5,-1.0000000000000124,104.74967057005563,105.74967057005564,1.0000000000000142
2019-11,5,3.0000000000000107,107.74967057005564,107.74967057005564,0.0
2019-12,10,12.633561820337007,120.38323239039265,120.38323239039265,0.0
2020-01,7,-3.8477157360405725,116.53551665435208,120.38323239039265,3.84771573604057
2020-02,6,18.327715997589188,134.86323265194127,134.86323265194127,0.0
2020-03,3,3.329144823949359,138.19237747589062,138.19237747589062,0.0
2020-04,4,-1.7285121213674204,136.4638653545232,138.19237747589062,1.7285121213674302
2020-05,9,-0.03131105083263863,136.43255430369055,138.19237747589062,1.759823172200072
2020-06,1,-1.0,135.43255430369055,138.19237747589062,2.759823172200072
2020-07,12,32.607182829332054,168.0397371330226,168.0397371330226,0.0
2020-08,5,-0.3662984338882165,167.6734386991344,168.0397371330226,0.36629843388820404
2020-09,5,6.999999999999967,174.67343869913438,174.67343869913438,0.0
2020-10,5,-3.338558676246449,171.33488002288794,174.67343869913438,3.3385586762464357
2020-11,4,-2.220446049250313e-15,171.33488002288794,174.67343869913438,3.3385586762464357
2020-12,4,1.8952287260206788,173.23010874890863,174.67343869913438,1.4433299502257455
2021-01,3,1.0000000000000004,174.23010874890863,174.67343869913438,0.4433299502257455
2021-02,7,3.732707586531821,177.96281633544046,177.96281633544046,0.0
