name,trades,win_rate_%,PF,avg_R,avg_win_R,avg_loss_R,total_R,max_DD_R,calmar_R,max_consec_wins,max_consec_losses,trades_per_year
XAUUSD,137,48.18,2.617,0.838,2.816,-1.0,114.83,7.0,16.404,6,7,13.9
SILVER,41,46.34,2.591,0.854,3.0,-1.0,35.0,4.0,8.75,3,4,4.2
EURJPY,110,40.0,1.459,0.276,2.189,-1.0,30.32,11.44,2.65,4,11,11.4
GBPJPY,90,45.56,1.605,0.329,1.918,-1.0,29.64,8.56,3.462,5,7,9.4
XAGUSD,55,47.27,1.88,0.464,2.097,-1.0,25.52,8.14,3.136,4,6,5.8
USDJPY,43,37.21,1.778,0.488,3.0,-1.0,21.0,8.0,2.625,3,7,4.5
CHFJPY,121,33.88,1.147,0.097,2.238,-1.0,11.74,14.73,0.797,4,12,12.3
AUDJPY,131,33.59,1.119,0.079,2.212,-1.0,10.31,17.95,0.575,4,7,13.5
