entry_time,strategy,symbol,side,r,cum_R
2016-04-05 06:00:00,TrendBreakV1,USDJPY,short,-0.999999999999998,15.002540149380375
2016-04-05 09:00:00,TrendBreakV1,AUDJPY,short,-1.0000000000000064,14.002540149380367
2016-04-07 02:00:00,TrendBreakV1,EURJPY,short,3.0000000000000036,17.002540149380373
2016-04-17 22:00:00,TrendBreakV1,EURJPY,short,-0.9999999999999992,16.002540149380373
2016-04-21 12:00:00,TrendBreakV1,XAUUSD,long,-0.9999999999999968,15.002540149380376
2016-04-29 01:00:00,TrendBreakV1,XAUUSD,long,3.000000000000003,18.00254014938038
2016-04-29 01:00:00,TrendBreakV1,USDJPY,short,-1.0000000000000069,17.002540149380373
2016-04-29 01:00:00,TrendBreakV1,CHFJPY,short,-0.9999999999999912,16.00254014938038
2016-05-10 02:00:00,SaiBest,GBPJPY,long,0.946605849208478,16.949145998588858
2016-05-24 15:00:00,TrendBreakV1,XAUUSD,short,3.000000000000004,19.94914599858886
2016-06-02 13:00:00,TrendBreakV1,CHFJPY,short,-1.000000000000014,18.949145998588847
2016-06-03 14:00:00,TrendBreakV1,AUDJPY,short,-1.000000000000013,17.949145998588833
2016-06-14 07:00:00,TrendBreakV1,AUDJPY,short,-1.0000000000000029,16.94914599858883
2016-06-15 06:00:00,SaiBest,XAGUSD,long,1.5568775039455909,18.50602350253442
2016-06-24 02:00:00,TrendBreakV1,EURJPY,short,-0.999999999999999,17.50602350253442
2016-06-24 02:00:00,TrendBreakV1,AUDJPY,short,-1.0000000000000022,16.506023502534415
2016-06-24 03:00:00,TrendBreakV1,XAUUSD,long,-1.0,15.506023502534415
2016-06-26 23:00:00,SaiBest,XAGUSD,long,-1.0,14.506023502534415
2016-06-29 02:00:00,SaiBest,XAGUSD,long,1.6093958537236626,16.115419356258077
2016-06-29 03:00:00,SaiBest,XAUUSD,long,2.0010861301183804,18.116505486376457
2016-07-05 14:00:00,SaiBest,XAUUSD,long,1.243257501515399,19.359762987891855
2016-08-16 02:00:00,TrendBreakV1,USDJPY,short,3.000000000000017,22.359762987891873
2016-08-25 12:00:00,TrendBreakV1,XAUUSD,short,-1.0000000000000149,21.35976298789186
2016-08-29 02:00:00,TrendBreakV1,GBPJPY,long,-0.999999999999982,20.359762987891877
2016-08-30 13:00:00,TrendBreakV1,USDJPY,long,2.999999999999987,23.359762987891862
2016-08-31 13:00:00,SaiBest,EURJPY,long,1.5879017013232934,24.947664689215156
2016-08-31 13:00:00,TrendBreakV1,CHFJPY,long,-1.000000000000016,23.947664689215138
2016-09-02 02:00:00,SaiBest,GBPJPY,long,1.050529500756347,24.998194189971485
2016-09-02 07:00:00,SaiBest,CHFJPY,long,0.5730604474059746,25.57125463737746
2016-09-22 12:00:00,SaiBest,XAGUSD,long,-1.0,24.57125463737746
2016-10-04 12:00:00,TrendBreakV1,XAUUSD,short,2.999999999999986,27.571254637377447
2016-10-05 14:00:00,TrendBreakV1,CHFJPY,long,-1.0000000000000049,26.571254637377443
2016-10-05 14:00:00,TrendBreakV1,USDJPY,long,-0.999999999999984,25.571254637377457
2016-10-06 23:00:00,TrendBreakV1,GBPJPY,short,-0.9999999999999948,24.57125463737746
2016-10-18 01:00:00,SaiBest,AUDJPY,long,-1.0,23.57125463737746
2016-10-26 00:00:00,TrendBreakV1,AUDJPY,long,-0.9999999999999843,22.571254637377475
2016-10-31 10:00:00,SaiBest,CHFJPY,long,0.6480038174009785,23.219258454778455
2016-11-03 03:00:00,TrendBreakV1,USDJPY,short,-0.9999999999999956,22.21925845477846
2016-11-09 03:00:00,TrendBreakV1,AUDJPY,short,-1.0000000000000024,21.219258454778455
2016-11-09 18:00:00,TrendBreakV1,USDJPY,long,3.0000000000000004,24.219258454778455
2016-11-11 14:00:00,TrendBreakV1,XAUUSD,short,3.0000000000000018,27.219258454778455
2016-11-11 18:00:00,TrendBreakV1,SILVER,short,3.0000000000000013,30.219258454778455
2016-11-14 13:00:00,SaiBest,EURJPY,long,1.4920741989881874,31.711332653766643
2016-11-14 14:00:00,SaiBest,AUDJPY,long,0.9655172413792972,32.67684989514594
2016-11-17 08:00:00,SaiBest,EURJPY,long,0.2592592592592633,32.93610915440521
2016-11-24 08:00:00,SaiBest,AUDJPY,long,0.5160774915118663,33.452186645917074
2016-11-30 09:00:00,TrendBreakV1,EURJPY,long,-0.9999999999999992,32.452186645917074
2016-12-02 14:00:00,SaiBest,AUDJPY,long,-1.0,31.452186645917074
2016-12-06 07:00:00,SaiBest,CHFJPY,long,-1.0,30.452186645917074
2016-12-07 06:00:00,SaiBest,CHFJPY,long,-1.0,29.452186645917074
2016-12-13 06:00:00,SaiBest,CHFJPY,long,1.4570153978989435,30.909202043816016
2017-01-05 15:00:00,TrendBreakV1,XAUUSD,long,-0.9999999999999912,29.909202043816023
2017-01-11 07:00:00,SaiBest,XAUUSD,long,-1.0,28.909202043816023
2017-01-17 06:00:00,SaiBest,XAGUSD,long,0.6214255228339716,29.530627566649994
2017-01-31 12:00:00,SaiBest,XAGUSD,long,1.0649689846555803,30.595596551305572
2017-02-02 10:00:00,TrendBreakV1,XAUUSD,long,-0.999999999999997,29.595596551305576
2017-02-06 13:00:00,TrendBreakV1,EURJPY,short,-0.9999999999999932,28.595596551305583
2017-02-10 15:00:00,TrendBreakV1,AUDJPY,long,-0.9999999999999925,27.59559655130559
2017-02-14 12:00:00,SaiBest,XAGUSD,long,-1.0,26.59559655130559
2017-02-16 02:00:00,SaiBest,XAUUSD,long,-1.0,25.59559655130559
2017-02-22 07:00:00,TrendBreakV1,CHFJPY,short,2.999999999999975,28.595596551305565
2017-02-22 08:00:00,TrendBreakV1,EURJPY,short,-0.9999999999999876,27.595596551305576
2017-02-23 13:00:00,TrendBreakV1,XAUUSD,long,2.999999999999987,30.59559655130556
2017-03-01 12:00:00,SaiBest,AUDJPY,long,-1.0,29.59559655130556
2017-03-03 14:00:00,SaiBest,AUDJPY,long,-1.0,28.59559655130556
2017-03-09 09:00:00,TrendBreakV1,EURJPY,long,3.000000000000007,31.59559655130557
2017-03-22 14:00:00,TrendBreakV1,GBPJPY,short,-0.9999999999999868,30.595596551305583
2017-03-29 11:00:00,TrendBreakV1,EURJPY,short,-0.9999999999999932,29.59559655130559
2017-04-11 13:00:00,SaiBest,XAUUSD,long,4.530998702126385,34.12659525343197
2017-04-11 14:00:00,TrendBreakV1,USDJPY,short,2.999999999999992,37.126595253431965
2017-04-23 22:00:00,TrendBreakV1,EURJPY,long,3.000000000000002,40.126595253431965
2017-04-23 22:00:00,TrendBreakV1,SILVER,short,-0.9999999999999976,39.126595253431965
2017-04-28 08:00:00,SaiBest,CHFJPY,long,3.377786411539107,42.50438166497107
2017-05-02 00:00:00,TrendBreakV1,AUDJPY,long,-0.999999999999976,41.50438166497109
2017-05-03 19:00:00,TrendBreakV1,XAUUSD,short,2.9999999999999916,44.504381664971085
2017-05-16 08:00:00,TrendBreakV1,CHFJPY,long,-1.0000000000000158,43.50438166497107
2017-05-18 09:00:00,TrendBreakV1,AUDJPY,short,-1.0,42.50438166497107
2017-05-25 07:00:00,TrendBreakV1,CHFJPY,long,-0.9999999999999898,41.50438166497108
2017-06-04 23:00:00,SaiBest,XAUUSD,long,1.0662110139298004,42.57059267890088
2017-06-06 00:00:00,TrendBreakV1,USDJPY,short,2.9999999999999813,45.57059267890086
