entry_id,date_time_jst,symbol,timeframe,side,quantity,entry_price,alert_name,entry_reason,status,unrealized_pnl_jpy,image_alert_path,image_position_path,image_chart_path,markdown_path,note
E-2026-06-01-001,2026-06-01 22:22,USDJPY,H4,buy,50,159.674,H4 T5シグナル点灯,4HT5シグナル点灯エントリー,open,318550,,practice/images/2026-06-01_usdjpy_01_position_gmo.png,,practice/entries/2026-06-01_usdjpy_h4t5_signal_buy.md,GMOあおぞらFX。OCO指値161.079/逆指159.000発注 06-06 23:56。image: practice/images/2026-06-06_orders_sl_oco.png
E-2026-06-03-001,2026-06-03 22:59,XAUUSD,H1,buy,50.0,4446.71,投げ切りクライマックス反転(買い候補),投げ切りシグナル,closed,-668492,practice/images/2026-06-03_xauusd_01_tradingview_alert.png,practice/images/2026-06-03_xauusd_02_position_summary.png,practice/images/2026-06-03_xauusd_03_chart_nagekiri.png,practice/entries/2026-06-03_xauusd_h1_alert_buy.md,決済 2026-06-05 23:00 @4365.64 成行 確定損益-668492 予定SL4330未発注→4365.64早切り。ゴールド反発過信。最大含み益+50万→利確せず→雇用統計。image: practice/images/2026-06-05_xauusd_01_execution_history.png
E-2026-06-04-001,2026-06-04 13:46,GBPJPY,H4,buy,20,214.686,投げ切り,投げ切りシグナル,closed,-112100,,practice/images/2026-06-04_gbpjpy_01_position_gmo.png,practice/images/2026-06-04_nagekiri_01_chart.png,practice/entries/2026-06-04_gbpjpy_nagekiri_signal_buy.md,決済 2026-06-06 00:49 @214.110 OCO逆指 確定損益-112100。E01投げ切り単独→節目214.1割れ。image: practice/images/2026-06-06_gbpjpy_01_execution_history.png
E-2026-06-04-002,2026-06-04 07:00,XAUUSD,H1,sell,40,4368.40,TrendBreakV1 SHORT SIG,V1ショートシグナル,open,-13715,practice/images/2026-06-04_xauusd_01_trendbreakv1_short_signal.png,practice/images/2026-06-04_xauusd_02_position_short.png,,practice/entries/2026-06-04_xauusd_v1_short_signal.md,OCO維持→06-08再下落で維持正解確認。V1 OCO一本。OCO4236.92/4408.53 image: practice/images/2026-06-06_xauusd_oco_orders.png
