strategy,tv_trades,python_trades,matched_dates,match_rate_vs_tv,tv_only_dates,python_only_dates
SQZ_DEFAULT_RR15,15,22,15,100.0,,"2015-02-19, 2015-04-10, 2017-03-06, 2017-04-11, 2017-08-08, 2017-08-17, 2017-09-20"
SQZ_DEFAULT_RR2,15,22,15,100.0,,"2015-02-19, 2015-04-10, 2017-03-06, 2017-04-11, 2017-08-08, 2017-08-17, 2017-09-20"
SQZ_WIDE_RR2,15,22,15,100.0,,"2015-02-19, 2015-04-10, 2017-03-06, 2017-04-11, 2017-08-08, 2017-08-17, 2017-09-20"
SQZ_STRICT_RR2,15,9,6,40.0,"2021-01-12, 2022-07-16, 2022-09-02, 2023-01-06, 2024-01-05, 2024-04-24, 2025-08-01, 2025-12-30, 2026-02-03","2015-02-19, 2017-03-06, 2017-08-08"
CAP_STRICT_RR2,15,9,0,0.0,"2018-05-17, 2019-06-12, 2020-01-30, 2021-01-12, 2022-01-08, 2022-07-16, 2022-09-02, 2023-01-06, 2023-07-31, 2024-01-05, 2024-04-24, 2024-12-21, 2025-08-01, 2025-12-30, 2026-02-03","2015-06-26, 2015-09-12, 2016-10-08, 2017-04-24, 2018-03-02, 2021-08-09, 2022-02-04, 2022-06-10, 2025-07-31"
CAP_DEFAULT_RR15,15,35,0,0.0,"2018-05-17, 2019-06-12, 2020-01-30, 2021-01-12, 2022-01-08, 2022-07-16, 2022-09-02, 2023-01-06, 2023-07-31, 2024-01-05, 2024-04-24, 2024-12-21, 2025-08-01, 2025-12-30, 2026-02-03","2015-06-26, 2015-07-08, 2015-09-12, 2016-09-12, 2016-10-08, 2017-04-24, 2017-06-26, 2018-03-02, 2018-07-13, 2018-08-13, 2018-12-01, 2019-11-08, 2020-03-13, 2020-04-30, 2020-09-24, 2020-10-29, 2021-01-18, 2021-07-19, 2021-08-09, 2021-11-26"
CAP_DEFAULT_RR2,15,35,0,0.0,"2018-05-17, 2019-06-12, 2020-01-30, 2021-01-12, 2022-01-08, 2022-07-16, 2022-09-02, 2023-01-06, 2023-07-31, 2024-01-05, 2024-04-24, 2024-12-21, 2025-08-01, 2025-12-30, 2026-02-03","2015-06-26, 2015-07-08, 2015-09-12, 2016-09-12, 2016-10-08, 2017-04-24, 2017-06-26, 2018-03-02, 2018-07-13, 2018-08-13, 2018-12-01, 2019-11-08, 2020-03-13, 2020-04-30, 2020-09-24, 2020-10-29, 2021-01-18, 2021-07-19, 2021-08-09, 2021-11-26"
CAP_NO_D1_RR2,15,52,0,0.0,"2018-05-17, 2019-06-12, 2020-01-30, 2021-01-12, 2022-01-08, 2022-07-16, 2022-09-02, 2023-01-06, 2023-07-31, 2024-01-05, 2024-04-24, 2024-12-21, 2025-08-01, 2025-12-30, 2026-02-03","2015-01-27, 2015-06-26, 2015-07-08, 2015-09-12, 2016-07-08, 2016-08-18, 2016-09-12, 2016-10-08, 2017-04-11, 2017-04-19, 2017-04-24, 2017-06-26, 2018-01-24, 2018-03-02, 2018-07-13, 2018-08-13, 2018-12-01, 2019-08-14, 2019-10-31, 2019-11-08"
