strategy,label,trades,win_rate,total_r,avg_r,median_r,pf,max_dd_r,max_losing_streak,avg_mfe_r,avg_mae_r,oos_trades,oos_total_r
SQZ_DEFAULT_RR2,SQZ_DEFAULT_RR2,15,60.0,12.0,0.8,2.0,3.0,4.0,4,1.5842341948546683,0.8674162593484154,6,3.0
SQZ_WIDE_RR2,SQZ_WIDE_RR2,15,60.0,12.0,0.8,2.0,3.0,4.0,4,1.5842341948546683,0.8674162593484154,6,3.0
CAP_NO_D1_RR2,CAP_NO_D1_RR2,36,44.44444444444444,9.960235714874953,0.276673214302082,-1.0,1.4980117857437478,3.425143484025116,3,1.2317185304005056,1.0889879748393239,6,5.385379198900072
SQZ_STRICT_RR2,SQZ_STRICT_RR2,6,83.33333333333334,9.0,1.5,2.0,10.0,1.0,1,1.992096142927154,0.6998007483322115,1,2.0
SQZ_DEFAULT_RR15,SQZ_DEFAULT_RR15,15,60.0,7.499999999999982,0.49999999999999883,1.4999999999999931,2.249999999999997,4.0,4,1.2236839480636268,0.8674162593484154,6,1.5000000000000027
CAP_STRICT_RR2,CAP_STRICT_RR2,4,75.0,3.5748565159748846,0.8937141289937212,1.2874282579874423,4.574856515974885,1.0,1,1.538801050604114,0.8571740464906357,1,2.0
CAP_DEFAULT_RR2,CAP_DEFAULT_RR2,25,40.0,2.960235714874954,0.11840942859499816,-1.0,1.1973490476583304,5.425143484025115,5,1.1404129680587514,1.084827982409002,2,3.3853791989000723
CAP_DEFAULT_RR15,CAP_DEFAULT_RR15,25,44.0,1.57485651597489,0.0629942606389956,-1.0,1.1124897511410636,5.0,5,0.9557663174632312,1.0399190197913937,2,3.0
