symbol,strategy,family,signal_time,period,rr,max_hold,signal_kind,shelf_high,shelf_low,shelf_range_atr,sharp_drop_atr,signal_range_atr,body_ratio,close_location,lower_wick_ratio,d1_ema50_prev,stop,entry_time,entry,target,exit_time,exit,exit_reason,bars_held,risk,r_clean,r_after_cost,mfe_r,mae_r
XAGUSD,CAP_DEFAULT_RR15,capitulation,2015-06-26 14:00:00,DEV_2015_2021,1.5,120,capitulation,,,,6.295469414149769,3.2888564558992006,0.13357733357221332,0.9523175756955289,0.8187402421233155,16.341441740014325,15.502680467256697,2015-06-26 18:00:00,15.90446,16.507129299114954,2015-06-30 22:00:00,15.502680467256697,stop,14,0.40177953274330314,-1.0,-1.0,0.420230465318081,1.0298433998736245
XAGUSD,CAP_DEFAULT_RR15,capitulation,2015-07-07 22:00:00,DEV_2015_2021,1.5,120,capitulation,,,,6.802769854227284,4.8980598705629,0.47979166299669457,0.5202083370033055,0.5202083370033055,16.172786501241657,14.642993659055726,2015-07-08 02:00:00,15.129415,15.859047011416411,2015-07-13 06:00:00,15.859047011416411,target,20,0.4864213409442737,1.5000000000000018,1.5000000000000018,1.6706606630836527,0.7175774798910154
XAGUSD,CAP_DEFAULT_RR15,capitulation,2015-09-11 22:00:00,DEV_2015_2021,1.5,120,capitulation,,,,5.043231251515535,2.3765191005456066,0.29559374346938905,0.6377578086067481,0.6377578086067481,14.974000552269986,14.261135401835547,2015-09-12 02:00:00,14.49222,14.838846897246679,2015-09-16 22:00:00,14.838846897246679,target,18,0.23108459816445226,1.5000000000000038,1.5000000000000038,2.0978464330842383,0.8847192829982796
XAGUSD,CAP_DEFAULT_RR15,capitulation,2016-09-12 18:00:00,DEV_2015_2021,1.5,120,capitulation,,,,8.04137704187023,1.8282375401501594,0.4525330191604103,0.5055807031686027,0.5055807031686027,19.275686400155408,18.674464680954106,2016-09-12 22:00:00,18.88164,19.192402978568843,2016-09-13 06:00:00,19.192402978568843,target,3,0.20717531904589492,1.5,1.5,1.946177767973793,0.4018818476227609
XAGUSD,CAP_DEFAULT_RR15,capitulation,2016-10-07 22:00:00,DEV_2015_2021,1.5,120,capitulation,,,,7.365318966447671,2.278551091958376,0.3180730636003269,0.576563225368711,0.576563225368711,19.065123160958922,17.03565086221496,2016-10-08 02:00:00,17.42001,17.99654870667756,2016-11-01 18:00:00,17.99654870667756,target,101,0.38435913778504016,1.5,1.5,2.382901588545621,0.309333090622386
XAGUSD,CAP_DEFAULT_RR15,capitulation,2017-04-24 06:00:00,DEV_2015_2021,1.5,120,capitulation,,,,6.316584168046595,2.354829628801346,0.1792875284052964,0.8207124715947036,0.8207124715947036,17.920987188382355,17.609411247354366,2017-04-24 10:00:00,17.88677,18.302808128968447,2017-04-25 22:00:00,17.609411247354366,stop,10,0.2773587526456325,-1.0,-1.0,0.45850364838668684,1.1725968511818623
XAGUSD,CAP_DEFAULT_RR15,capitulation,2017-06-26 14:00:00,DEV_2015_2021,1.5,120,capitulation,,,,4.351376707081607,3.7442939858443585,0.4245807600167053,0.5051100024176334,0.5051100024176334,17.054832664433267,16.24378110869765,2017-06-26 18:00:00,16.50398,16.89427833695352,2017-06-29 10:00:00,16.89427833695352,target,17,0.2601988913023483,1.4999999999999931,1.4999999999999931,1.5075006585797108,0.24515861570629852
XAGUSD,CAP_DEFAULT_RR15,capitulation,2018-03-01 23:00:00,DEV_2015_2021,1.5,120,capitulation,,,,5.609915570455847,2.2133140158366915,0.23030315825028377,0.8006882283398009,0.5703850700895171,16.737698290643763,16.14115826049248,2018-03-02 03:00:00,16.357545,16.68212510926127,2018-03-06 23:00:00,16.68212510926127,target,18,0.21638673950751652,1.4999999999999918,1.4999999999999918,2.3452222680326265,0.4445512706505592
XAGUSD,CAP_DEFAULT_RR15,capitulation,2018-07-13 18:00:00,DEV_2015_2021,1.5,120,capitulation,,,,6.062372721937332,1.847967798817599,0.039736775499875324,0.9471019994938008,0.9073652239939255,16.322175820079927,15.66553975732192,2018-07-13 22:00:00,15.8366,16.093190364017122,2018-07-17 22:00:00,15.66553975732192,stop,13,0.17106024267808095,-1.0,-1.0,0.2482751066822948,1.6651443698466075
XAGUSD,CAP_DEFAULT_RR15,capitulation,2018-08-13 18:00:00,DEV_2015_2021,1.5,120,capitulation,,,,5.221810207197763,2.080145385696749,0.2388583177118006,0.7485638265707208,0.7485638265707208,15.76525140512229,15.075275187266104,2018-08-13 22:00:00,15.21894,15.434437219100843,2018-08-13 22:00:00,15.075275187266104,stop,1,0.14366481273389553,-1.0,-1.0,0.2606066112329727,1.586888227267442
XAGUSD,CAP_DEFAULT_RR15,capitulation,2018-11-30 23:00:00,DEV_2015_2021,1.5,120,capitulation,,,,4.309446755513797,1.969398628489174,0.3549564549180408,0.5452740778688449,0.5452740778688449,14.443472084375268,14.038106689759378,2018-12-01 03:00:00,14.14308,14.300539965360933,2018-12-03 11:00:00,14.300539965360933,target,3,0.10497331024062184,1.5000000000000084,1.5000000000000084,1.800267130443131,0.172805829962093
XAGUSD,CAP_DEFAULT_RR15,capitulation,2019-11-08 19:00:00,DEV_2015_2021,1.5,120,capitulation,,,,8.942966730042256,1.861056995356554,0.3468544414691405,0.5607458097788324,0.5607458097788324,17.658550330411273,16.65706583340076,2019-11-08 23:00:00,16.86732,17.182701249898855,2019-11-12 23:00:00,16.65706583340076,stop,13,0.21025416659923835,-1.0,-1.0,0.5413448011089869,1.0339390819986047
XAGUSD,CAP_DEFAULT_RR15,capitulation,2020-03-12 22:00:00,DEV_2015_2021,1.5,120,capitulation,,,,7.113423517555615,2.0928039691074907,0.06036184478848719,0.8278056022317556,0.8278056022317556,17.58112350770767,15.452656467236274,2020-03-13 02:00:00,16.0333,16.904265299145592,2020-03-13 10:00:00,15.452656467236274,stop,3,0.5806435327637267,-1.0,-1.0,0.300029174820565,1.2145317397119144
XAGUSD,CAP_DEFAULT_RR15,capitulation,2020-04-30 18:00:00,DEV_2015_2021,1.5,120,capitulation,,,,4.082308261088197,3.706361478206566,0.23806379267380995,0.655706454024421,0.655706454024421,15.31820858214418,14.57486334841331,2020-04-30 22:00:00,15.15527,16.025879977380036,2020-05-15 10:00:00,16.025879977380036,target,64,0.5804066515866904,1.5000000000000016,1.5000000000000016,1.6579582562834778,0.7618968507530107
XAGUSD,CAP_DEFAULT_RR15,capitulation,2020-09-24 06:00:00,DEV_2015_2021,1.5,120,capitulation,,,,9.46556580461299,2.1191618423313225,0.3295216130943803,0.538958023030478,0.538958023030478,25.499359058167066,21.54211996348191,2020-09-24 10:00:00,22.36248,23.593020054777142,2020-09-29 02:00:00,23.593020054777142,target,17,0.8203600365180925,1.5000000000000022,1.5000000000000022,1.6660367877023674,0.8530766600605463
