feature,win_mean,loss_mean,win_median,loss_median
bb_pos,0.8703220039656181,0.8857710976951176,0.8737039248206022,0.8902481420503909
bb_width_atr,3.386446708145434,3.6314901038078498,3.412646199160861,3.6410385881464054
signal_recovery_bars,9.5,11.25,9.0,11.0
macd_hist_slope3,0.19831118618128074,0.12674465150762476,0.0436844935655116,0.06855608735581706
close_location,0.8443402649575003,0.8739474339010331,0.8698548804419807,0.8597763251158219
body_ratio,0.7527814410785143,0.7966506259264194,0.7251695248928193,0.7671211688558944
adx14,24.207889596243373,24.075988538755695,19.788948346624533,23.82957962917847
v_move_atr,4.295123271726178,4.481892848579373,3.9919281701110942,4.3623995867259975
signal_fib_ratio,0.8889408236179951,0.9191970080489389,0.8503339536705083,0.9242494814860681
bars_held,90.4375,148.25,79.5,171.5
