symbol_mode,configs,pass_configs,pass_rate_pct,median_all_trades,median_all_avg_r,median_all_pf,median_oos_total_r,best_score
all7,24488,16418,67.0450833061091,31.0,0.7441917985980324,3.096457143868306,4.534169813812802,1.9374458361622928
recommended6,21440,14864,69.32835820895522,30.0,0.6669642460815598,2.771275801217831,4.534169813812802,1.8240250949683816
recommended6_ex_xau_gbp,8682,4008,46.16447823082239,26.0,0.5969614276693102,2.472842750528968,3.3817985061532827,1.6023844404272882
