recovery_max,configs,pass_configs,pass_rate_pct,median_all_trades,median_all_avg_r,median_all_pf,median_oos_total_r,best_score
24,17328,12836,74.07663896583564,32.0,0.6510150673029504,2.698891229143982,5.925517519988919,1.7219825513128708
16,13468,9748,72.37897237897238,29.0,0.7686963929735549,3.2123705897395434,4.534169813812802,1.9374458361622928
20,14292,9714,67.96809403862301,30.0,0.6793301888548811,2.783994937513015,4.2937343584201635,1.9374458361622928
12,9522,2992,31.421970174333126,26.0,0.6589860391561358,2.7928350363636394,1.3198507680198457,1.853019193197558
