trigger_mode,configs,pass_configs,pass_rate_pct,median_all_trades,median_all_avg_r,median_all_pf,median_oos_total_r,best_score
all,20206,13818,68.38562803127783,32.0,0.6572645484783581,2.716782420995933,4.534169813812802,1.9374458361622928
weak_rebreak_guard,14830,11894,80.20229265003371,28.0,0.696630357655463,2.9210437083573804,4.534169813812802,1.9049314500984451
exclude_gbp_rebreak,17498,9578,54.73768430677792,30.0,0.7197518941853273,2.966223001273298,4.364332309499394,1.9118550112860904
stagnation_family,2076,0,0.0,24.0,0.6937368918868114,2.7230886614304595,0.0,1.570950266971784
