adx_max,configs,pass_configs,pass_rate_pct,median_all_trades,median_all_avg_r,median_all_pf,median_oos_total_r,best_score
none,20586,16690,81.074516661809,30.0,0.7243944805602694,3.0676023113602207,5.58653369707971,1.9374458361622928
35.0,17578,9490,53.98793946979179,30.0,0.6612997217682128,2.718340672075475,3.9797076324645353,1.830040917782628
30.0,16446,9110,55.39340873160648,29.0,0.6782545277072812,2.780277669185772,4.292835371343125,1.9150678565782844
