symbol_mode,trigger_mode,bb_lo,bb_hi,recovery_max,macd_min,bb_width_max,close_location_min,body_ratio_min,adx_max,all_trades,all_win_rate,all_total_r,all_avg_r,all_pf,all_max_dd_r,all_max_loss_streak,research_trades,research_win_rate,research_total_r,research_avg_r,research_pf,research_max_dd_r,research_max_loss_streak,oos_trades,oos_win_rate,oos_total_r,oos_avg_r,oos_pf,oos_max_dd_r,oos_max_loss_streak,oos_positive,research_positive,oos_retention_avg_r,robust_score,thin_sample,candidate_pass
all7,all,0.75,1.0,16,0.03,4.0,none,none,none,20,80.0,26.105463919236467,1.3052731959618231,11.504158220707248,1.0072534745502768,1,16,75.0,21.38722382814088,1.336701489258805,9.60566139285996,1.0072534745502768,1,4,100.0,4.7182400910955895,1.1795600227738974,inf,0.0,0,True,True,0.8824408682509647,1.9374458361622928,False,True
all7,all,0.75,1.0,16,0.03,4.0,none,0.45,none,20,80.0,26.105463919236467,1.3052731959618231,11.504158220707248,1.0072534745502768,1,16,75.0,21.38722382814088,1.336701489258805,9.60566139285996,1.0072534745502768,1,4,100.0,4.7182400910955895,1.1795600227738974,inf,0.0,0,True,True,0.8824408682509647,1.9374458361622928,False,True
all7,all,0.75,1.0,16,0.03,4.0,0.6,none,none,20,80.0,26.105463919236467,1.3052731959618231,11.504158220707248,1.0072534745502768,1,16,75.0,21.38722382814088,1.336701489258805,9.60566139285996,1.0072534745502768,1,4,100.0,4.7182400910955895,1.1795600227738974,inf,0.0,0,True,True,0.8824408682509647,1.9374458361622928,False,True
all7,all,0.75,1.0,20,0.03,4.0,none,0.45,none,20,80.0,26.105463919236467,1.3052731959618231,11.504158220707248,1.0072534745502768,1,16,75.0,21.38722382814088,1.336701489258805,9.60566139285996,1.0072534745502768,1,4,100.0,4.7182400910955895,1.1795600227738974,inf,0.0,0,True,True,0.8824408682509647,1.9374458361622928,False,True
all7,all,0.75,1.0,20,0.03,4.0,none,none,none,20,80.0,26.105463919236467,1.3052731959618231,11.504158220707248,1.0072534745502768,1,16,75.0,21.38722382814088,1.336701489258805,9.60566139285996,1.0072534745502768,1,4,100.0,4.7182400910955895,1.1795600227738974,inf,0.0,0,True,True,0.8824408682509647,1.9374458361622928,False,True
all7,all,0.75,1.0,16,0.03,4.0,0.6,0.45,none,20,80.0,26.105463919236467,1.3052731959618231,11.504158220707248,1.0072534745502768,1,16,75.0,21.38722382814088,1.336701489258805,9.60566139285996,1.0072534745502768,1,4,100.0,4.7182400910955895,1.1795600227738974,inf,0.0,0,True,True,0.8824408682509647,1.9374458361622928,False,True
all7,all,0.75,1.0,20,0.03,4.0,0.6,none,none,20,80.0,26.105463919236467,1.3052731959618231,11.504158220707248,1.0072534745502768,1,16,75.0,21.38722382814088,1.336701489258805,9.60566139285996,1.0072534745502768,1,4,100.0,4.7182400910955895,1.1795600227738974,inf,0.0,0,True,True,0.8824408682509647,1.9374458361622928,False,True
all7,all,0.75,1.0,20,0.03,4.0,0.6,0.45,none,20,80.0,26.105463919236467,1.3052731959618231,11.504158220707248,1.0072534745502768,1,16,75.0,21.38722382814088,1.336701489258805,9.60566139285996,1.0072534745502768,1,4,100.0,4.7182400910955895,1.1795600227738974,inf,0.0,0,True,True,0.8824408682509647,1.9374458361622928,False,True
all7,all,0.75,1.0,20,0.0,4.0,0.6,0.45,30.0,27,77.77777777777779,35.32146154544589,1.308202279460959,8.71237045974918,2.029065903389963,2,24,75.0,31.45669779610061,1.310695741504192,7.868507027427447,2.029065903389963,2,3,100.0,3.86476374934528,1.2882545831150936,inf,0.0,0,True,True,0.9828784380093092,1.9150678565782844,False,True
all7,all,0.75,1.0,20,0.0,4.0,none,0.45,30.0,27,77.77777777777779,35.32146154544589,1.308202279460959,8.71237045974918,2.029065903389963,2,24,75.0,31.45669779610061,1.310695741504192,7.868507027427447,2.029065903389963,2,3,100.0,3.86476374934528,1.2882545831150936,inf,0.0,0,True,True,0.9828784380093092,1.9150678565782844,False,True
all7,all,0.75,1.0,16,0.0,4.0,0.6,none,30.0,27,77.77777777777779,35.32146154544589,1.308202279460959,8.71237045974918,2.029065903389963,2,24,75.0,31.45669779610061,1.310695741504192,7.868507027427447,2.029065903389963,2,3,100.0,3.86476374934528,1.2882545831150936,inf,0.0,0,True,True,0.9828784380093092,1.9150678565782844,False,True
all7,all,0.75,1.0,16,0.0,4.0,none,0.45,30.0,27,77.77777777777779,35.32146154544589,1.308202279460959,8.71237045974918,2.029065903389963,2,24,75.0,31.45669779610061,1.310695741504192,7.868507027427447,2.029065903389963,2,3,100.0,3.86476374934528,1.2882545831150936,inf,0.0,0,True,True,0.9828784380093092,1.9150678565782844,False,True
all7,all,0.75,1.0,20,0.0,4.0,none,none,30.0,27,77.77777777777779,35.32146154544589,1.308202279460959,8.71237045974918,2.029065903389963,2,24,75.0,31.45669779610061,1.310695741504192,7.868507027427447,2.029065903389963,2,3,100.0,3.86476374934528,1.2882545831150936,inf,0.0,0,True,True,0.9828784380093092,1.9150678565782844,False,True
all7,all,0.75,1.0,16,0.0,4.0,none,none,30.0,27,77.77777777777779,35.32146154544589,1.308202279460959,8.71237045974918,2.029065903389963,2,24,75.0,31.45669779610061,1.310695741504192,7.868507027427447,2.029065903389963,2,3,100.0,3.86476374934528,1.2882545831150936,inf,0.0,0,True,True,0.9828784380093092,1.9150678565782844,False,True
all7,all,0.75,1.0,20,0.0,4.0,0.6,none,30.0,27,77.77777777777779,35.32146154544589,1.308202279460959,8.71237045974918,2.029065903389963,2,24,75.0,31.45669779610061,1.310695741504192,7.868507027427447,2.029065903389963,2,3,100.0,3.86476374934528,1.2882545831150936,inf,0.0,0,True,True,0.9828784380093092,1.9150678565782844,False,True
all7,all,0.75,1.0,16,0.0,4.0,0.6,0.45,30.0,27,77.77777777777779,35.32146154544589,1.308202279460959,8.71237045974918,2.029065903389963,2,24,75.0,31.45669779610061,1.310695741504192,7.868507027427447,2.029065903389963,2,3,100.0,3.86476374934528,1.2882545831150936,inf,0.0,0,True,True,0.9828784380093092,1.9150678565782844,False,True
all7,weak_rebreak_guard,0.75,0.95,16,0.0,4.0,none,none,none,20,80.0,25.49073504589488,1.274536752294744,9.256481787199776,1.0539842287562833,1,16,75.0,20.772494954799292,1.2982809346749558,7.728237767965809,1.0539842287562833,1,4,100.0,4.7182400910955895,1.1795600227738974,inf,0.0,0,True,True,0.908555298987902,1.9049314500984451,False,True
all7,weak_rebreak_guard,0.75,0.95,16,0.0,4.0,0.6,0.45,none,20,80.0,25.49073504589488,1.274536752294744,9.256481787199776,1.0539842287562833,1,16,75.0,20.772494954799292,1.2982809346749558,7.728237767965809,1.0539842287562833,1,4,100.0,4.7182400910955895,1.1795600227738974,inf,0.0,0,True,True,0.908555298987902,1.9049314500984451,False,True
