bb_lo,configs,pass_configs,pass_rate_pct,median_all_trades,median_all_avg_r,median_all_pf,median_oos_total_r,best_score
0.7,17990,12148,67.52640355753196,30.0,0.708382163473148,2.9220291482130167,4.534169813812802,1.789387150406108
0.6,20436,12120,59.30710510863183,30.0,0.6003241885494759,2.4982125131979815,4.364332309499394,1.707056623979593
0.75,16184,11022,68.10430054374692,29.0,0.7835550159710869,3.3229404147126593,4.701649274173128,1.9374458361622928
