trades,win_rate,total_r,pf,max_dd_r,shelf_bars,drop_win,shelf_atr,move_atr,rr
95,42.10526315789473,2.1007980111812765,1.0376079653828567,7.460210297844521,4,6,2.0,2.0,1.5
94,35.1063829787234,-1.4870999067146031,0.9760014447659303,9.47050860596612,4,6,2.0,2.0,2.0
55,43.63636363636363,4.159547806942076,1.1320095448372116,4.131469014256757,4,6,2.0,2.5,1.5
55,36.36363636363637,2.1857654248999703,1.0614444078166823,7.596610226880368,4,6,2.0,2.5,2.0
27,48.148148148148145,5.071288732466003,1.3553941931926294,4.267164157514763,4,6,2.0,3.0,1.5
27,40.74074074074074,3.597506350423884,1.2208302192224803,6.259146641236603,4,6,2.0,3.0,2.0
12,41.66666666666667,0.34136569371481085,1.0480931148559345,4.065038552029881,4,6,2.0,3.5,1.5
12,33.33333333333333,-0.15863430628518738,0.9804387925048919,6.083238653709592,4,6,2.0,3.5,2.0
4,25.0,-1.558354648318188,0.4884060900546712,3.046077402455242,4,6,2.0,4.0,1.5
4,25.0,-1.0583546483182027,0.6525516234534511,3.046077402455242,4,6,2.0,4.0,2.0
113,40.707964601769916,-1.019221347969329,0.9850060152251687,9.432514496772997,4,6,2.5,2.0,1.5
112,34.82142857142857,-1.7012707698318597,0.9770350295419917,12.251644337165136,4,6,2.5,2.0,2.0
64,43.75,3.6807771396870654,1.1007030167348402,4.491987579675568,4,6,2.5,2.5,1.5
64,37.5,3.206994757644984,1.0789619682265468,7.616949428515657,4,6,2.5,2.5,2.0
35,48.57142857142857,5.583725520768206,1.3050150170179131,4.342732458434181,4,6,2.5,3.0,1.5
35,42.857142857142854,5.609943138726108,1.2759746978077864,5.334714942155987,4,6,2.5,3.0,2.0
15,53.333333333333336,3.401947436872007,1.4792814621612902,4.065038552029881,4,6,2.5,3.5,1.5
15,46.666666666666664,3.9019474368720184,1.4811494136107048,6.083238653709592,4,6,2.5,3.5,2.0
5,40.0,-0.06643710958879012,0.9781892904181492,3.046077402455242,4,6,2.5,4.0,1.5
5,40.0,0.9335628904111952,1.3064803572157135,3.046077402455242,4,6,2.5,4.0,2.0
115,40.869565217391305,-0.5308533284618628,0.9923042170321495,9.188130069866173,4,6,3.0,2.0,1.5
114,35.08771929824561,-0.7129027503243972,0.9905054589948217,13.256063955874982,4,6,3.0,2.0,2.0
64,43.75,3.6807771396870654,1.1007030167348402,4.491987579675568,4,6,3.0,2.5,1.5
64,37.5,3.206994757644984,1.0789619682265468,7.616949428515657,4,6,3.0,2.5,2.0
35,48.57142857142857,5.583725520768206,1.3050150170179131,4.342732458434181,4,6,3.0,3.0,1.5
35,42.857142857142854,5.609943138726108,1.2759746978077864,5.334714942155987,4,6,3.0,3.0,2.0
15,53.333333333333336,3.401947436872007,1.4792814621612902,4.065038552029881,4,6,3.0,3.5,1.5
15,46.666666666666664,3.9019474368720184,1.4811494136107048,6.083238653709592,4,6,3.0,3.5,2.0
5,40.0,-0.06643710958879012,0.9781892904181492,3.046077402455242,4,6,3.0,4.0,1.5
5,40.0,0.9335628904111952,1.3064803572157135,3.046077402455242,4,6,3.0,4.0,2.0
115,40.869565217391305,-0.5308533284618628,0.9923042170321495,9.188130069866173,4,6,3.5,2.0,1.5
114,35.08771929824561,-0.7129027503243972,0.9905054589948217,13.256063955874982,4,6,3.5,2.0,2.0
64,43.75,3.6807771396870654,1.1007030167348402,4.491987579675568,4,6,3.5,2.5,1.5
64,37.5,3.206994757644984,1.0789619682265468,7.616949428515657,4,6,3.5,2.5,2.0
35,48.57142857142857,5.583725520768206,1.3050150170179131,4.342732458434181,4,6,3.5,3.0,1.5
35,42.857142857142854,5.609943138726108,1.2759746978077864,5.334714942155987,4,6,3.5,3.0,2.0
15,53.333333333333336,3.401947436872007,1.4792814621612902,4.065038552029881,4,6,3.5,3.5,1.5
15,46.666666666666664,3.9019474368720184,1.4811494136107048,6.083238653709592,4,6,3.5,3.5,2.0
5,40.0,-0.06643710958879012,0.9781892904181492,3.046077402455242,4,6,3.5,4.0,1.5
5,40.0,0.9335628904111952,1.3064803572157135,3.046077402455242,4,6,3.5,4.0,2.0
180,45.55555555555556,20.72099767977681,1.2081749838420273,12.754802055941509,4,9,2.0,2.0,1.5
175,38.857142857142854,19.42222848491693,1.1786714472899023,13.022186696777688,4,9,2.0,2.0,2.0
104,46.15384615384615,12.925242169063715,1.2272565761625962,8.164191834274753,4,9,2.0,2.5,1.5
102,39.21568627450981,11.348862583364253,1.1801533195960277,11.350403141992846,4,9,2.0,2.5,2.0
66,50.0,14.011596158707317,1.4174092207364413,5.670875512863837,4,9,2.0,3.0,1.5
65,41.53846153846154,9.920369343551066,1.256548424536477,5.652248696121443,4,9,2.0,3.0,2.0
40,50.0,7.906705833763782,1.3879959916407967,4.4376549513815595,4,9,2.0,3.5,1.5
39,46.15384615384615,11.289261400649645,1.527827881829475,4.1123179529613765,4,9,2.0,3.5,2.0
20,50.0,4.657818240517595,1.4560891065359416,4.139986656311905,4,9,2.0,4.0,1.5
19,47.368421052631575,6.540373807403421,1.6404206564668362,4.139986656311905,4,9,2.0,4.0,2.0
205,42.926829268292686,10.098717476647492,1.0856799768421284,17.00879996128226,4,9,2.5,2.0,1.5
196,37.244897959183675,12.345917927159547,1.099575798592076,13.719641810420292,4,9,2.5,2.0,2.0
120,45.0,11.812852178100782,1.1763711250544897,9.171536325500265,4,9,2.5,2.5,1.5
118,38.13559322033898,8.849563982833503,1.1194121317890677,15.403438636947367,4,9,2.5,2.5,2.0
75,49.333333333333336,14.971277500650991,1.3877627628189075,5.721654793184804,4,9,2.5,3.0,1.5
74,40.54054054054054,9.88005068549478,1.220923097133344,7.719884074152669,4,9,2.5,3.0,2.0
44,50.0,8.910837300102164,1.3978481779385459,4.70019936049096,4,9,2.5,3.5,1.5
43,44.18604651162791,10.29339286698805,1.4215300937636208,4.448165718885,4,9,2.5,3.5,2.0
23,52.17391304347826,6.626111857224039,1.5903290789098767,5.151906100749796,4,9,2.5,4.0,1.5
22,45.45454545454545,6.5086674241098805,1.531917035384616,5.274147662459334,4,9,2.5,4.0,2.0
206,43.203883495145625,11.592711855944708,1.0983563957570237,17.007593220202352,4,9,3.0,2.0,1.5
197,37.56345177664975,14.339912306456771,1.115659453268327,13.718435069340384,4,9,3.0,2.0,2.0
120,45.0,11.812852178100782,1.1763711250544897,9.171536325500265,4,9,3.0,2.5,1.5
118,38.13559322033898,8.849563982833503,1.1194121317890677,15.403438636947367,4,9,3.0,2.5,2.0
75,49.333333333333336,14.971277500650991,1.3877627628189075,5.721654793184804,4,9,3.0,3.0,1.5
74,40.54054054054054,9.88005068549478,1.220923097133344,7.719884074152669,4,9,3.0,3.0,2.0
44,50.0,8.910837300102164,1.3978481779385459,4.70019936049096,4,9,3.0,3.5,1.5
43,44.18604651162791,10.29339286698805,1.4215300937636208,4.448165718885,4,9,3.0,3.5,2.0
23,52.17391304347826,6.626111857224039,1.5903290789098767,5.151906100749796,4,9,3.0,4.0,1.5
22,45.45454545454545,6.5086674241098805,1.531917035384616,5.274147662459334,4,9,3.0,4.0,2.0
207,43.47826086956522,11.958971591620404,1.1014638643079226,17.007593220202356,4,9,3.5,2.0,1.5
198,37.878787878787875,14.70617204213246,1.1186135439124782,13.718435069340389,4,9,3.5,2.0,2.0
121,45.45454545454545,12.179111913776467,1.1818395454384367,9.171536325500263,4,9,3.5,2.5,1.5
119,38.655462184873954,9.215823718509188,1.1243542798892876,15.403438636947367,4,9,3.5,2.5,2.0
76,50.0,15.337537236326678,1.3972490532846844,5.721654793184804,4,9,3.5,3.0,1.5
75,41.333333333333336,10.246310421170467,1.2291128562485991,7.719884074152669,4,9,3.5,3.0,2.0
45,51.11111111111111,9.277097035777853,1.4142008240012405,4.70019936049096,4,9,3.5,3.5,1.5
44,45.45454545454545,10.659652602663737,1.436528987006718,4.448165718884999,4,9,3.5,3.5,2.0
23,52.17391304347826,6.626111857224039,1.5903290789098767,5.151906100749796,4,9,3.5,4.0,1.5
22,45.45454545454545,6.5086674241098805,1.531917035384616,5.274147662459334,4,9,3.5,4.0,2.0
225,42.22222222222222,7.585894722900544,1.057466576576961,17.02433343297277,4,12,2.0,2.0,1.5
214,35.51401869158878,3.207982913529058,1.0228873917788501,19.84657564006552,4,12,2.0,2.0,2.0
148,45.94594594594595,18.271323890254948,1.2249643607048746,14.252547505231519,4,12,2.0,2.5,1.5
