trades,win_rate,total_r,pf,max_dd_r,decline_bars,drop_atr_cap,spike_atr,use_down_d1,rr
52,34.61538461538461,-8.664477396044163,0.7499790425543441,12.29542605170884,18,2.5,1.5,True,1.5
51,27.450980392156865,-11.147511201628447,0.7045153720679551,15.99566714232264,18,2.5,1.5,True,2.0
91,40.65934065934066,-0.7997496382572173,0.9854601234535034,15.036303050843996,18,2.5,1.5,False,1.5
90,28.888888888888886,-14.777425597539743,0.7732946700757334,20.611453186551373,18,2.5,1.5,False,2.0
27,37.03703703703704,-3.100789375413238,0.8205983670524244,5.616515000166026,18,2.5,1.8,True,1.5
26,26.923076923076923,-6.58382318099746,0.6592214507080154,9.48103765040651,18,2.5,1.8,True,2.0
54,42.592592592592595,1.992626682407894,1.063261874251546,7.33051997837652,18,2.5,1.8,False,1.5
53,30.18867924528302,-6.990407123176374,0.8140474476996518,11.891403180271112,18,2.5,1.8,False,2.0
14,50.0,2.6218076132833232,1.3689750937970622,3.030359551785102,18,2.5,2.2,True,1.5
14,35.714285714285715,-0.37819238671669475,0.95864119909625,4.325373124751956,18,2.5,2.2,True,2.0
24,41.66666666666667,-0.01217095285945069,0.9991436067282412,5.13724065510919,18,2.5,2.2,False,1.5
24,33.33333333333333,-1.512170952859473,0.9069456499852715,6.436267854302067,18,2.5,2.2,False,2.0
7,57.14285714285714,2.248992119596715,1.7431602198879204,2.0133933573692993,18,2.5,2.5,True,1.5
7,42.857142857142854,0.7489921195966971,1.1851849256817075,2.2249888444675747,18,2.5,2.5,True,2.0
13,53.84615384615385,3.6963257534578204,1.6108451329579427,3.021107094050982,18,2.5,2.5,False,1.5
13,46.15384615384615,3.6963257534577973,1.5228571682836551,3.021107094050982,18,2.5,2.5,False,2.0
5,60.0,1.7740452957575372,1.8784533628271953,1.0066485795369555,18,2.5,3.0,True,1.5
5,60.0,2.7740452957575297,2.3736229985337514,1.0066485795369555,18,2.5,3.0,True,2.0
10,60.0,4.234563594133732,2.05043768915012,2.014362316218638,18,2.5,3.0,False,1.5
10,60.0,6.73456359413372,2.670594681599896,2.014362316218638,18,2.5,3.0,False,2.0
51,33.33333333333333,-10.150910199282777,0.7070867438435156,12.29542605170884,18,3.0,1.5,True,1.5
50,26.0,-13.133944004867063,0.6518614345961339,15.99566714232264,18,3.0,1.5,True,2.0
89,39.325842696629216,-3.7715282194371724,0.9314315979914108,15.036303050843996,18,3.0,1.5,False,1.5
88,27.27272727272727,-18.74920417871968,0.7123623129686578,22.5967989644927,18,3.0,1.5,False,2.0
26,34.61538461538461,-4.587222178651852,0.7345981781062432,5.616515000166026,18,3.0,1.8,True,1.5
25,24.0,-8.570255984236073,0.5564037306168286,9.541083194976153,18,3.0,1.8,True,2.0
53,41.509433962264154,0.5061938791692793,1.0160706337085743,7.33051997837652,18,3.0,1.8,False,1.5
52,28.846153846153843,-8.976839926414987,0.7612061405731062,11.891403180271112,18,3.0,1.8,False,2.0
14,50.0,2.6218076132833232,1.3689750937970622,3.030359551785102,18,3.0,2.2,True,1.5
14,35.714285714285715,-0.37819238671669475,0.95864119909625,4.325373124751956,18,3.0,2.2,True,2.0
24,41.66666666666667,-0.01217095285945069,0.9991436067282412,5.13724065510919,18,3.0,2.2,False,1.5
