case,trades,win_rate,total_r,avg_r,pf,max_dd_r
BASE Research 2015-2024,99,55.55555555555556,59.76337814558138,0.6036704863190038,2.551284815852245,6.669623079868975
BASE OOS 2025-2026,15,66.66666666666666,7.263084140616455,0.4842056093744303,2.437942659822636,2.0162025134292705
BASE ALL,114,57.01754385964912,67.02646228619781,0.5879514235631387,2.5381470194434987,6.669623079868975
Practical Research,34,61.76470588235294,29.195924829505795,0.8587036714560528,3.554542520110223,4.35387395705122
Practical OOS,5,100.0,6.7074969235829585,1.3414993847165917,inf,0.0
Practical Research ex-AUDJPY,30,60.0,25.334576847989222,0.8444858949329741,3.4308696078483205,4.353873957051221
