symbol,timeframe,filter,filter_description,structure,entry_mode,direction,signal_time,close,a_level,b_level,trendline,trendline_slope_atr,trigger_level,b_cross,diag_now,retrace,wave1_atr,wave1_bars,adjust_bars,adjust_ratio,right_shoulder_ok,momentum_ok,ema_ok,upper_align,upper_oppose,upper_context,signal_body_ratio,chase_atr,mid_recovery,stop,target_half,half_target_ahead,pivots,pivot_count,entry_i,entry_time,entry,target,target_model,planned_rr,exit_i,exit_time,exit,exit_reason,bars_held,risk,r_clean,r_after_cost,is_oos
USDJPY,H4,observe_loose,候補量確認。浅い戻しも許容し、文脈フィルタなし。,ihs_5pivot,B_confirmed,short,2015-07-03 17:00:00,122.771,121.9395,122.811,123.08334375000001,0.1710255420126381,122.811,True,True,0.6080916402632218,6.441471475642879,10,18,1.8,True,False,True,0,1,D1逆,0.12951807228913548,0.12559534926919566,0.3334669338677323,123.7986966260817,122.16125,True,2308-2318-2331-2334-2336,5,2340,2015-07-05 21:00:00,122.771,122.16125,half_wave,0.5933171176447237,2340,2015-07-05 21:00:00,122.16125,TP,0,1.0276966260817062,0.5933171176447237,0.5835866196103788,False
USDJPY,H4,observe_loose,候補量確認。浅い戻しも許容し、文脈フィルタなし。,classic_6pivot,B_confirmed,long,2015-09-08 05:00:00,119.9345,121.756,119.592,124.39922500000002,0.12757439864978842,119.592,True,False,0.4276944870735452,7.972576399574692,5,48,9.6,True,False,False,0,1,D1逆,0.6825087650954439,0.6446954118414234,0.7427546232404112,118.48274827439155,120.70675,True,2554-2559-2562-2579-2607-2611,6,2619,2015-09-08 09:00:00,119.9345,120.70675,half_wave,0.5319435729799741,2624,2015-09-09 05:00:00,120.70675,TP,5,1.451751725608446,0.5319435729799741,0.5250553428345615,False
USDJPY,H4,observe_loose,候補量確認。浅い戻しも許容し、文脈フィルタなし。,ihs_5pivot,B_confirmed,long,2016-04-26 13:00:00,111.39,111.8955,111.3355,110.7755,-0.26282908925325105,111.3355,True,True,0.4650721336370517,6.181176974045183,5,8,1.6,True,False,True,0,1,D1逆,0.652173913043486,0.12789451218127937,0.58734693877551,110.58527351284197,111.98750000000001,True,3583-3588-3591-3593-3596,5,3599,2016-04-26 17:00:00,111.39,111.98750000000001,half_wave,0.7424882982417248,3607,2016-04-28 01:00:00,110.58527351284197,SL,8,0.8047264871580353,-1.0,-1.0124265823973395,False
USDJPY,H4,observe_loose,候補量確認。浅い戻しも許容し、文脈フィルタなし。,ihs_5pivot,B_confirmed,short,2016-06-20 17:00:00,103.9375,103.5495,104.08,104.87575000000001,0.2019351122374516,104.08,True,True,0.4549921038778754,6.507982307113468,6,11,1.8333333333333333,True,False,True,1,0,D1順,0.6022155085599186,0.3254562129368858,0.7007327419976841,104.9335693837362,103.42125,True,3812-3818-3823-3824-3829,5,3834,2016-06-20 21:00:00,103.9375,103.42125,half_wave,0.5182871880506712,3839,2016-06-21 17:00:00,104.9335693837362,SL,5,0.9960693837361987,-1.0,-1.0100394612697376,False
USDJPY,H4,observe_loose,候補量確認。浅い戻しも許容し、文脈フィルタなし。,classic_6pivot,B_confirmed,short,2016-07-04 21:00:00,102.3905,102.363,102.426,104.11351851851852,0.3580582291503829,102.426,True,True,0.561588898083901,22.492282506891385,1,29,29.0,False,False,True,1,0,D1順,0.4827067669172753,0.10165841606653779,0.2284062570845597,103.46784173347096,99.47075,True,3852-3853-3876-3880-3882-3888,6,3895,2016-07-05 01:00:00,102.3905,99.47075,half_wave,2.71014285373798,3926,2016-07-12 05:00:00,103.46784173347096,SL,31,1.0773417334709592,-1.0,-1.0092821058437726,False
USDJPY,H4,observe_loose,候補量確認。浅い戻しも許容し、文脈フィルタなし。,ihs_5pivot,B_confirmed,short,2016-09-26 05:00:00,100.602,100.0975,100.6775,100.99972222222222,0.15395710398711004,100.6775,True,True,0.397469296613323,6.419214906414293,4,11,2.75,True,False,True,1,0,D1順,0.8227960819234069,0.18036871061936058,0.5276217228464342,101.3307174028031,99.822,True,4232-4236-4243-4245-4247,5,4251,2016-09-26 09:00:00,100.602,99.822,half_wave,1.0703737786412642,4267,2016-09-29 01:00:00,101.3307174028031,SL,16,0.7287174028030989,-1.0,-1.0137227407517986,False
USDJPY,H4,observe_loose,候補量確認。浅い戻しも許容し、文脈フィルタなし。,ihs_5pivot,B_confirmed,long,2019-08-28 17:00:00,106.12,106.412,106.07,105.72799999999998,-0.15599583149456547,106.07,True,True,0.3879530372639121,6.2548854891371315,3,9,3.0,True,False,False,0,1,D1逆,0.5097402597402829,0.15964485679271423,0.615789473684211,105.52836096357312,106.6315,True,8772-8775-8780-8782-8784,5,8790,2019-08-28 21:00:00,106.12,106.6315,half_wave,0.8645474157505337,8795,2019-08-29 17:00:00,106.6315,TP,5,0.5916390364268835,0.8645474157505337,0.8476452179841653,False
USDJPY,H4,observe_loose,候補量確認。浅い戻しも許容し、文脈フィルタなし。,ihs_5pivot,B_confirmed,short,2022-01-19 14:00:00,114.314,113.482,114.454,114.90261538461537,0.26432184188007213,114.454,True,True,0.5945454545454569,7.77737106766473,17,15,0.8823529411764706,True,False,True,0,1,D1逆,0.627329192546617,0.4949236133968478,0.36391437308869323,115.11657438691968,113.69,True,12478-12495-12505-12508-12510,5,12515,2022-01-19 18:00:00,114.314,113.69,half_wave,0.7774980240709304,12523,2022-01-21 02:00:00,113.69,TP,8,0.8025743869196873,0.7774980240709304,0.7650381198390357,False
USDJPY,H4,observe_loose,候補量確認。浅い戻しも許容し、文脈フィルタなし。,ihs_5pivot,B_confirmed,long,2023-01-11 10:00:00,132.698,134.778,132.658,128.41799999999998,-0.5365078644105487,132.658,True,True,0.699381443298969,7.364329648276845,13,9,0.6923076923076923,True,False,False,0,1,D1逆,0.38146167557931543,0.06073673936726286,0.38679245283019265,131.17628400596828,133.81099999999998,True,14006-14019-14023-14025-14028,5,14038,2023-01-11 14:00:00,132.698,133.81099999999998,half_wave,0.731411120317612,14042,2023-01-12 06:00:00,131.17628400596828,SL,4,1.521715994031723,-1.0,-1.0065715284844292,False
USDJPY,H4,observe_loose,候補量確認。浅い戻しも許容し、文脈フィルタなし。,classic_6pivot,B_confirmed,short,2023-11-26 22:00:00,149.114,148.888,149.198,150.3346666666667,0.3632804219503053,149.198,True,True,0.9024304332511404,7.129169017858865,8,16,2.0,True,False,True,0,1,D1逆,0.5401929260450032,0.21093701919695723,0.2341920374707227,149.79364462598343,148.29449999999997,True,15372-15380-15388-15392-15396-15397,6,15403,2023-11-27 02:00:00,149.114,148.29449999999997,half_wave,1.2057772086614207,15408,2023-11-27 22:00:00,148.29449999999997,TP,5,0.6796446259834283,1.2057772086614207,1.1910636368656882,False
USDJPY,H4,observe_loose,候補量確認。浅い戻しも許容し、文脈フィルタなし。,ihs_5pivot,B_confirmed,long,2024-02-07 22:00:00,148.292,148.894,148.26,148.0870909090909,-0.13862140918399388,148.26,True,True,0.42222963951936276,7.205689528497811,12,12,1.0,True,False,True,1,0,D1順,0.27188940092164904,0.07696330604539595,0.5241106719367614,147.5458434890748,149.127,True,15682-15694-15702-15705-15706,5,15709,2024-02-08 02:00:00,148.292,149.127,half_wave,1.1190681683721317,15711,2024-02-08 10:00:00,149.127,TP,2,0.7461565109252035,1.1190681683721317,1.1056661543796633,False
