is_oos,filter,target_model,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,avg_planned_rr,median_planned_rr,avg_hold_bars,tp_rate
False,strict_synapse,fixed_1_5R,12,50.0,2.073486554746653,0.17279054622888776,1.4399677185554727,1.6734221584462217,4,1.5000000000000007,1.5,43.083333333333336,33.33333333333333
False,basic_role,half_wave,1,100.0,1.1910636368656882,1.1910636368656882,inf,0.0,0,1.2057772086614207,1.2057772086614207,5.0,100.0
True,context,fixed_2R,6,50.0,1.0653932150291257,0.1775655358381876,1.3525870499891355,1.009074566689148,1,2.0,2.0,41.166666666666664,16.666666666666664
True,context,fixed_1_5R,6,50.0,0.2733482266968059,0.045558037782800986,1.090463355229978,1.009074566689148,1,1.5,1.5000000000000036,37.5,33.33333333333333
False,context,fixed_1_5R,47,42.5531914893617,0.26251888909843246,0.005585508278690052,1.0116170333023544,6.174246798966969,5,1.4999999999999998,1.5,31.25531914893617,27.659574468085108
False,observe_loose,half_wave,11,54.54545454545454,-0.033987327233584885,-0.0030897570212349897,0.9932725570340689,4.045470890262648,4,0.987714067860815,0.7774980240709304,8.090909090909092,54.54545454545454
False,strict_synapse,fixed_2R,12,41.66666666666667,-0.5692390966159406,-0.04743659138466172,0.8863268445633039,2.8625929508178842,4,2.0,2.0,49.833333333333336,8.333333333333332
True,strict_synapse,fixed_1_5R,1,0.0,-1.0071063786736092,-1.0071063786736092,0.0,0.0,1,1.50000000000001,1.50000000000001,4.0,0.0
True,strict_synapse,fixed_2R,1,0.0,-1.0071063786736092,-1.0071063786736092,0.0,0.0,1,2.0,2.0,4.0,0.0
True,diag_break,fixed_1_5R,14,42.857142857142854,-1.4601194160092053,-0.10429424400065752,0.818594314715028,3.7396499671610735,3,1.4999999999999967,1.4999999999999982,31.071428571428573,28.57142857142857
False,context,fixed_2R,46,41.30434782608695,-1.5965731570888742,-0.0347081121106277,0.9293143358864794,5.444248508707442,5,2.0,2.0,36.65217391304348,10.869565217391305
True,basic_role,fixed_1_5R,26,42.30769230769231,-2.7094223407761446,-0.10420855156831325,0.8085834799509376,5.679194168899469,6,1.500000000000001,1.5,30.384615384615383,19.230769230769234
True,diag_break,fixed_2R,14,35.714285714285715,-3.366113332686166,-0.24043666662044044,0.6283274977136376,5.739649967161052,4,2.0,2.0,35.214285714285715,7.142857142857142
False,diag_break,fixed_1_5R,105,40.95238095238095,-4.5661769242988095,-0.04348739927903628,0.9186292951022,17.62735683935706,6,1.5000000000000002,1.5,27.952380952380953,29.523809523809526
True,observe_loose,fixed_1_5R,29,37.93103448275862,-4.797027250726761,-0.1654147327836814,0.6848166810181503,7.9083487801342125,6,1.5000000000000007,1.5,34.03448275862069,13.793103448275861
True,observe_loose,fixed_2R,28,39.285714285714285,-5.226508490418867,-0.18666101751495953,0.6321949840081352,8.19628031854219,6,2.0,2.0,37.035714285714285,3.571428571428571
True,basic_role,fixed_2R,25,40.0,-5.749072286412635,-0.2299628914565054,0.5937779017995507,9.223009823432353,8,2.0,2.0,34.72,4.0
False,diag_break,fixed_2R,101,38.613861386138616,-6.736333458092326,-0.06669637087220125,0.8799697334525415,17.084209156285603,6,2.0,2.0,32.34653465346535,18.81188118811881
False,basic_role,fixed_1_5R,181,40.331491712707184,-15.24961734726174,-0.08425202954288254,0.8484478345047785,27.882414650728272,6,1.5,1.5,29.712707182320443,26.519337016574585
False,basic_role,fixed_2R,177,35.02824858757062,-24.916169189562034,-0.14076931745515273,0.7669354416675875,34.8192104152144,8,2.0,2.0,32.56497175141243,16.38418079096045
False,observe_loose,fixed_2R,220,35.90909090909091,-27.709932259424434,-0.12595423754283833,0.7895087943022917,47.270353750699414,12,2.0,2.0,33.27272727272727,16.818181818181817
False,observe_loose,fixed_1_5R,229,37.117903930131,-35.04751878161614,-0.15304593354417528,0.7391906729612637,49.85619645755626,12,1.5,1.5,29.80349344978166,24.890829694323145
