symbol,strategy,signal_time,period,pullback_time,bars_after_reclaim,pullback_depth_atr,pullback_hold_level,pullback_high,pullback_low,breakout_atr,signal_range_atr,atr_expansion,bb_expansion,body_ratio,close_location,risk_atr,adx14,rsi14,pair_key,v_start_i,v_low_i,v_start_time,v_low_time,reclaim_time,v_start,v_low,drop,drop_atr,drop_bars,recovery_bars,recovery_ratio,drop_speed,recovery_speed,speed_ratio,activity_ratio,reclaim_i,entry_time,entry,stop,target,exit_time,exit,exit_reason,bars_held,risk,r_clean,r_after_cost,mfe_r,mae_r
XAUUSD,IGNITION_BALANCED,2015-03-20 12:00:00,DEV_2015_2021,2015-03-20 00:00:00,4,2.091550508865729,1160.9451624051153,1174.198,1168.728,1.31148065479267,2.091550508865729,1.2396841355590098,3.004072565698504,0.7606991745855579,0.9341055698134122,2.355042511177185,28.240753610446433,70.5772730655676,1914-1926,1914,1926,2015-03-16 04:00:00,2015-03-18 04:00:00,2015-03-19 20:00:00,1164.047,1145.908,18.139000000000124,2.6553515713339393,12,10,1.436242350735981,0.22127929761116163,0.38137283828431373,1.7234908208831767,1.1083473679251858,1936,2015-03-20 16:00:00,1183.256,1167.0047568917307,1207.6328646624042,2015-03-26 04:00:00,1207.6328646624042,target,23,16.251243108269364,1.500000000000007,1.4784631860056339,1.5348364327469732,0.24293526185644054
AUDJPY,IGNITION_BALANCED,2015-04-08 04:00:00,DEV_2015_2021,2015-04-07 16:00:00,4,1.1322398553170294,91.43830493107349,92.068,91.772,0.5766036300225554,1.1322398553170294,1.0572002567600263,1.3290165712173985,0.7361111111111024,0.9976851851851741,1.6023976049619921,31.799949668113094,67.70421647489113,2014-2024,2014,2024,2015-04-03 12:00:00,2015-04-07 00:00:00,2015-04-07 12:00:00,91.61,90.533,1.0769999999999982,2.5785193378526476,10,3,1.3769730733519097,0.2578519337852648,1.1835172324467635,4.589910244506364,1.277804269164961,2027,2015-04-08 08:00:00,92.288,91.67661385059638,93.20507922410542,2015-04-13 00:00:00,91.67661385059638,stop,18,0.6113861494036144,-1.0,-1.0204453437687162,1.2512550386465757,1.4851497713609039
XAUUSD,IGNITION_BALANCED,2015-04-28 12:00:00,DEV_2015_2021,2015-04-27 16:00:00,6,2.077401722733311,1195.2508456251107,1207.218,1199.211,0.958483706186883,2.077401722733311,1.1244641900366923,1.5655888881704534,0.8018096674339167,0.9113421700134957,2.5287278203170467,24.685327324366575,70.74579538201263,2084-2090,2084,2090,2015-04-23 16:00:00,2015-04-24 16:00:00,2015-04-27 12:00:00,1197.98,1175.204,22.776000000000067,3.6634107899532413,6,6,1.1826044959606545,0.610568464992207,0.7220610117915794,1.1826044959606545,1.1969065931215166,2096,2015-04-28 16:00:00,1213.031,1197.6948031250615,1236.0352953124075,2015-04-30 12:00:00,1197.6948031250615,stop,12,15.336196874938423,-1.0,-1.0228218249188028,0.13041042810739414,2.3460836016520217
AUDJPY,IGNITION_BALANCED,2015-08-04 12:00:00,DEV_2015_2021,2015-08-04 08:00:00,2,0.9663429276978959,90.83692178019126,91.775,91.453,0.5264221063929491,0.9663429276978959,1.0571447820202113,1.4477551532359119,0.8132992327365562,0.8900255754475556,1.57223392920297,20.61220255757122,72.48571406067535,2541-2549,2541,2549,2015-07-31 12:00:00,2015-08-03 16:00:00,2015-08-04 04:00:00,91.019,89.964,1.0550000000000068,2.5600479391478492,8,3,1.4388625592416975,0.32000599239348115,1.227852376501236,3.8369668246445268,1.2231170282096708,2552,2015-08-04 16:00:00,91.987,91.35184543343959,92.9397318498406,2015-08-05 04:00:00,91.35184543343959,stop,4,0.6351545665604021,-1.0,-1.0196802489631474,0.07242331618445816,1.1540497991999918
SILVER,IGNITION_BALANCED,2015-09-18 04:00:00,DEV_2015_2021,2015-09-18 00:00:00,2,1.0634123242827975,14.79948725388019,15.141,15.024,0.16360189604350833,1.0634123242827975,1.1417097326644903,2.2626971428724207,0.7972027972027987,0.9720279720279752,1.283666525002166,32.09936624998018,70.66258572274906,2701-2720,2701,2720,2015-09-10 12:00:00,2015-09-15 12:00:00,2015-09-17 20:00:00,14.86,14.279,0.5809999999999995,4.287979654231535,19,14,1.449225473321861,0.22568313969639656,0.4438749531427289,1.9668059995082396,1.0570617598120806,2734,2015-09-18 08:00:00,15.159,14.990381807711216,15.411927288433176,2015-09-18 12:00:00,15.411927288433176,target,2,0.16861819228878439,1.4999999999999947,1.29243046361179,1.547875685637745,0.1423333963804881
CHFJPY,IGNITION_BALANCED,2016-03-11 16:00:00,DEV_2015_2021,2016-03-11 04:00:00,4,1.0969750264998923,114.61122918205966,115.474,114.987,0.610757479761975,1.0969750264998923,1.2642026199125032,2.0754499912355384,0.6998444790046472,0.7947122861586239,1.691592375415879,28.76767685030058,68.91493352097041,3488-3505,3488,3505,2016-03-04 16:00:00,2016-03-09 08:00:00,2016-03-11 00:00:00,114.875,111.897,2.9779999999999944,4.723664633107043,17,10,1.0910006715916727,0.2778626254768849,0.5153521287093616,1.8547011417058437,1.1333872656324298,3515,2016-03-11 20:00:00,115.831,114.8404606566998,117.31680901495031,2016-03-15 04:00:00,114.8404606566998,stop,10,0.990539343300199,-1.0,-1.020191020311597,0.10297420358909572,1.4638489725900337
AUDJPY,IGNITION_BALANCED,2016-04-20 12:00:00,DEV_2015_2021,2016-04-19 04:00:00,9,1.0215153127790595,84.54521480839276,85.473,84.605,0.24934625744999925,1.0215153127790595,1.0437198978027487,1.812143560348854,0.46062992125983604,0.8346456692913309,2.244770059600044,27.897949722786343,66.37338719406506,3671-3678,3671,3678,2016-04-15 00:00:00,2016-04-18 00:00:00,2016-04-19 00:00:00,84.769,82.462,2.307000000000002,4.240178300278602,7,6,1.0442132639791892,0.6057397571826575,0.737941737131275,1.2182488079757208,1.2340820438506812,3684,2016-04-20 16:00:00,85.597,84.48067489355154,87.27148765967269,2016-04-27 12:00:00,84.48067489355154,stop,31,1.116325106448457,-1.0,-1.0111974548702545,0.70140857307338,1.2317200357291136
GBPJPY,IGNITION_BALANCED,2016-06-20 08:00:00,DEV_2015_2021,2016-06-20 00:00:00,3,0.8523777590073748,151.79094766369198,152.92,151.93,0.08195939990457453,0.8523777590073748,1.1824338060678758,1.116109473672277,0.5000000000000137,0.557692307692324,1.1433574589596618,32.71355680817061,64.56021620911866,5436-5454,5436,5454,2016-06-13 12:00:00,2016-06-16 12:00:00,2016-06-19 20:00:00,152.34,145.36,6.97999999999999,5.354403312354446,18,9,1.0372492836676206,0.2974668506863581,0.617094555578576,2.074498567335241,1.2808376362593175,5463,2016-06-20 12:00:00,153.03,151.62497092427333,155.13754361359003,2016-06-22 20:00:00,155.13754361359003,target,15,1.4050290757266737,1.5000000000000102,1.4857654191322527,1.8860819649795786,0.967951499008395
EURJPY,IGNITION_BALANCED,2016-08-31 12:00:00,DEV_2015_2021,2016-08-30 16:00:00,6,1.3758760375306915,114.53898619100976,115.07,114.66,0.5949734216349494,1.3758760375306915,1.1659000201195804,2.427829632624686,0.6756756756756933,0.7567567567567796,2.3695928145743705,40.61058471645847,77.19345089807942,4194-4199,4194,4199,2016-08-29 04:00:00,2016-08-30 00:00:00,2016-08-30 12:00:00,114.66,113.84,0.8199999999999932,2.857521904617203,5,3,1.1219512195122066,0.5715043809234407,1.068666728556038,1.8699186991870107,1.1835106382978668,4202,2016-08-31 16:00:00,115.21,114.59277010611653,116.13584484082519,2016-09-02 12:00:00,116.13584484082519,target,12,0.6172298938834615,1.5,1.4797482265135578,1.8307603231760574,0.29162553820502124
XAUUSD,IGNITION_BALANCED,2016-09-07 00:00:00,DEV_2015_2021,2016-09-06 20:00:00,2,0.8846889820665452,1339.7459139716773,1350.42,1347.409,0.22750742356850132,0.8846889820665452,1.091188517877118,1.8194792472867432,0.5520219039595764,0.8068660488626985,1.0385433386911251,32.28381406638365,84.04566369301178,4234-4259,4234,4259,2016-08-26 12:00:00,2016-09-01 12:00:00,2016-09-06 16:00:00,1342.161,1302.452,39.70900000000006,7.091723596057721,25,20,1.1633634692387076,0.2836689438423089,0.41251260827958575,1.4542043365483845,1.329854735441773,4279,2016-09-07 04:00:00,1351.689,1346.067285539821,1360.1215716902689,2016-09-07 12:00:00,1346.067285539821,stop,3,5.6217144601791915,-1.0,-1.0622585872120194,0.1296757430786653,1.6064494317472529
