label,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,avg_mfe_r,avg_mae_r,oos_2024_2026_trades,oos_2024_2026_r
IGNITION_BALANCED_AUDJPY,6,33.33333333333333,-1.1028366406269787,-0.18380610677116313,0.7293054527325545,3.05365460305208,4,0.8960055345693793,0.9034298099838901,0,0.0
IGNITION_BALANCED_CHFJPY,16,43.75,1.089919826829442,0.06811998917684013,1.1180490977338176,3.0773839581222946,3,1.0252728505862883,1.1574511537343302,5,2.416655110466625
IGNITION_BALANCED_EURJPY,9,44.44444444444444,0.837195433564542,0.09302171484050466,1.164352515295888,3.614630873721304,3,0.9095495339072315,0.9927226838070509,1,1.4922144731348634
IGNITION_BALANCED_GBPJPY,5,60.0,2.4098142719093807,0.48196285438187614,2.177402613961758,1.028232819161353,1,1.0403877303508446,0.8973091472180224,0,0.0
IGNITION_BALANCED_SILVER,5,20.0,-3.3668425092517915,-0.6733685018503583,0.2773888697097445,4.659272972863581,4,1.0747139180810463,1.301295331042072,1,-1.0838289615262706
IGNITION_BALANCED_USDJPY,10,50.0,2.280808228910788,0.2280808228910788,1.448780953678843,3.0479843317026227,3,1.1647940526542457,0.84966003555362,2,0.47037056503158237
IGNITION_BALANCED_XAUUSD,14,35.714285714285715,-1.9044461922938776,-0.13603187087813412,0.7945091304111797,6.221748034010247,6,1.1778752863506738,0.9850797844475254,3,-0.5376191185425281
IGNITION_EARLY_AUDJPY,7,57.14285714285714,2.8653328534092304,0.4093332647727472,1.9403115727055915,1.0155736098166943,2,1.302528588623754,0.8138003235981307,1,-1.0155736098166943
IGNITION_EARLY_CHFJPY,17,47.05882352941176,2.5619825997938,0.1507048588114,1.27799520462009,2.058351571820489,3,1.05999700421073,1.1368590128200065,6,1.3946449047405578
IGNITION_EARLY_EURJPY,9,55.55555555555556,3.3393142997562766,0.37103492219514184,1.8183486971356293,2.0357701539638144,2,1.1242046716149932,0.8857703686415972,2,2.980984252633696
IGNITION_EARLY_GBPJPY,6,50.0,1.3676989164564786,0.22794981940941308,1.446846215106084,1.028232819161353,1,0.9596779648888952,0.8778886828335741,0,0.0
IGNITION_EARLY_SILVER,7,28.57142857142857,-2.9127310589421844,-0.41610443699174066,0.499015698605811,2.4765269268265695,3,1.3077270977175623,1.5025376104694375,1,-1.0838289615262706
IGNITION_EARLY_USDJPY,13,38.46153846153847,-0.7307644514003855,-0.05621265010772196,0.9100781380013104,5.080387985155001,5,0.9487255590105903,0.8800875968805923,3,1.9602832754253237
IGNITION_EARLY_XAUUSD,14,42.857142857142854,0.5377337723930069,0.03840955517092907,1.0649010277289193,3.737085020196801,3,1.417441554734232,0.9675683208774049,3,-0.5801021676690894
IGNITION_STRICT_AUDJPY,1,100.0,1.4843234752443848,1.4843234752443848,inf,0.0,0,1.590226671211047,0.24957027410961763,0,0.0
IGNITION_STRICT_CHFJPY,2,50.0,0.46551644539018255,0.23275822269509128,1.4550558471783728,0.0,1,1.0854857139064111,1.3195238817358612,1,1.4885039496199863
IGNITION_STRICT_EURJPY,1,100.0,1.4922144731348634,1.4922144731348634,inf,0.0,0,1.6922621194056657,0.8806987989840455,1,1.4922144731348634
IGNITION_STRICT_GBPJPY,1,100.0,1.484161693963761,1.484161693963761,inf,0.0,0,1.6155072156978514,0.43555341599698044,0,0.0
IGNITION_STRICT_USDJPY,2,50.0,0.43136913478807837,0.21568456739403918,1.4221656228890664,0.0,1,1.29813471818655,0.8575738659093549,0,0.0
IGNITION_STRICT_XAUUSD,1,0.0,-1.033621587149724,-1.033621587149724,0.0,0.0,1,1.1053817238049288,1.271856611034778,0,0.0
