label,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,avg_mfe_r,avg_mae_r,oos_2024_2026_trades,oos_2024_2026_r
IGNITION_STRICT_ex_XAUUSD,7,71.42857142857143,5.35758522252127,0.7653693175030386,3.6201174162763228,1.021800713748382,1,1.3807481243572124,0.8457168549115822,2,2.9807184227548498
IGNITION_EARLY_ex_XAUUSD,59,45.76271186440678,6.490833159073214,0.11001412134022395,1.194655981379734,8.28828561044756,8,1.0932386606267395,1.020701236112485,13,4.236509861456613
IGNITION_BALANCED_ex_XAUUSD,51,43.13725490196079,2.1480586113353843,0.04211879630069381,1.0711537041044692,12.036738226639109,8,1.02332928216988,1.0267436121716227,9,3.2954111871068004
