timeframe,filter,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,avg_planned_rr,avg_hold_bars,tp_rate
H1,base,426,40.845070422535215,22.29846915829947,0.05234382431525697,1.0861219619600266,70.50549571449719,36,1.7499999999999996,18.63849765258216,38.967136150234744
H1,context,136,39.705882352941174,6.164265756208401,0.045325483501532364,1.0737621515050915,24.10550650387151,12,1.7499999999999991,19.522058823529413,39.705882352941174
H4,base,58,37.93103448275862,-2.9358630040382847,-0.0506183276558325,0.9175108225774301,16.346140934813047,16,1.7499999999999984,16.275862068965516,31.03448275862069
H4,context,24,20.833333333333336,-9.874870375268763,-0.4114529323028651,0.4604437776790038,8.864855896840378,8,1.749999999999999,19.833333333333332,20.833333333333336
M30,context,331,33.8368580060423,-40.98727316733242,-0.12382861984088343,0.820765942056301,55.85400276754389,26,1.7492447129909383,19.761329305135952,33.53474320241692
M30,base,1209,35.8974358974359,-89.06091303865657,-0.07366494047862412,0.8899694779944881,126.84971790023384,24,1.7489660876757651,18.727874276261375,35.070306038047974
M15,context,754,33.55437665782494,-115.88749499317778,-0.15369694296177425,0.7816070720173892,143.78605263109694,33,1.749999999999999,22.846153846153847,32.891246684350136
M15,base,2379,37.3266078184111,-143.50759941147618,-0.06032265633101142,0.9095359321160574,276.83754109955635,38,1.7484237074401012,25.253888188314416,36.233711643547714
