feature,bin,trades,win_rate,total_r,avg_r,pf
retrace,"(0.5, 0.618]",1723,39.988392338943704,38.84991659247428,0.02254783319354282,1.035788667939108
retrace,"(0.618, 0.764]",2086,34.70757430488975,-253.20243384073234,-0.12138179954014014,0.8246697803230199
retrace,"(0.764, 0.886]",1508,35.07957559681697,-159.4387618271841,-0.10572862190131571,0.8439603651087509
box_width_atr,"(-0.001, 0.8]",24,41.66666666666667,1.8462746135230539,0.07692810889679391,1.1257500880036806
box_width_atr,"(0.8, 1.2]",503,37.57455268389662,-14.313058896479815,-0.028455385480079153,0.9559084311114233
box_width_atr,"(1.2, 1.6]",2770,35.812274368231044,-252.94962106239933,-0.09131755273010807,0.865540756010292
box_width_atr,"(1.6, 2.0]",2020,37.17821782178218,-108.37487373008602,-0.0536509275891515,0.9185718784175798
recovery,"(-0.001, 0.25]",46,26.08695652173913,-15.495315869946783,-0.3368546928249301,0.5619726617172817
recovery,"(0.25, 0.5]",1331,37.56574004507889,-52.5331228609818,-0.03946891274303666,0.9399953035384258
recovery,"(0.5, 0.75]",2682,36.0924683072334,-218.27266661256516,-0.08138429031042697,0.8790890943924505
recovery,"(0.75, 0.92]",1258,36.72496025437202,-87.49017373194843,-0.0695470379427253,0.895268037842684
adjust_ratio,"(-0.001, 0.3]",28,14.285714285714285,-19.58171596124272,-0.6993469986158114,0.22802638818363927
adjust_ratio,"(0.3, 0.5]",847,35.41912632821724,-91.36746402751328,-0.1078718583559779,0.8420694314463056
adjust_ratio,"(0.5, 0.8]",1255,38.40637450199203,-11.189554043890354,-0.00891597931784092,0.9862298798383605
adjust_ratio,"(0.8, 1.2]",1127,36.734693877551024,-62.28556531597344,-0.05526669504522932,0.9157814384865937
adjust_ratio,"(1.2, 99.0]",2060,36.019417475728154,-189.3669797268223,-0.0919257183139914,0.8642923858204322
body_ratio,"(-0.001, 0.25]",4,0.0,-4.416263692966561,-1.1040659232416403,0.0
body_ratio,"(0.25, 0.35]",218,41.284403669724774,11.514809894248664,0.05282022887270029,1.0843821447269948
body_ratio,"(0.35, 0.45]",480,26.25,-173.21024544782802,-0.3608546780163084,0.5392332700239975
body_ratio,"(0.45, 0.65]",1705,39.35483870967742,7.668027341862469,0.00449737674009529,1.0070267763003495
body_ratio,"(0.65, 1.0]",2910,36.25429553264605,-215.34760717075872,-0.07400261414802706,0.889191100934844
setup_age,"(-0.001, 3.0]",2244,37.254901960784316,-119.899270004984,-0.05343104723929768,0.9199928028301807
setup_age,"(12.0, 24.0]",414,31.40096618357488,-71.493029544904,-0.17268847716160388,0.7522614271052126
setup_age,"(24.0, 48.0]",20,25.0,-7.342620051886712,-0.3671310025943356,0.5272895780551263
setup_age,"(3.0, 6.0]",1406,36.77098150782361,-97.18731821675058,-0.06912327042443142,0.8965951548623232
setup_age,"(6.0, 12.0]",1233,36.820762368207625,-77.86904125691683,-0.06315412916213854,0.9037314282547441
