symbol,timeframe,filter,filter_description,box_bars,box_atr,signal_i,signal_time,direction,close,p0,p1,p2,wave1_atr,retrace,recovery,wave1_bars,adjust_bars,adjust_ratio,setup_age,box_high,box_low,box_width_atr,chase_atr,signal_body_ratio,ema_ok,upper_align,upper_oppose,upper_context,stop,pivots,entry_i,entry_time,entry,target_model,target,planned_rr,exit_i,exit_time,exit,exit_reason,bars_held,risk,r_clean,r_after_cost,sample
USDJPY,M15,base,50%-88.6%戻し + 圧縮ボックス再ブレイク。上位足は問わない。,8,2.0,723,2014-01-13 10:45:00,short,103.317,103.508,103.29,103.476,3.06237813070103,0.8532110091743209,0.8548387096774847,10,3,0.3,2,103.476,103.354,1.7138079447043284,0.5197614258530387,0.5000000000000756,True,2,0,"H1順,H4順",103.49023730125386,703-713-716,724,2014-01-13 11:00:00,103.317,fixed_1_5R,103.0571440481192,1.5,730,2014-01-13 12:30:00,103.49023730125386,SL,6,0.17323730125386305,-1.0,-1.0577242887508207,IS_2014_2024
USDJPY,M15,base,50%-88.6%戻し + 圧縮ボックス再ブレイク。上位足は問わない。,8,2.0,723,2014-01-13 10:45:00,short,103.317,103.508,103.29,103.476,3.06237813070103,0.8532110091743209,0.8548387096774847,10,3,0.3,2,103.476,103.354,1.7138079447043284,0.5197614258530387,0.5000000000000756,True,2,0,"H1順,H4順",103.49023730125386,703-713-716,724,2014-01-13 11:00:00,103.317,fixed_2R,102.97052539749227,2.0,730,2014-01-13 12:30:00,103.49023730125386,SL,6,0.17323730125386305,-1.0,-1.0577242887508207,IS_2014_2024
USDJPY,M30,base,50%-88.6%戻し + 圧縮ボックス再ブレイク。上位足は問わない。,8,2.0,604,2014-01-20 12:00:00,short,104.091,104.385,103.861,104.256,7.148511650179886,0.7538167938931208,0.4177215189873618,7,17,2.4285714285714284,1,104.256,104.121,1.8416967037677854,0.40926593417061896,0.7833333333334912,True,2,0,"H1順,H4順",104.27066039437697,575-582-599,605,2014-01-20 12:30:00,104.09,fixed_1_5R,103.81900940843454,1.5000000000000393,628,2014-01-21 00:00:00,104.27066039437697,SL,23,0.18066039437697157,-1.0,-1.0553524752034174,IS_2014_2024
USDJPY,M30,base,50%-88.6%戻し + 圧縮ボックス再ブレイク。上位足は問わない。,8,2.0,604,2014-01-20 12:00:00,short,104.091,104.385,103.861,104.256,7.148511650179886,0.7538167938931208,0.4177215189873618,7,17,2.4285714285714284,1,104.256,104.121,1.8416967037677854,0.40926593417061896,0.7833333333334912,True,2,0,"H1順,H4順",104.27066039437697,575-582-599,605,2014-01-20 12:30:00,104.09,fixed_2R,103.72867921124606,2.0,628,2014-01-21 00:00:00,104.27066039437697,SL,23,0.18066039437697157,-1.0,-1.0553524752034174,IS_2014_2024
USDJPY,M30,context,base + 上位足1つ以上順行、明確な逆行なし。,8,2.0,604,2014-01-20 12:00:00,short,104.091,104.385,103.861,104.256,7.148511650179886,0.7538167938931208,0.4177215189873618,7,17,2.4285714285714284,1,104.256,104.121,1.8416967037677854,0.40926593417061896,0.7833333333334912,True,2,0,"H1順,H4順",104.27066039437697,575-582-599,605,2014-01-20 12:30:00,104.09,fixed_1_5R,103.81900940843454,1.5000000000000393,628,2014-01-21 00:00:00,104.27066039437697,SL,23,0.18066039437697157,-1.0,-1.0553524752034174,IS_2014_2024
USDJPY,M30,context,base + 上位足1つ以上順行、明確な逆行なし。,8,2.0,604,2014-01-20 12:00:00,short,104.091,104.385,103.861,104.256,7.148511650179886,0.7538167938931208,0.4177215189873618,7,17,2.4285714285714284,1,104.256,104.121,1.8416967037677854,0.40926593417061896,0.7833333333334912,True,2,0,"H1順,H4順",104.27066039437697,575-582-599,605,2014-01-20 12:30:00,104.09,fixed_2R,103.72867921124606,2.0,628,2014-01-21 00:00:00,104.27066039437697,SL,23,0.18066039437697157,-1.0,-1.0553524752034174,IS_2014_2024
USDJPY,M15,base,50%-88.6%戻し + 圧縮ボックス再ブレイク。上位足は問わない。,8,1.6,1406,2014-01-22 13:30:00,long,104.42,103.969,104.569,104.231,9.525171467823734,0.5633333333333388,0.559171597633144,7,13,1.8571428571428572,14,104.412,104.313,1.5716532921909534,0.1270022862375776,0.6811594202899267,True,0,1,"H1中立,H4逆",104.2184018015943,1367-1374-1387,1407,2014-01-22 13:45:00,104.42,fixed_1_5R,104.72239729760855,1.4999999999999647,1449,2014-01-23 00:15:00,104.72239729760855,TP,42,0.20159819840570492,1.4999999999999647,1.450396382115114,IS_2014_2024
USDJPY,M15,base,50%-88.6%戻し + 圧縮ボックス再ブレイク。上位足は問わない。,8,1.6,1406,2014-01-22 13:30:00,long,104.42,103.969,104.569,104.231,9.525171467823734,0.5633333333333388,0.559171597633144,7,13,1.8571428571428572,14,104.412,104.313,1.5716532921909534,0.1270022862375776,0.6811594202899267,True,0,1,"H1中立,H4逆",104.2184018015943,1367-1374-1387,1407,2014-01-22 13:45:00,104.42,fixed_2R,104.82319639681141,2.0,1450,2014-01-23 00:30:00,104.82319639681141,TP,43,0.20159819840570492,2.0,1.9503963821151493,IS_2014_2024
USDJPY,M15,base,50%-88.6%戻し + 圧縮ボックス再ブレイク。上位足は問わない。,8,2.0,1406,2014-01-22 13:30:00,long,104.42,103.969,104.569,104.231,9.525171467823734,0.5633333333333388,0.559171597633144,7,13,1.8571428571428572,14,104.412,104.313,1.5716532921909534,0.1270022862375776,0.6811594202899267,True,0,1,"H1中立,H4逆",104.2184018015943,1367-1374-1387,1407,2014-01-22 13:45:00,104.42,fixed_1_5R,104.72239729760855,1.4999999999999647,1449,2014-01-23 00:15:00,104.72239729760855,TP,42,0.20159819840570492,1.4999999999999647,1.450396382115114,IS_2014_2024
USDJPY,M15,base,50%-88.6%戻し + 圧縮ボックス再ブレイク。上位足は問わない。,8,2.0,1406,2014-01-22 13:30:00,long,104.42,103.969,104.569,104.231,9.525171467823734,0.5633333333333388,0.559171597633144,7,13,1.8571428571428572,14,104.412,104.313,1.5716532921909534,0.1270022862375776,0.6811594202899267,True,0,1,"H1中立,H4逆",104.2184018015943,1367-1374-1387,1407,2014-01-22 13:45:00,104.42,fixed_2R,104.82319639681141,2.0,1450,2014-01-23 00:30:00,104.82319639681141,TP,43,0.20159819840570492,2.0,1.9503963821151493,IS_2014_2024
