sample,timeframe,filter,target_model,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,avg_planned_rr,avg_hold_bars,tp_rate
OOS_2025_2026,H1,base,fixed_2R,14,78.57142857142857,18.740711514995855,1.3386222510711325,7.154335009473951,2.0246393588281673,2,2.0,17.642857142857142,78.57142857142857
IS_2014_2024,H1,base,fixed_1_5R,199,44.72361809045226,14.386965343608837,0.07229630825934089,1.127316538549611,33.279627498403656,18,1.4999999999999982,15.884422110552764,43.71859296482412
OOS_2025_2026,H1,base,fixed_1_5R,14,78.57142857142857,13.240711514995935,0.9457651082139954,5.348168657410892,2.0246393588281673,2,1.5000000000000038,13.642857142857142,78.57142857142857
OOS_2025_2026,H1,context,fixed_2R,4,100.0,7.92280569520902,1.980701423802255,inf,0.0,0,2.0,14.75,100.0
IS_2014_2024,H1,context,fixed_1_5R,64,45.3125,6.9093271828950735,0.10795823723273552,1.1941904334924514,9.524084475019276,6,1.4999999999999978,16.984375,45.3125
OOS_2025_2026,H1,context,fixed_1_5R,4,100.0,5.922805695209046,1.4807014238022616,inf,0.0,0,1.5000000000000067,11.75,100.0
OOS_2025_2026,M30,context,fixed_1_5R,14,50.0,3.1641490714246254,0.22601064795890183,1.440748968750839,3.082842934133292,3,1.5000000000000082,16.5,50.0
OOS_2025_2026,M30,base,fixed_2R,41,36.58536585365854,2.823714799277397,0.06887109266530236,1.1054977402035162,11.355864573018813,11,2.0,24.585365853658537,36.58536585365854
OOS_2025_2026,M30,context,fixed_2R,13,38.46153846153847,1.6863709192226735,0.12972083994020564,1.2055878777466094,5.128713865387022,5,2.0,23.692307692307693,38.46153846153847
OOS_2025_2026,H4,base,fixed_2R,2,50.0,0.9805058969577791,0.49025294847888956,1.973338841191623,0.0,1,2.0,20.0,50.0
OOS_2025_2026,M30,base,fixed_1_5R,43,41.86046511627907,0.7693886532569987,0.017892759378069736,1.0298805759676264,11.355864573018815,11,1.4999999999999991,17.53488372093023,41.86046511627907
OOS_2025_2026,H4,base,fixed_1_5R,2,50.0,0.48050589695779644,0.24025294847889822,1.4769936156241006,0.0,1,1.5000000000000087,19.5,50.0
OOS_2025_2026,H4,context,fixed_1_5R,1,0.0,-1.0073633717908368,-1.0073633717908368,0.0,0.0,1,1.5,15.0,0.0
OOS_2025_2026,H4,context,fixed_2R,1,0.0,-1.0073633717908368,-1.0073633717908368,0.0,0.0,1,2.0,15.0,0.0
IS_2014_2024,H4,base,fixed_1_5R,27,40.74074074074074,-1.9411051014431036,-0.07189278153492976,0.8806661374526449,8.173070467406523,8,1.4999999999999967,15.407407407407407,33.33333333333333
OOS_2025_2026,M15,base,fixed_1_5R,90,41.11111111111111,-2.4047982596588917,-0.026719980662876574,0.9565882707851938,15.428393691699608,10,1.5000000000000082,23.38888888888889,40.0
IS_2014_2024,H4,base,fixed_2R,27,33.33333333333333,-2.455769696510757,-0.09095443320410211,0.8581299073222278,8.173070467406523,8,2.0,16.62962962962963,25.925925925925924
IS_2014_2024,H4,context,fixed_1_5R,11,27.27272727272727,-3.6727395183096627,-0.3338854107554239,0.5480849749472663,3.1318802785437447,3,1.4999999999999971,19.363636363636363,27.27272727272727
IS_2014_2024,H4,context,fixed_2R,11,18.181818181818183,-4.187404113377426,-0.3806731012161296,0.48684107142819755,4.113162126193226,6,2.0,21.181818181818183,18.181818181818183
