sample,timeframe,filter,target_model,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,avg_planned_rr,avg_hold_bars,tp_rate
OOS_2025_2026,M15,context,fixed_1_5R,34,29.411764705882355,-11.696240916044353,-0.34400708576601036,0.5360699630961275,17.99871434237847,11,1.500000000000019,21.029411764705884,26.47058823529412
OOS_2025_2026,M15,base,fixed_2R,89,30.337078651685395,-13.533027607553512,-0.15205648997251137,0.7910618607379438,19.1477542609938,10,2.0,27.719101123595507,28.08988764044944
IS_2014_2024,H1,context,fixed_2R,64,26.5625,-14.590672817104736,-0.2279792627672615,0.6959600802447422,20.389011690397354,12,2.0,22.84375,26.5625
OOS_2025_2026,M15,context,fixed_2R,34,17.647058823529413,-19.19624091604438,-0.5645953210601289,0.3472973895494268,23.54347066376861,11,2.0,23.441176470588236,14.705882352941178
IS_2014_2024,M30,context,fixed_2R,152,30.263157894736842,-21.3411383882855,-0.1404022262387204,0.8069172680166479,26.84924319306751,13,2.0,21.82894736842105,29.605263157894733
IS_2014_2024,H1,base,fixed_2R,199,31.65829145728643,-24.069919215301162,-0.12095436791608624,0.8278575007348244,38.09464515194837,18,2.0,21.814070351758794,28.643216080402013
IS_2014_2024,M30,context,fixed_1_5R,152,35.526315789473685,-24.496654769694214,-0.16116220243219878,0.7616361059862716,29.004759574476374,13,1.5000000000000033,17.657894736842106,35.526315789473685
IS_2014_2024,M15,context,fixed_2R,343,32.06997084548105,-36.86500017229927,-0.10747813461311741,0.8508277113930923,75.26051990730335,23,2.0,24.778425655976676,31.486880466472307
IS_2014_2024,M30,base,fixed_2R,561,32.79857397504456,-41.52564014042137,-0.07402074891340708,0.8946915032124293,59.082577182201845,14,2.0,20.29055258467023,31.72905525846702
IS_2014_2024,M15,context,fixed_1_5R,343,37.02623906705539,-48.13001298878978,-0.1403207375766466,0.789720239173558,69.6233247866479,16,1.4999999999999958,21.034985422740526,36.734693877551024
IS_2014_2024,M30,base,fixed_1_5R,564,38.47517730496454,-51.12837635076957,-0.09065314955810208,0.8589880628357967,69.34748973993322,12,1.4999999999999998,16.838652482269502,37.765957446808514
IS_2014_2024,M15,base,fixed_1_5R,1107,40.83107497741644,-60.52605651223145,-0.054675751140227144,0.913265268636279,125.72571958317162,19,1.5,22.83739837398374,40.018066847335135
IS_2014_2024,M15,base,fixed_2R,1093,34.03476669716377,-67.04371703203233,-0.06133917386279262,0.9127437155980425,151.11182151638477,19,2.0,27.65416285452882,32.75388838060384
