variant,symbol,entry_time,r,reason,exit_time,period
swing_trail_5,CHFJPY,2019-06-03 20:00:00,-0.07128846857866775,SL,2019-06-04 00:00:00,Research_2015_2024
swing_trail_5,GBPJPY,2020-07-16 16:00:00,-0.4243659529579287,SL,2020-07-17 04:00:00,Research_2015_2024
swing_trail_5,XAUUSD,2021-01-20 04:00:00,-0.040419693299513046,SL,2021-01-20 12:00:00,Research_2015_2024
swing_trail_5,AUDJPY,2021-01-29 12:00:00,-0.2510999375427957,SL,2021-01-29 16:00:00,Research_2015_2024
swing_trail_5,USDJPY,2022-10-06 16:00:00,-0.07068256307522108,SL,2022-10-07 04:00:00,Research_2015_2024
swing_trail_5,USDJPY,2024-04-08 04:00:00,-0.04670219641211839,SL,2024-04-08 12:00:00,Research_2015_2024
swing_trail_5,CHFJPY,2024-08-07 04:00:00,-0.14774009258007384,SL,2024-08-07 08:00:00,Research_2015_2024
swing_trail_5,XAUUSD,2024-08-26 08:00:00,-0.04123043620934446,SL,2024-08-26 12:00:00,Research_2015_2024
swing_trail_5,SILVER,2024-11-15 12:00:00,-0.347005671015104,SL,2024-11-15 16:00:00,Research_2015_2024
swing_trail_5,SILVER,2025-06-25 20:00:00,-0.11289679960428327,SL,2025-06-27 04:00:00,OOS_2025_2026
swing_trail_5,CHFJPY,2025-08-18 16:00:00,-0.14567361814269109,SL,2025-08-18 20:00:00,OOS_2025_2026
swing_trail_5,GBPJPY,2026-02-19 04:00:00,-0.10784236041551105,SL,2026-02-19 08:00:00,OOS_2025_2026
swing_trail_5,SILVER,2026-03-25 00:00:00,-0.04834295284541244,SL,2026-03-25 08:00:00,OOS_2025_2026
bb_mid_reversal,XAUUSD,2015-07-27 08:00:00,-0.3581990252261019,bb_mid_reversal,2015-07-27 16:00:00,Research_2015_2024
bb_mid_reversal,SILVER,2015-10-12 08:00:00,-0.33778703136074234,bb_mid_reversal,2015-10-12 20:00:00,Research_2015_2024
bb_mid_reversal,SILVER,2015-12-04 12:00:00,0.3480808242187903,bb_mid_reversal,2015-12-07 16:00:00,Research_2015_2024
bb_mid_reversal,GBPJPY,2016-08-24 00:00:00,2.331008835309663,bb_mid_reversal,2016-09-06 12:00:00,Research_2015_2024
bb_mid_reversal,AUDJPY,2016-10-04 00:00:00,-0.0683113681915124,bb_mid_reversal,2016-10-07 12:00:00,Research_2015_2024
bb_mid_reversal,CHFJPY,2016-11-30 12:00:00,0.12775290211958748,bb_mid_reversal,2016-12-04 20:00:00,Research_2015_2024
bb_mid_reversal,USDJPY,2016-12-07 08:00:00,-0.5221033193312262,bb_mid_reversal,2016-12-07 12:00:00,Research_2015_2024
bb_mid_reversal,XAUUSD,2017-05-26 08:00:00,0.0817631762202824,bb_mid_reversal,2017-05-30 08:00:00,Research_2015_2024
bb_mid_reversal,EURJPY,2018-05-18 00:00:00,-0.2555026139704574,bb_mid_reversal,2018-05-18 12:00:00,Research_2015_2024
bb_mid_reversal,USDJPY,2018-10-30 04:00:00,0.022841490380333004,bb_mid_reversal,2018-11-01 16:00:00,Research_2015_2024
bb_mid_reversal,CHFJPY,2019-06-03 20:00:00,-0.024955337304405193,bb_mid_reversal,2019-06-06 00:00:00,Research_2015_2024
bb_mid_reversal,GBPJPY,2020-07-16 16:00:00,-0.6115355536611875,bb_mid_reversal,2020-07-17 04:00:00,Research_2015_2024
bb_mid_reversal,XAUUSD,2021-01-20 04:00:00,0.007667958810286835,bb_mid_reversal,2021-01-22 08:00:00,Research_2015_2024
bb_mid_reversal,AUDJPY,2021-01-29 12:00:00,-0.2764866240327899,bb_mid_reversal,2021-01-29 16:00:00,Research_2015_2024
bb_mid_reversal,USDJPY,2022-10-06 16:00:00,0.8871935519985333,bb_mid_reversal,2022-10-21 12:00:00,Research_2015_2024
bb_mid_reversal,USDJPY,2024-04-08 04:00:00,2.496131203947931,bb_mid_reversal,2024-04-19 00:00:00,Research_2015_2024
bb_mid_reversal,CHFJPY,2024-08-07 04:00:00,-0.2270195235452757,bb_mid_reversal,2024-08-07 12:00:00,Research_2015_2024
bb_mid_reversal,XAUUSD,2024-08-26 08:00:00,-0.23767558639017106,bb_mid_reversal,2024-08-27 00:00:00,Research_2015_2024
bb_mid_reversal,SILVER,2024-11-15 12:00:00,-0.38011997404276826,bb_mid_reversal,2024-11-15 16:00:00,Research_2015_2024
bb_mid_reversal,SILVER,2025-06-25 20:00:00,-0.234073955374039,bb_mid_reversal,2025-06-27 04:00:00,OOS_2025_2026
bb_mid_reversal,CHFJPY,2025-08-18 16:00:00,-0.252772941781331,bb_mid_reversal,2025-08-19 16:00:00,OOS_2025_2026
bb_mid_reversal,GBPJPY,2026-02-19 04:00:00,-0.49470248108949566,bb_mid_reversal,2026-02-19 08:00:00,OOS_2025_2026
bb_mid_reversal,SILVER,2026-03-25 00:00:00,-0.17743430898767795,bb_mid_reversal,2026-03-25 20:00:00,OOS_2025_2026
h4_low_break_5,XAUUSD,2015-07-27 08:00:00,-0.6293416403016628,h4_low_break,2015-07-30 04:00:00,Research_2015_2024
h4_low_break_5,SILVER,2015-10-12 08:00:00,-0.23907301306353876,h4_low_break,2015-10-19 00:00:00,Research_2015_2024
h4_low_break_5,SILVER,2015-12-04 12:00:00,0.6652835108052658,h4_low_break,2015-12-07 12:00:00,Research_2015_2024
h4_low_break_5,GBPJPY,2016-08-24 00:00:00,0.07534574013121957,h4_low_break,2016-08-25 08:00:00,Research_2015_2024
h4_low_break_5,AUDJPY,2016-10-04 00:00:00,-0.0683113681915124,h4_low_break,2016-10-07 12:00:00,Research_2015_2024
h4_low_break_5,CHFJPY,2016-11-30 12:00:00,0.3793278478320149,h4_low_break,2016-12-02 20:00:00,Research_2015_2024
h4_low_break_5,USDJPY,2016-12-07 08:00:00,0.478594709386973,h4_low_break,2016-12-12 16:00:00,Research_2015_2024
h4_low_break_5,XAUUSD,2017-05-26 08:00:00,0.16941108569942015,h4_low_break,2017-05-30 04:00:00,Research_2015_2024
h4_low_break_5,EURJPY,2018-05-18 00:00:00,-0.09705138050041084,h4_low_break,2018-05-22 20:00:00,Research_2015_2024
h4_low_break_5,USDJPY,2018-10-30 04:00:00,0.7721897393091763,h4_low_break,2018-11-09 12:00:00,Research_2015_2024
h4_low_break_5,CHFJPY,2019-06-03 20:00:00,-0.024955337304405193,h4_low_break,2019-06-06 00:00:00,Research_2015_2024
h4_low_break_5,GBPJPY,2020-07-16 16:00:00,0.418859968261117,h4_low_break,2020-07-22 04:00:00,Research_2015_2024
h4_low_break_5,XAUUSD,2021-01-20 04:00:00,0.007667958810286835,h4_low_break,2021-01-22 08:00:00,Research_2015_2024
h4_low_break_5,AUDJPY,2021-01-29 12:00:00,-0.46716705440024214,h4_low_break,2021-02-02 08:00:00,Research_2015_2024
h4_low_break_5,USDJPY,2022-10-06 16:00:00,0.8871935519985333,h4_low_break,2022-10-21 12:00:00,Research_2015_2024
h4_low_break_5,USDJPY,2024-04-08 04:00:00,2.5198099189260943,h4_low_break,2024-04-17 16:00:00,Research_2015_2024
