symbol,timeframe,strategy,family,signal_time,direction,trigger_type,v_start_i,v_extreme_i,candidate_i,v_start,v_extreme,v_move_atr,v_move_bars,v_drop_speed_atr_per_bar,candidate_recovery_bars,candidate_recovery_to_drop_bars,signal_recovery_bars,signal_fib_ratio,candidate_fib_min,candidate_fib_max,trigger_level,entry_time,entry,stop,target,exit_time,exit,exit_reason,bars_held,risk,r_clean,r_after_cost,year
USDJPY,D1,VCTX_618_786_STAG_OR_REBREAK_RR2,V候補後トリガー,2017-09-20 00:00:00,long,stagnation,1147,1154,1156,110.67,107.318,3.6146844364277135,7,0.5163834909182449,2,0.2857142857142857,10,1.5599642004773249,0.618,0.786,112.547,2017-09-21 00:00:00,112.55,107.08616786783519,123.46866426432962,2017-11-30 00:00:00,112.588,max_hold,60,5.463832132164811,0.006954825675608892,0.005124608392555427,2017
AUDJPY,D1,VCTX_618_786_STAG_OR_REBREAK_RR2,V候補後トリガー,2019-01-11 00:00:00,long,stagnation+rebreak,1559,1565,1566,78.738,70.406,8.056933790149433,6,1.3428222983582387,1,0.16666666666666666,8,0.9461113778204515,0.618,0.786,78.289,2019-01-13 00:00:00,78.261,70.14746492272945,94.5720701545411,2019-03-24 00:00:00,77.951,max_hold,60,8.11353507727054,-0.038207759878729555,-0.039748395357709174,2019
GBPJPY,D1,VCTX_618_786_STAG_OR_REBREAK_RR2,V候補後トリガー,2019-01-23 00:00:00,long,stagnation+rebreak,1849,1865,1874,143.9,132.24,8.110117298304177,16,0.506882331144011,9,0.5625,18,0.9451114922813023,0.618,0.786,143.26,2019-01-24 00:00:00,143.25,131.88057239953739,166.0188552009252,2019-04-04 00:00:00,146.1,max_hold,60,11.369427600462615,0.2506722501917361,0.24891314668162023,2019
CHFJPY,D1,VCTX_618_786_STAG_OR_REBREAK_RR2,V候補後トリガー,2019-03-19 00:00:00,long,stagnation,1614,1620,1625,112.164,109.884,4.687932622338854,6,0.7813221037231423,5,0.8333333333333334,9,0.7350877192982461,0.618,0.786,111.56,2019-03-20 00:00:00,111.561,109.76241122176461,115.15517755647079,2019-04-23 00:00:00,109.76241122176461,SL,29,1.7985887782353984,-1.0,-1.0111198291916579,2019
EURJPY,D1,VCTX_618_786_STAG_OR_REBREAK_RR2,V候補後トリガー,2019-06-11 00:00:00,long,stagnation,1675,1686,1690,123.72,120.77,4.928043218669651,11,0.4480039289699683,4,0.36363636363636365,7,0.7355932203389829,0.618,0.786,122.94,2019-06-12 00:00:00,122.88,120.62034627999891,127.57930744000217,2019-07-23 00:00:00,120.62034627999891,SL,35,2.259653720001083,-1.0,-1.0055318210437936,2019
USDJPY,D1,VCTX_618_786_STAG_OR_REBREAK_RR2,V候補後トリガー,2019-09-05 00:00:00,long,rebreak,1756,1766,1769,106.973,104.453,3.662848434523801,10,0.3662848434523801,3,0.3,10,1.039285714285716,0.618,0.786,107.072,2019-09-06 00:00:00,107.071,104.2810027112064,112.65399457758721,2019-11-15 00:00:00,108.773,max_hold,60,2.7899972887936,0.6100364351020376,0.606452202228351,2019
AUDJPY,D1,VCTX_618_786_STAG_OR_REBREAK_RR2,V候補後トリガー,2019-09-09 00:00:00,long,stagnation,1755,1765,1774,72.93,69.956,4.65667838987871,10,0.465667838987871,9,0.9,13,1.2505043712172124,0.618,0.786,73.675,2019-09-10 00:00:00,73.675,69.79633683717218,81.43232632565564,2019-11-19 00:00:00,74.028,max_hold,60,3.87866316282782,0.0910107387986346,0.0877879789261647,2019
EURJPY,D1,VCTX_618_786_STAG_OR_REBREAK_RR2,V候補後トリガー,2020-01-13 00:00:00,long,stagnation,1866,1870,1875,122.43,120.15,4.159330443367202,4,1.0398326108418006,5,1.25,8,1.0175438596491193,0.618,0.786,122.47,2020-01-14 00:00:00,122.47,120.0129587122829,127.3840825754342,2020-01-26 00:00:00,120.0129587122829,SL,10,2.4570412877171037,-1.0,-1.005087419597903,2020
USDJPY,D1,VCTX_618_786_STAG_OR_REBREAK_RR2,V候補後トリガー,2020-02-19 00:00:00,long,stagnation+rebreak,1891,1903,1907,110.29,108.308,4.371675857797833,12,0.3643063214831528,4,0.3333333333333333,16,1.457618567103934,0.618,0.786,111.197,2020-02-20 00:00:00,111.198,108.19465673848711,117.20168652302578,2020-02-28 00:00:00,108.19465673848711,SL,7,3.0033432615128817,-1.0,-1.0033296227334845,2020
XAUUSD,D1,VCTX_618_786_STAG_OR_REBREAK_RR2,V候補後トリガー,2020-04-06 00:00:00,long,stagnation+rebreak,1922,1929,1936,1703.318,1451.148,6.104333994766182,7,0.872047713538026,7,1.0,18,0.832184637347821,0.618,0.786,1661.0,2020-04-07 00:00:00,1661.0,1440.8205015285773,2101.3589969428454,2020-06-17 00:00:00,1727.515,max_hold,60,220.17949847142268,0.30209442959846305,0.30050481747549074,2020
