timeframe,strategy,trades,win_rate,total_r_after_cost,avg_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_hold_bars
H4,VCTX_618_800_STAG_OR_REBREAK_RR2,294,45.57823129251701,49.047758161108575,0.16682910939152576,1.3308620180657624,15.392190821150379,13,100.21428571428571
H4,VCTX_618_800_REBREAK_ONLY_RR2,253,45.059288537549406,45.65867426551953,0.1804690682431602,1.3589300237661943,11.340884533144584,11,102.22529644268775
H4,VCTX_618_786_STAG_OR_REBREAK_RR2,288,44.79166666666667,42.25377251146345,0.14671448788702587,1.286971382052593,14.388299088902219,12,99.28472222222223
H4,VCTX_618_800_REC1_STAG_OR_REBREAK_RR2,246,44.71544715447154,39.713106002642306,0.1614353902546435,1.3085880268352437,11.965465583270536,10,94.26829268292683
H4,VCTX_618_800_BIGDROP_STAG_OR_REBREAK_RR2,247,45.74898785425101,37.644809174183166,0.15240813430843386,1.3061362896738862,17.769845677283364,13,102.79757085020243
H4,VCTX_618_800_FAST_STAG_OR_REBREAK_RR2,124,50.0,32.14828015460012,0.25926032382742037,1.5470503658806365,6.413103624763709,6,102.58064516129032
H4,VCTX_618_800_STAG_ONLY_RR2,156,46.794871794871796,29.708775907977504,0.190440871204984,1.3864720124243837,10.434473992119603,6,97.63461538461539
H4,VCTX_618_800_FAST_BIGDROP_STAG_OR_REBREAK_RR2,99,51.515151515151516,24.990184568855685,0.25242610675611804,1.5452733974212098,7.361436053309087,7,103.32323232323232
D1,VCTX_618_800_STAG_OR_REBREAK_RR2,46,65.21739130434783,14.61920351436378,0.3178087720513865,2.1697992093670853,5.039966919079231,3,46.369565217391305
D1,VCTX_618_786_STAG_OR_REBREAK_RR2,44,65.9090909090909,13.629061725640288,0.3097514028554611,2.1859248969761556,4.035124554236976,2,46.45454545454545
D1,VCTX_618_800_STAG_ONLY_RR2,38,68.42105263157895,11.618573772468329,0.3057519413807455,2.183372942909034,5.3239352699187386,3,46.86842105263158
D1,VCTX_618_800_REC1_STAG_OR_REBREAK_RR2,39,64.1025641025641,11.354766489057193,0.2911478586937742,2.004566297903347,4.0348794994813275,3,45.205128205128204
D1,VCTX_618_800_FAST_STAG_OR_REBREAK_RR2,16,75.0,8.579058602257556,0.5361911626410972,3.8049706699266537,2.0559556441472706,3,46.25
D1,VCTX_618_800_BIGDROP_STAG_OR_REBREAK_RR2,35,62.857142857142854,7.822690285632637,0.22350543673236106,1.8250764379277755,5.646419121307581,3,48.48571428571429
D1,VCTX_618_800_FAST_BIGDROP_STAG_OR_REBREAK_RR2,11,72.72727272727273,4.3765930896935075,0.39787209906304616,3.1287390621254128,2.0162072487895606,3,49.90909090909091
D1,VCTX_618_800_REBREAK_ONLY_RR2,27,51.85185185185185,2.392362348114464,0.08860601289312829,1.269761822992492,3.016731017118519,2,45.592592592592595
