timeframe,strategy,year,trades,win_rate,total_r_after_cost,avg_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_hold_bars
D1,VCTX_618_800_REC1_STAG_OR_REBREAK_RR2,2015,4,50.0,0.32381907666018095,0.08095476916504524,1.1611959694455496,1.6639502074304584,1,33.5
D1,VCTX_618_800_STAG_OR_REBREAK_RR2,2015,4,50.0,0.32381907666018095,0.08095476916504524,1.1611959694455496,1.6639502074304584,1,33.5
D1,VCTX_618_800_FAST_BIGDROP_STAG_OR_REBREAK_RR2,2024,1,100.0,0.20628625038036322,0.20628625038036322,inf,0.0,0,60.0
D1,VCTX_618_800_REBREAK_ONLY_RR2,2019,4,50.0,-0.18861253749954132,-0.04715313437488533,0.8193328230847643,1.0042294910518033,1,50.5
D1,VCTX_618_800_REBREAK_ONLY_RR2,2021,1,0.0,-0.18895011052957883,-0.18895011052957883,0.0,0.0,1,60.0
H4,VCTX_618_800_STAG_ONLY_RR2,2018,15,33.33333333333333,-0.36780980483029446,-0.024520653655352963,0.9520215152880448,3.321061590160995,5,115.53333333333333
D1,VCTX_618_800_REBREAK_ONLY_RR2,2017,4,50.0,-0.47326785840969915,-0.11831696460242479,0.6263679349445046,1.2666682083064926,2,50.0
D1,VCTX_618_800_FAST_BIGDROP_STAG_OR_REBREAK_RR2,2020,2,50.0,-0.7045826021224122,-0.3522913010612061,0.29898376162713414,0.0,1,35.0
D1,VCTX_618_800_FAST_STAG_OR_REBREAK_RR2,2020,2,50.0,-0.7045826021224122,-0.3522913010612061,0.29898376162713414,0.0,1,35.0
D1,VCTX_618_800_FAST_STAG_OR_REBREAK_RR2,2024,2,50.0,-0.7962780016828636,-0.3981390008414318,0.20575863338019135,0.0,1,53.5
H4,VCTX_618_800_STAG_OR_REBREAK_RR2,2016,29,34.48275862068966,-0.9464983373566069,-0.03263787370195197,0.9466738952200178,13.08616531418621,13,78.34482758620689
H4,VCTX_618_786_STAG_OR_REBREAK_RR2,2016,27,33.33333333333333,-0.9950392749539987,-0.03685330647977773,0.9405663400824273,11.730483603867569,12,74.88888888888889
D1,VCTX_618_800_BIGDROP_STAG_OR_REBREAK_RR2,2015,1,0.0,-1.0024251099775867,-1.0024251099775867,0.0,0.0,1,22.0
D1,VCTX_618_800_REBREAK_ONLY_RR2,2015,1,0.0,-1.0064283233557043,-1.0064283233557043,0.0,0.0,1,36.0
D1,VCTX_618_800_FAST_BIGDROP_STAG_OR_REBREAK_RR2,2019,2,0.0,-1.050868224549367,-0.5254341122746835,0.0,1.0111198291916579,2,44.5
D1,VCTX_618_800_FAST_STAG_OR_REBREAK_RR2,2019,2,0.0,-1.050868224549367,-0.5254341122746835,0.0,1.0111198291916579,2,44.5
H4,VCTX_618_800_REBREAK_ONLY_RR2,2015,26,38.46153846153847,-1.0853652623068528,-0.0417448177810328,0.9213873547316362,4.176933322749402,6,114.76923076923077
D1,VCTX_618_786_STAG_OR_REBREAK_RR2,2019,6,50.0,-1.1132467177570249,-0.18554111962617081,0.4586429230330459,2.0166516502354517,2,50.666666666666664
H4,VCTX_618_800_BIGDROP_STAG_OR_REBREAK_RR2,2016,25,32.0,-1.130576484990972,-0.04522305939963888,0.9235658245042435,12.020902940767664,13,75.36
