support_age_bucket,trigger_mode,filter,filter_notes,all_trades,all_win_rate,all_total_r,all_avg_r,all_pf,all_max_dd_r,all_max_losing_streak,train_trades,train_win_rate,train_total_r,train_avg_r,train_pf,train_max_dd_r,train_max_losing_streak,test_trades,test_win_rate,test_total_r,test_avg_r,test_pf,test_max_dd_r,test_max_losing_streak,oos_trades,oos_win_rate,oos_total_r,oos_avg_r,oos_pf,oos_max_dd_r,oos_max_losing_streak,avg_mfe_r,hit_1r_rate,hit_1_5r_rate,hit_2r_rate,giveback_1r_to_loss_rate,giveback_1_5r_to_loss_rate,score
04_>=240bars,stagnation,ADX30_RISK_LE2_BBW3_8,ADX>=30 + risk<=2ATR + BB幅3-8ATR,6,33.33333333333333,-0.303767503118326,-0.05062791718638767,0.9289081256009092,3.225063164987766,3,5,40.0,0.8284919385787224,0.16569838771574447,1.2637982638952554,2.0928037232907175,2,1,0.0,-1.1322594416970484,-1.1322594416970484,0.0,0.0,1,0,0.0,0.0,0.0,,0.0,0,1.2753581862516175,66.66666666666666,50.0,33.33333333333333,33.33333333333333,16.666666666666664,-6.742348167546367
02_60-119bars,either,ADX30_RISK_LE2_BBW3_8,ADX>=30 + risk<=2ATR + BB幅3-8ATR,26,34.61538461538461,0.18167099820450416,0.006987346084788622,1.01038794071912,15.418989569005632,15,18,50.0,8.266279011271504,0.45923772284841685,1.8790139607948482,7.3343815559386325,7,1,0.0,-1.0162846344920085,-1.0162846344920085,0.0,0.0,1,7,0.0,-7.068323378574992,-1.0097604826535702,0.0,6.061009161859978,7,1.1053534362256958,42.30769230769231,38.46153846153847,34.61538461538461,7.6923076923076925,3.8461538461538463,-6.854280630379039
00_<=24bars,either,NO_XAU_ADX30_RISK_LE1_5_BBW3_8,XAUUSD除外 + ADX>=30 + risk<=1.5ATR + BB幅3-8ATR,56,32.142857142857146,-6.425391997714414,-0.11473914281632881,0.8415191848401431,24.17082684102235,20,40,22.5,-16.715209980601905,-0.41788024951504765,0.4971928519374885,19.88835210161881,16,13,46.15384615384615,4.336697560036899,0.33359212000283833,1.594078035246001,3.2588075769247284,4,3,100.0,5.953120422850596,1.984373474283532,inf,0.0,0,1.041781491536258,44.642857142857146,39.285714285714285,32.142857142857146,12.5,7.142857142857142,-6.881499022350894
04_>=240bars,either,NO_XAU_ADX30_RISK_LE1_5_BBW3_8,XAUUSD除外 + ADX>=30 + risk<=1.5ATR + BB幅3-8ATR,7,28.57142857142857,-1.3117826164094881,-0.18739751662992687,0.7515987348676646,5.280901511152279,5,6,33.33333333333333,-0.17952317471243973,-0.029920529118739953,0.9567272443110492,4.148642069455231,4,1,0.0,-1.1322594416970484,-1.1322594416970484,0.0,0.0,1,0,0.0,0.0,0.0,,0.0,0,1.4850775077062135,85.71428571428571,57.14285714285714,28.57142857142857,57.14285714285714,28.57142857142857,-8.98871065588606
03_120-239bars,rebreak,GBP_ADX25_RISK_LE2_5_BBW3_8,GBPJPY + ADX>=25 + risk<=2.5ATR + BB幅3-8ATR,3,0.0,-3.1312542324412873,-1.0437514108137624,0.0,2.074639954757475,3,3,0.0,-3.1312542324412873,-1.0437514108137624,0.0,2.074639954757475,3,0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,,0.0,0,1.2247491042929166,100.0,0.0,0.0,100.0,0.0,-10.824919864385706
04_>=240bars,rebreak,ADX30_RISK_LE2_BBW3_8,ADX>=30 + risk<=2ATR + BB幅3-8ATR,8,12.5,-5.426279882742295,-0.6782849853427869,0.26300093354268245,5.320029120917903,6,6,0.0,-6.346542169465846,-1.0577570282443076,0.0,5.320029120917903,6,2,50.0,0.920262286723551,0.4601311433617755,1.9056572702384234,1.0161264276951951,1,0,0.0,0.0,0.0,,0.0,0,1.1548407727633343,50.0,37.5,12.5,37.5,25.0,-11.102111426731977
00_<=24bars,either,ADX30_RISK_LE1_5_BBW3_8,ADX>=30 + risk<=1.5ATR + BB幅3-8ATR,66,31.818181818181817,-7.821402655893872,-0.11850610084687685,0.8362270547107941,26.414266848447667,24,46,26.08695652173913,-14.043012550998716,-0.30528288154345035,0.6140917628193816,21.092276536723183,19,15,40.0,2.2822271374258634,0.1521484758283909,1.2439749812765386,4.298323149245671,5,5,60.0,3.9393827576789775,0.7878765515357955,2.956254196270023,2.013737665171618,2,1.0551571526186656,46.96969696969697,37.878787878787875,31.818181818181817,15.151515151515152,6.0606060606060606,-11.324094151771465
04_>=240bars,either,ADX30_RISK_LE1_5_BBW3_8,ADX>=30 + risk<=1.5ATR + BB幅3-8ATR,8,25.0,-2.327909044104684,-0.2909886305130855,0.6303162274787757,6.297027938847474,6,6,33.33333333333333,-0.17952317471243973,-0.029920529118739953,0.9567272443110492,4.148642069455231,4,2,0.0,-2.1483858693922437,-1.0741929346961219,0.0,1.0161264276951953,2,0,0.0,0.0,0.0,,0.0,0,1.415437909879119,75.0,50.0,25.0,50.0,25.0,-12.013867366660811
04_>=240bars,rebreak,NO_XAU_ADX30_RISK_LE1_5_BBW3_8,XAUUSD除外 + ADX>=30 + risk<=1.5ATR + BB幅3-8ATR,4,0.0,-4.148642069455231,-1.0371605173638077,0.0,3.100312133819445,4,4,0.0,-4.148642069455231,-1.0371605173638077,0.0,3.100312133819445,4,0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,,0.0,0,1.217334745200851,75.0,50.0,0.0,75.0,50.0,-12.072362172365322
04_>=240bars,rebreak,ALL,全候補,62,32.25806451612903,-9.750391321402397,-0.15726437615165156,0.7732024459886051,11.871884109902302,10,42,33.33333333333333,-7.419685885492891,-0.17665918774983075,0.7421290893012369,11.871884109902302,8,17,35.294117647058826,0.7049475022366329,0.041467500131566644,1.063036942298356,4.027099756187056,4,3,0.0,-3.0356529381461383,-1.0118843127153794,0.0,2.022606734686269,3,1.2125081448537633,50.0,35.483870967741936,25.806451612903224,19.35483870967742,9.67741935483871,-12.728280404812015
01_25-59bars,either,ADX30_RISK_LE1_5_BBW3_8,ADX>=30 + risk<=1.5ATR + BB幅3-8ATR,28,35.714285714285715,0.5653672848270435,0.02019168874382298,1.0296374531189503,9.962090098594595,9,20,50.0,9.510011683420197,0.4755005841710099,1.9386611018641364,7.0530150093188215,8,7,0.0,-7.925816091879338,-1.1322594416970484,0.0,6.79355665018229,7,1,0.0,-1.0188283067138164,-1.0188283067138164,0.0,0.0,1,1.240360758539486,64.28571428571429,35.714285714285715,35.714285714285715,28.57142857142857,0.0,-13.325730341982569
