lookback_bars,lookback_label,trigger_mode,exit_variant,filter,filter_notes,all_trades,all_win_rate,all_total_r,all_avg_r,all_pf,all_max_dd_r,all_max_losing_streak,train_trades,train_win_rate,train_total_r,train_avg_r,train_pf,train_max_dd_r,train_max_losing_streak,test_trades,test_win_rate,test_total_r,test_avg_r,test_pf,test_max_dd_r,test_max_losing_streak,oos_trades,oos_win_rate,oos_total_r,oos_avg_r,oos_pf,oos_max_dd_r,oos_max_losing_streak,avg_mfe_r,hit_1r_rate,hit_1_5r_rate,hit_2r_rate,giveback_1r_to_loss_rate,giveback_1_5r_to_loss_rate,score
720,6m,rebreak,BE_after_1R_to_2R,ADX30_RISK_LE1_5_BBW3_8,ADX>=30 + risk<=1.5ATR + BB幅3-8ATR,0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
720,6m,rebreak,BE_after_1R_to_2R,NO_XAU_ADX30_RISK_LE1_5_BBW3_8,XAUUSD除外 + ADX>=30 + risk<=1.5ATR + BB幅3-8ATR,0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
720,6m,rebreak,fixed_1R,ADX30_RISK_LE1_5_BBW3_8,ADX>=30 + risk<=1.5ATR + BB幅3-8ATR,0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
720,6m,rebreak,fixed_1R,NO_XAU_ADX30_RISK_LE1_5_BBW3_8,XAUUSD除外 + ADX>=30 + risk<=1.5ATR + BB幅3-8ATR,0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
720,6m,rebreak,fixed_1_25R,ADX30_RISK_LE1_5_BBW3_8,ADX>=30 + risk<=1.5ATR + BB幅3-8ATR,0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
720,6m,rebreak,fixed_1_25R,NO_XAU_ADX30_RISK_LE1_5_BBW3_8,XAUUSD除外 + ADX>=30 + risk<=1.5ATR + BB幅3-8ATR,0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
720,6m,rebreak,fixed_1_5R,ADX30_RISK_LE1_5_BBW3_8,ADX>=30 + risk<=1.5ATR + BB幅3-8ATR,0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
720,6m,rebreak,fixed_1_5R,NO_XAU_ADX30_RISK_LE1_5_BBW3_8,XAUUSD除外 + ADX>=30 + risk<=1.5ATR + BB幅3-8ATR,0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
720,6m,rebreak,fixed_1_5R_no_progress12,ADX30_RISK_LE1_5_BBW3_8,ADX>=30 + risk<=1.5ATR + BB幅3-8ATR,0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
720,6m,rebreak,fixed_1_5R_no_progress12,NO_XAU_ADX30_RISK_LE1_5_BBW3_8,XAUUSD除外 + ADX>=30 + risk<=1.5ATR + BB幅3-8ATR,0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
720,6m,rebreak,fixed_2R,ADX30_RISK_LE1_5_BBW3_8,ADX>=30 + risk<=1.5ATR + BB幅3-8ATR,0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
720,6m,rebreak,fixed_2R,NO_XAU_ADX30_RISK_LE1_5_BBW3_8,XAUUSD除外 + ADX>=30 + risk<=1.5ATR + BB幅3-8ATR,0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
720,6m,rebreak,fixed_2R_max48,ADX30_RISK_LE1_5_BBW3_8,ADX>=30 + risk<=1.5ATR + BB幅3-8ATR,0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
720,6m,rebreak,fixed_2R_max48,NO_XAU_ADX30_RISK_LE1_5_BBW3_8,XAUUSD除外 + ADX>=30 + risk<=1.5ATR + BB幅3-8ATR,0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
720,6m,rebreak,fixed_2R_no_progress12,ADX30_RISK_LE1_5_BBW3_8,ADX>=30 + risk<=1.5ATR + BB幅3-8ATR,0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
720,6m,rebreak,fixed_2R_no_progress12,NO_XAU_ADX30_RISK_LE1_5_BBW3_8,XAUUSD除外 + ADX>=30 + risk<=1.5ATR + BB幅3-8ATR,0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
720,6m,rebreak,half_1R_BE_rest_2R,ADX30_RISK_LE1_5_BBW3_8,ADX>=30 + risk<=1.5ATR + BB幅3-8ATR,0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
720,6m,rebreak,half_1R_BE_rest_2R,NO_XAU_ADX30_RISK_LE1_5_BBW3_8,XAUUSD除外 + ADX>=30 + risk<=1.5ATR + BB幅3-8ATR,0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
720,6m,rebreak,half_1R_trail1ATR_rest_2R,ADX30_RISK_LE1_5_BBW3_8,ADX>=30 + risk<=1.5ATR + BB幅3-8ATR,0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
720,6m,rebreak,half_1R_trail1ATR_rest_2R,NO_XAU_ADX30_RISK_LE1_5_BBW3_8,XAUUSD除外 + ADX>=30 + risk<=1.5ATR + BB幅3-8ATR,0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
60,0.5m,either,fixed_1_5R,NO_XAU_ADX30_RISK_LE1_5_BBW3_8,XAUUSD除外 + ADX>=30 + risk<=1.5ATR + BB幅3-8ATR,27,44.44444444444444,1.0010743631818577,0.03707682826599473,1.0631941453718297,5.587373906438747,3,19,42.10526315789473,-0.4243761010745877,-0.022335584267083562,0.9632898382885681,3.7967736851345775,3,6,50.0,0.9599052966867299,0.15998421611445499,1.2942470473385757,1.1241820073872508,2,2,50.0,0.4655451675697153,0.23277258378485766,1.4569417285541562,1.0188283067138164,1,1.1250008311534265,55.55555555555556,44.44444444444444,18.51851851851852,11.11111111111111,0.0,1.9676187010320552
180,1.5m,rebreak,fixed_1R,ADX30_RISK_LE1_5_BBW3_8,ADX>=30 + risk<=1.5ATR + BB幅3-8ATR,3,66.66666666666666,0.8552925564191333,0.28509751880637774,1.8156693044548178,0.0,1,2,50.0,-0.10519187125992335,-0.052595935629961676,0.8996813665442032,0.0,1,1,100.0,0.9604844276790566,0.9604844276790566,inf,0.0,0,0,0.0,0.0,0.0,,0.0,0,1.0488876933782294,66.66666666666666,0.0,0.0,0.0,0.0,1.96393324931433
60,0.5m,either,fixed_1R,NO_XAU_ADX30_RISK_LE1_5_BBW3_8,XAUUSD除外 + ADX>=30 + risk<=1.5ATR + BB幅3-8ATR,27,55.55555555555556,1.0010743631817849,0.03707682826599203,1.079300447115699,4.106455894990027,2,19,52.63157894736842,-0.4243761010746484,-0.022335584267086758,0.9552109928787332,4.106455894990027,2,6,66.66666666666666,1.459905296686718,0.24331754944778636,1.6854069191375285,1.1241820073872508,1,2,50.0,-0.03445483243028469,-0.017227416215142344,0.9661819050342082,1.0188283067138164,1,0.9115372986003762,55.55555555555556,18.51851851851852,3.7037037037037033,0.0,0.0,1.953954505638007
90,0.75m,either,half_1R_BE_rest_2R,GBP_ADX25_RISK_LE2_5_BBW3_8,GBPJPY + ADX>=25 + risk<=2.5ATR + BB幅3-8ATR,20,55.00000000000001,1.1265424883077284,0.05632712441538642,1.1225596143596148,2.6147098241782203,2,14,57.14285714285714,0.72304930295142,0.05164637878224428,1.1176354872087235,2.0702352947490072,2,3,66.66666666666666,0.9428297704515589,0.3142765901505196,1.9229328641631322,1.0215583462904076,1,3,33.33333333333333,-0.539336585095251,-0.17977886169841698,0.733491177456117,2.0237100593787827,2,1.2047413857018863,55.00000000000001,40.0,30.0,0.0,0.0,1.9521288688262048
