pre_break_regime,trigger_mode,filter,filter_notes,all_trades,all_win_rate,all_total_r,all_avg_r,all_pf,all_max_dd_r,all_max_losing_streak,train_trades,train_win_rate,train_total_r,train_avg_r,train_pf,train_max_dd_r,train_max_losing_streak,test_trades,test_win_rate,test_total_r,test_avg_r,test_pf,test_max_dd_r,test_max_losing_streak,oos_trades,oos_win_rate,oos_total_r,oos_avg_r,oos_pf,oos_max_dd_r,oos_max_losing_streak,avg_mfe_r,hit_1r_rate,hit_1_5r_rate,hit_2r_rate,giveback_1r_to_loss_rate,giveback_1_5r_to_loss_rate,score
mixed_or_wide_range,stagnation,ADX30_RISK_LE2_BBW3_8,ADX>=30 + risk<=2ATR + BB幅3-8ATR,66,46.96969696969697,23.90829343816505,0.362246870275228,1.6471416344221854,13.370345710646596,12,35,48.57142857142857,14.916369514650206,0.42618198613286307,1.8077539277829504,7.259414901947123,7,26,53.84615384615385,14.09955358275341,0.5422905224135927,2.054539193517349,13.370345710646598,12,5,0.0,-5.107629659238569,-1.0215259318477137,0.0,4.0654071786356205,5,1.449761932875898,66.66666666666666,51.515151515151516,46.96969696969697,19.696969696969695,4.545454545454546,39.58130042533059
mixed_or_wide_range,stagnation,GBP_ADX25_RISK_LE2_5_BBW3_8,GBPJPY + ADX>=25 + risk<=2.5ATR + BB幅3-8ATR,22,77.27272727272727,28.559443054145227,1.2981565024611468,6.576965458078676,3.0550238544726156,3,19,89.47368421052632,31.614466908617842,1.6639193109798864,16.30269731480527,1.045939436991084,1,1,0.0,-1.0253707006288477,-1.0253707006288477,0.0,0.0,1,2,0.0,-2.0296531538437654,-1.0148265769218827,0.0,1.0148265769218827,2,1.8755348646918557,81.81818181818183,81.81818181818183,77.27272727272727,4.545454545454546,4.545454545454546,33.75786825961704
mixed_or_wide_range,either,GBP_ADX25_RISK_LE2_5_BBW3_8,GBPJPY + ADX>=25 + risk<=2.5ATR + BB幅3-8ATR,29,62.06896551724138,24.383420506490314,0.8408076036720797,3.1598579158599125,5.166981620465588,4,22,77.27272727272727,28.496971853262075,1.2953169024210034,6.497699322471451,2.0733454009895205,2,4,25.0,-1.075014710471092,-0.268753677617773,0.6495344704323337,2.0444745294292135,3,3,0.0,-3.038536636300665,-1.012845545433555,0.0,2.029653153843765,3,1.6552652136453068,72.41379310344827,68.96551724137932,62.06896551724138,10.344827586206897,6.896551724137931,25.32474577935684
range_support_break,stagnation,GBP_ADX25_RISK_LE2_5_BBW3_8,GBPJPY + ADX>=25 + risk<=2.5ATR + BB幅3-8ATR,9,66.66666666666666,8.785558328044173,0.9761731475604637,3.845393936041128,2.0417027403405204,2,7,57.14285714285714,4.828667176992692,0.6898095967132417,2.5638687709486185,2.0417027403405204,2,2,100.0,3.9568911510514804,1.9784455755257402,inf,0.0,0,0,0.0,0.0,0.0,,0.0,0,1.6476015165160642,66.66666666666666,66.66666666666666,66.66666666666666,0.0,0.0,17.7734885505038
range_support_break,stagnation,ADX30_RISK_LE1_5_BBW3_8,ADX>=30 + risk<=1.5ATR + BB幅3-8ATR,13,53.84615384615385,7.577789525554447,0.5829068865811113,2.20745459098258,5.233615618938279,5,7,42.857142857142854,1.7474911617805078,0.24964159454007254,1.4166681188330137,4.193964171472507,4,5,80.0,6.872520844376888,1.3745041688753776,7.610408575998395,0.0,1,1,0.0,-1.0422224806029483,-1.0422224806029483,0.0,0.0,1,1.3138313775654202,53.84615384615385,53.84615384615385,53.84615384615385,0.0,0.0,15.055492771379168
range_support_break,stagnation,NO_XAU_ADX30_RISK_LE1_5_BBW3_8,XAUUSD除外 + ADX>=30 + risk<=1.5ATR + BB幅3-8ATR,13,53.84615384615385,7.577789525554447,0.5829068865811113,2.20745459098258,5.233615618938279,5,7,42.857142857142854,1.7474911617805078,0.24964159454007254,1.4166681188330137,4.193964171472507,4,5,80.0,6.872520844376888,1.3745041688753776,7.610408575998395,0.0,1,1,0.0,-1.0422224806029483,-1.0422224806029483,0.0,0.0,1,1.3138313775654202,53.84615384615385,53.84615384615385,53.84615384615385,0.0,0.0,15.055492771379168
trend_continuation_break,rebreak,ADX30_RISK_LE2_BBW3_8,ADX>=30 + risk<=2ATR + BB幅3-8ATR,135,32.592592592592595,-8.03129108483915,-0.059491045072882595,0.9147905983469732,45.172812307882836,33,83,21.686746987951807,-32.37133812022001,-0.39001612193036156,0.5206525288610987,45.172812307882836,33,48,54.166666666666664,28.403756295501204,0.5917449228229418,2.253598564439972,7.155665791620217,7,4,0.0,-4.063709260120349,-1.0159273150300872,0.0,3.0449552761463456,4,1.2092811411962103,51.11111111111111,39.25925925925926,32.592592592592595,18.51851851851852,6.666666666666667,14.436839810847026
trend_continuation_break,stagnation,ADX30_RISK_LE1_5_BBW3_8,ADX>=30 + risk<=1.5ATR + BB幅3-8ATR,46,43.47826086956522,9.894459073619668,0.21509693638303626,1.347861333988461,17.891169731988693,15,31,35.483870967741936,-1.7150392836888337,-0.05532384786093012,0.9233281935101002,13.78864142453965,12,12,50.0,5.656377934457908,0.47136482787149236,1.9310742369513174,3.0789334409777753,3,3,100.0,5.953120422850596,1.984373474283532,inf,0.0,0,1.3880811538669497,63.04347826086957,47.82608695652174,43.47826086956522,19.565217391304348,4.3478260869565215,14.41756924149259
trend_continuation_break,stagnation,NO_XAU_ADX30_RISK_LE1_5_BBW3_8,XAUUSD除外 + ADX>=30 + risk<=1.5ATR + BB幅3-8ATR,42,42.857142857142854,8.117610573556544,0.19327644222753676,1.3081340330860929,15.791896367344254,13,28,32.142857142857146,-4.515482650223228,-0.16126723750797242,0.787934816001102,12.712962926366478,11,11,54.54545454545454,6.6799728009291774,0.6072702546299252,2.3223702783037004,3.017403900683065,3,3,100.0,5.953120422850596,1.984373474283532,inf,0.0,0,1.4153949974697217,64.28571428571429,47.61904761904761,42.857142857142854,21.428571428571427,4.761904761904762,14.266843644831734
range_support_break,stagnation,ADX30_RISK_LE2_BBW3_8,ADX>=30 + risk<=2ATR + BB幅3-8ATR,21,38.095238095238095,2.109143153615066,0.1004353882673841,1.1544946354067624,11.561840308727612,11,13,23.076923076923077,-4.5285570362176415,-0.34835054124751086,0.5674735734389016,9.422189136597305,9,7,71.42857142857143,7.679922670435657,1.0971318100622367,4.589333986057769,1.0396514474657725,2,1,0.0,-1.0422224806029483,-1.0422224806029483,0.0,0.0,1,1.084680254453959,42.857142857142854,42.857142857142854,38.095238095238095,4.761904761904762,4.761904761904762,8.99082646943225
mixed_or_wide_range,stagnation,ADX30_RISK_LE1_5_BBW3_8,ADX>=30 + risk<=1.5ATR + BB幅3-8ATR,37,48.64864864864865,14.998089495275162,0.40535377014257196,1.7406425543187323,10.075521233577827,9,24,62.5,20.29263950210003,0.8455266459208346,3.222394795420254,6.04544143655899,6,11,27.27272727272727,-3.2334992195081043,-0.29395447450073675,0.6430258052582802,7.925816091879339,8,2,0.0,-2.0610507873167645,-1.0305253936583822,0.0,1.0188283067138162,2,1.4946415863645781,72.97297297297297,48.64864864864865,48.64864864864865,24.324324324324326,0.0,8.961067758359999
mixed_or_wide_range,either,ADX30_RISK_LE2_BBW3_8,ADX>=30 + risk<=2ATR + BB幅3-8ATR,78,37.17948717948718,5.758870610464582,0.07383167449313567,1.1126011696391658,13.40257541344441,10,47,40.42553191489361,8.442696820729276,0.17963184724955908,1.2921605665525528,10.127166270345231,10,19,42.10526315789473,3.557574630883505,0.18724077004650025,1.293947441467755,8.938087094955947,9,12,16.666666666666664,-6.241400841148206,-0.5201167367623505,0.38470510965106064,10.143755358684436,10,1.3204229125946758,58.97435897435898,42.30769230769231,37.17948717948718,21.794871794871796,5.128205128205128,7.085244181775394
mixed_or_wide_range,stagnation,NO_XAU_ADX30_RISK_LE1_5_BBW3_8,XAUUSD除外 + ADX>=30 + risk<=1.5ATR + BB幅3-8ATR,36,47.22222222222222,13.060028562921378,0.3627785711922605,1.6449363378825625,10.075521233577827,9,23,60.86956521739131,18.354578569746252,0.7980251552063587,3.0101436228300824,5.037867863799159,6,11,27.27272727272727,-3.2334992195081043,-0.29395447450073675,0.6430258052582802,7.925816091879339,8,2,0.0,-2.0610507873167645,-1.0305253936583822,0.0,1.0188283067138162,2,1.48026185755686,72.22222222222221,47.22222222222222,47.22222222222222,25.0,0.0,6.7569998137688
range_support_break,either,GBP_ADX25_RISK_LE2_5_BBW3_8,GBPJPY + ADX>=25 + risk<=2.5ATR + BB幅3-8ATR,14,50.0,6.728555377799454,0.4806110984142467,1.940501812134736,4.109084150131199,3,10,60.0,7.766685844275154,0.7766685844275154,2.8816615297486274,3.0709536836554996,3,0,0.0,0.0,0.0,,0.0,0,4,25.0,-1.0381304664756994,-0.25953261661892485,0.6570035144370437,3.0266504473706997,3,1.7237951697017344,71.42857142857143,57.14285714285714,50.0,21.428571428571427,7.142857142857142,5.564230546058376
range_support_break,rebreak,GBP_ADX25_RISK_LE2_5_BBW3_8,GBPJPY + ADX>=25 + risk<=2.5ATR + BB幅3-8ATR,11,45.45454545454545,3.7803293779798937,0.34366630708908125,1.6163588365695396,3.088191255207967,3,7,57.14285714285714,4.818459844455594,0.6883514063507992,2.551002194128484,2.0500607887322673,2,0,0.0,0.0,0.0,,0.0,0,4,25.0,-1.0381304664756994,-0.25953261661892485,0.6570035144370437,3.0266504473706997,3,1.7503893614400319,72.72727272727273,54.54545454545454,45.45454545454545,27.27272727272727,9.090909090909092,1.999305629103767
