trades,win_rate,total_r,avg_r,pf,max_dd_r,adx_min,adjust_min,body_min,is_base
74,58.108108108108105,31.205176440915817,0.42169157352588943,2.0751729821715013,4.501605163257327,0,0.0,0.0,True
74,58.108108108108105,31.205176440915817,0.42169157352588943,2.0751729821715013,4.501605163257327,0,0.0,0.35,False
63,55.55555555555556,24.551646913251364,0.38970868116272006,1.9444625928826171,4.033553659718326,0,0.0,0.45,False
74,58.108108108108105,31.205176440915817,0.42169157352588943,2.0751729821715013,4.501605163257327,0,0.5,0.0,False
74,58.108108108108105,31.205176440915817,0.42169157352588943,2.0751729821715013,4.501605163257327,0,0.5,0.35,False
63,55.55555555555556,24.551646913251364,0.38970868116272006,1.9444625928826171,4.033553659718326,0,0.5,0.45,False
70,61.42857142857143,35.25271381331689,0.5036101973330984,2.4114712730489583,4.501605163257327,0,1.0,0.0,False
70,61.42857142857143,35.25271381331689,0.5036101973330984,2.4114712730489583,4.501605163257327,0,1.0,0.35,False
59,59.32203389830508,28.59918428565244,0.48473193704495665,2.303053258674475,3.491459392479914,0,1.0,0.45,False
41,48.78048780487805,9.318627776918683,0.22728360431508984,1.4926883385723138,3.6155549023543667,18,0.0,0.0,False
41,48.78048780487805,9.318627776918683,0.22728360431508984,1.4926883385723138,3.6155549023543667,18,0.0,0.35,False
35,45.714285714285715,6.799244365638752,0.19426412473253576,1.40241869517621,4.094056632281888,18,0.0,0.45,False
41,48.78048780487805,9.318627776918683,0.22728360431508984,1.4926883385723138,3.6155549023543667,18,0.5,0.0,False
41,48.78048780487805,9.318627776918683,0.22728360431508984,1.4926883385723138,3.6155549023543667,18,0.5,0.35,False
35,45.714285714285715,6.799244365638752,0.19426412473253576,1.40241869517621,4.094056632281888,18,0.5,0.45,False
40,50.0,10.329748022495373,0.2582437005623843,1.5769932669713975,3.6155549023543667,18,1.0,0.0,False
40,50.0,10.329748022495373,0.2582437005623843,1.5769932669713975,3.6155549023543667,18,1.0,0.35,False
34,47.05882352941176,7.81036461121544,0.22971660621221882,1.4916871578432624,4.094056632281888,18,1.0,0.45,False
30,50.0,6.982995347768772,0.2327665115922924,1.5057387124464703,3.0256928695105243,22,0.0,0.0,False
30,50.0,6.982995347768772,0.2327665115922924,1.5057387124464703,3.0256928695105243,22,0.0,0.35,False
26,46.15384615384615,4.942429461359775,0.19009344082152982,1.3862518554072332,3.0360215020267947,22,0.0,0.45,False
30,50.0,6.982995347768772,0.2327665115922924,1.5057387124464703,3.0256928695105243,22,0.5,0.0,False
30,50.0,6.982995347768772,0.2327665115922924,1.5057387124464703,3.0256928695105243,22,0.5,0.35,False
26,46.15384615384615,4.942429461359775,0.19009344082152982,1.3862518554072332,3.0360215020267947,22,0.5,0.45,False
29,51.724137931034484,7.994115593345458,0.2756591583912227,1.6247161909272783,3.0256928695105243,22,1.0,0.0,False
29,51.724137931034484,7.994115593345458,0.2756591583912227,1.6247161909272783,3.0256928695105243,22,1.0,0.35,False
25,48.0,5.953549706936461,0.23814198827745844,1.5051909129682055,3.0256928695105243,22,1.0,0.45,False
18,50.0,3.546107335829702,0.1970059631016501,1.4276663002419585,3.0364021588629218,26,0.0,0.0,False
18,50.0,3.546107335829702,0.1970059631016501,1.4276663002419585,3.0364021588629218,26,0.0,0.35,False
15,40.0,0.4938978951006312,0.03292652634004208,1.0595648877744859,3.0364021588629218,26,0.0,0.45,False
18,50.0,3.546107335829702,0.1970059631016501,1.4276663002419585,3.0364021588629218,26,0.5,0.0,False
18,50.0,3.546107335829702,0.1970059631016501,1.4276663002419585,3.0364021588629218,26,0.5,0.35,False
15,40.0,0.4938978951006312,0.03292652634004208,1.0595648877744859,3.0364021588629218,26,0.5,0.45,False
17,52.94117647058824,4.55722758140639,0.2680722106709641,1.6259375893906476,3.0256928695105243,26,1.0,0.0,False
17,52.94117647058824,4.55722758140639,0.2680722106709641,1.6259375893906476,3.0256928695105243,26,1.0,0.35,False
14,42.857142857142854,1.5050181406773173,0.10750129576266552,1.206715027971904,3.0256928695105243,26,1.0,0.45,False
