is_oos,filter,target_model,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,avg_planned_rr,median_planned_rr,avg_hold_bars,tp_rate
False,basic_role,fixed_1_5R,183,47.540983606557376,28.657726257722423,0.15659959703673457,1.3388955065662094,8.395048832517322,6,1.5000000000000007,1.5,28.010928961748633,37.15846994535519
False,diag_break,fixed_1_5R,103,52.42718446601942,28.350725952722414,0.2752497665312856,1.6565286371211956,4.29951416867856,4,1.5000000000000013,1.5,28.514563106796118,41.74757281553398
False,observe_loose,fixed_1_5R,243,47.325102880658434,27.99654479611517,0.11521211850253156,1.249932189043425,8.372278510932398,8,1.5000000000000004,1.5,30.333333333333332,34.15637860082305
False,basic_role,fixed_2R,176,43.18181818181818,27.451949765375065,0.15597698730326742,1.3082403674911902,10.564148592658821,7,2.0,2.0,30.954545454545453,27.27272727272727
False,diag_break,fixed_2R,101,48.51485148514851,26.134324757730756,0.25875569067060156,1.563848622695212,5.617676493597851,4,2.0,2.0,33.02970297029703,28.71287128712871
False,observe_loose,fixed_2R,230,42.173913043478265,14.305001278587042,0.06219565773298714,1.1196806741901195,14.54328570227103,7,2.0,2.0,33.41304347826087,23.043478260869566
False,context,fixed_1_5R,62,46.774193548387096,10.692815876980067,0.1724647722093559,1.3730488714330795,4.114398224562926,4,1.5000000000000007,1.5,28.64516129032258,38.70967741935484
False,strict_synapse,fixed_1_5R,13,69.23076923076923,8.34161436852222,0.6416626437324785,5.182720071615558,1.0104885238424401,1,1.5000000000000009,1.5,44.15384615384615,38.46153846153847
False,strict_synapse,fixed_2R,13,69.23076923076923,8.03525005820081,0.6180961583231392,5.029100389214076,1.0104885238424401,1,2.0,2.0,50.07692307692308,23.076923076923077
False,context,fixed_2R,61,42.62295081967213,7.553450214615317,0.12382705269861176,1.2450784910461254,5.786447837179509,4,2.0,2.0,32.59016393442623,24.59016393442623
True,context,fixed_1_5R,9,44.44444444444444,2.538681001473825,0.282075666830425,1.743968240499659,1.0101134665184874,2,1.5000000000000004,1.5,30.444444444444443,44.44444444444444
True,strict_synapse,fixed_2R,1,100.0,1.9869008107387185,1.9869008107387185,inf,0.0,0,2.0,2.0,53.0,100.0
True,context,fixed_2R,9,33.33333333333333,1.5386810014738204,0.17096455571931338,1.3479206903721046,1.3968121554944157,3,2.0,2.0,38.22222222222222,33.33333333333333
True,strict_synapse,fixed_1_5R,1,100.0,1.4869008107387185,1.4869008107387185,inf,0.0,0,1.5,1.5,52.0,100.0
True,observe_loose,half_wave,1,100.0,0.839022701029745,0.839022701029745,inf,0.0,0,0.8527560649340846,0.8527560649340846,28.0,100.0
False,observe_loose,half_wave,6,50.0,-1.290281943056376,-0.215046990509396,0.5764034620568081,2.0361212201698553,3,0.6777777887262667,0.6172648927981523,17.166666666666668,50.0
True,diag_break,fixed_1_5R,17,29.411764705882355,-3.0536944939984556,-0.1796290878822621,0.7088727796409677,5.499619226903343,5,1.4999999999999982,1.5,26.235294117647058,29.411764705882355
True,diag_break,fixed_2R,17,23.52941176470588,-3.5536944939984467,-0.20904085258814392,0.6909659835770542,5.509772940017841,5,2.0,2.0,30.764705882352942,23.52941176470588
True,observe_loose,fixed_2R,30,30.0,-9.98127893396102,-0.3327092977987007,0.4722505657934717,9.631732804191728,6,2.0,2.0,36.333333333333336,6.666666666666667
True,observe_loose,fixed_1_5R,30,30.0,-10.635401342711104,-0.35451337809037015,0.4376645439616309,10.631732804191728,6,1.4999999999999996,1.5,34.733333333333334,13.333333333333334
True,basic_role,fixed_2R,26,19.230769230769234,-15.47233799319028,-0.5950899228150107,0.24854204286621145,14.464244689988119,6,2.0,2.0,24.653846153846153,7.6923076923076925
True,basic_role,fixed_1_5R,26,19.230769230769234,-16.472337993190266,-0.6335514612765487,0.1999742079685694,15.464244689988105,6,1.4999999999999984,1.5,24.346153846153847,7.6923076923076925
