symbol,timeframe,filter,filter_description,structure,entry_mode,direction,signal_time,close,a_level,b_level,trendline,trendline_slope_atr,trigger_level,b_cross,diag_now,retrace,wave1_atr,wave1_bars,adjust_bars,adjust_ratio,right_shoulder_ok,momentum_ok,ema_ok,upper_align,upper_oppose,upper_context,signal_body_ratio,chase_atr,mid_recovery,stop,target_half,half_target_ahead,pivots,pivot_count,entry_i,entry_time,entry,target,target_model,planned_rr,exit_i,exit_time,exit,exit_reason,bars_held,risk,r_clean,r_after_cost,is_oos
GBPJPY,H4,observe_loose,候補量確認。浅い戻しも許容し、文脈フィルタなし。,ihs_5pivot,B_confirmed,short,2014-01-16 22:00:00,170.308,168.3485,170.438,171.95763636363634,0.2923019476636455,170.438,True,True,0.7352533333333304,7.213122362482323,9,14,1.5555555555555556,True,False,True,1,0,D1順,0.7559395248380107,0.2000439268528361,0.4314521978819094,171.92497145381537,169.45125,True,38-47-55-58-61,5,67,2014-01-17 02:00:00,170.308,169.45125,half_wave,0.5298485622479179,79,2014-01-21 02:00:00,171.92497145381537,SL,12,1.6169714538153812,-1.0,-1.0098950417227628,False
GBPJPY,H4,observe_loose,候補量確認。浅い戻しも許容し、文脈フィルタなし。,classic_6pivot,B_confirmed,short,2014-07-23 05:00:00,172.962,172.6785,172.981,172.38250000000008,-0.06368776684141933,172.981,True,False,0.4019390581717497,6.213860494529049,14,14,1.0,True,False,True,0,1,D1逆,0.4708737864078008,0.06540905783716643,0.7112336319779625,173.5360959293048,172.5755,True,832-846-848-850-860-862,6,867,2014-07-23 09:00:00,172.962,172.5755,half_wave,0.6732324342867448,898,2014-07-30 13:00:00,173.5360959293048,SL,31,0.5740959293048036,-1.0,-1.0278699067234192,False
GBPJPY,H4,observe_loose,候補量確認。浅い戻しも許容し、文脈フィルタなし。,ihs_5pivot,B_confirmed,long,2014-09-23 17:00:00,178.449,180.714,178.372,173.21960000000004,-0.6934881237194809,178.372,True,True,0.5271066778936437,11.429081065441023,17,13,0.7647058823529411,False,False,True,1,0,D1順,0.37928286852589704,0.11400210402732518,0.4433521749815697,176.50991477388604,180.50475,True,1100-1117-1121-1122-1130,5,1134,2014-09-23 21:00:00,178.449,180.50475,half_wave,1.0601648510931194,1169,2014-10-01 17:00:00,176.50991477388604,SL,35,1.9390852261139742,-1.0,-1.008251313446436,False
GBPJPY,H4,observe_loose,候補量確認。浅い戻しも許容し、文脈フィルタなし。,classic_6pivot,A_plus_diag,short,2015-07-03 09:00:00,191.793,191.976,191.7935,192.32923529411767,0.06293325931099202,191.976,False,True,0.4027259868844011,6.927846195043163,2,20,10.0,True,True,True,0,1,D1逆,0.7306547619047434,0.32603725181762666,0.7333971902937308,193.05375711109988,190.99724999999998,True,2308-2310-2314-2327-2330-2334,6,2338,2015-07-03 13:00:00,191.793,190.99724999999998,half_wave,0.6311683614505403,2338,2015-07-03 13:00:00,190.99724999999998,TP,0,1.2607571110998776,0.6311683614505403,0.6184775744153903,False
GBPJPY,H4,observe_loose,候補量確認。浅い戻しも許容し、文脈フィルタなし。,classic_6pivot,B_confirmed,long,2017-09-06 09:00:00,142.055,143.031,141.908,143.29237500000005,0.03332205974358635,141.908,True,False,0.5942028985507185,6.280801895082816,14,17,1.2142857142857142,False,False,False,0,1,D1逆,0.41632088520058436,0.31859140047525863,0.5046457607433275,141.09371878978484,142.635,True,5682-5696-5698-5704-5713-5716,6,5722,2017-09-06 13:00:00,142.055,142.635,half_wave,0.6033614241457643,5723,2017-09-06 17:00:00,142.635,TP,1,0.9612812102151622,0.6033614241457643,0.5867169710658603,False
GBPJPY,H4,observe_loose,候補量確認。浅い戻しも許容し、文脈フィルタなし。,ihs_5pivot,B_confirmed,short,2019-07-09 09:00:00,135.471,135.176,135.546,135.68988888888887,0.06866544814831992,135.546,True,True,0.4231651376146764,8.738698979481258,14,22,1.5714285714285714,False,False,True,1,0,D1順,0.7291666666666272,0.2505360945951802,0.7335140018066701,136.3428716126083,134.97499999999997,True,8532-8546-8561-8564-8568,5,8572,2019-07-09 13:00:00,135.471,134.97499999999997,half_wave,0.5688910991335133,8596,2019-07-15 13:00:00,134.97499999999997,TP,24,0.8718716126082882,0.5688910991335133,0.5505397733549918,False
GBPJPY,H4,observe_loose,候補量確認。浅い戻しも許容し、文脈フィルタなし。,ihs_5pivot,B_confirmed,long,2026-03-16 13:00:00,211.878,213.308,211.594,211.22671428571428,-0.2472157036672561,211.594,True,True,0.6059723233794564,8.31735167308985,27,15,0.5555555555555556,False,False,True,1,0,D1順,0.8716417910447547,0.5734712005723352,0.4270833333333262,210.71295404975297,212.87150000000003,True,18926-18953-18958-18967-18968,5,18971,2026-03-16 17:00:00,211.878,212.87150000000003,half_wave,0.8527560649340846,18999,2026-03-23 09:00:00,212.87150000000003,TP,28,1.1650459502470198,0.8527560649340846,0.839022701029745,True
GBPJPY,H4,observe_loose,候補量確認。浅い戻しも許容し、文脈フィルタなし。,ihs_5pivot,B_confirmed,short,2014-01-16 22:00:00,170.308,168.3485,170.438,171.95763636363634,0.2923019476636455,170.438,True,True,0.7352533333333304,7.213122362482323,9,14,1.5555555555555556,True,False,True,1,0,D1順,0.7559395248380107,0.2000439268528361,0.4314521978819094,171.92497145381537,169.45125,True,38-47-55-58-61,5,67,2014-01-17 02:00:00,170.308,167.88254281927692,fixed_1_5R,1.5,79,2014-01-21 02:00:00,171.92497145381537,SL,12,1.6169714538153812,-1.0,-1.0098950417227628,False
GBPJPY,H4,observe_loose,候補量確認。浅い戻しも許容し、文脈フィルタなし。,role_ab_5pivot,B_confirmed,short,2014-01-29 10:00:00,169.145,167.7715,170.393,160.4022142857143,-0.5925753063980681,170.393,True,False,0.7814045499505464,5.487481679327157,4,8,2.0,True,False,True,1,0,D1順,0.8135725429017054,1.5053032499835692,0.6136427566807301,171.49231376543412,169.05175000000003,True,95-98-102-110-112,5,118,2014-01-29 14:00:00,169.145,165.62402935184883,fixed_1_5R,1.500000000000006,136,2014-02-03 14:00:00,165.62402935184883,TP,18,2.3473137654341087,1.500000000000006,1.4931836977929338,False
GBPJPY,H4,observe_loose,候補量確認。浅い戻しも許容し、文脈フィルタなし。,ihs_5pivot,B_confirmed,long,2014-02-16 22:00:00,170.876,170.4355,170.6,170.7645,0.04058948907091251,170.6,True,True,0.4066171923314798,4.787832498066646,14,7,0.5,True,True,True,0,1,D1逆,0.4133663366336851,0.4086090814676723,1.3349809885931674,168.9854075546688,170.73749999999998,False,166-180-184-186-187,5,193,2014-02-17 02:00:00,170.876,173.71188866799682,fixed_1_5R,1.5,253,2014-03-03 02:00:00,169.761,time_exit,60,1.8905924453312082,-0.5897622212304329,-0.598225176871418,False
GBPJPY,H4,observe_loose,候補量確認。浅い戻しも許容し、文脈フィルタなし。,role_ab_5pivot,A_plus_diag,short,2014-03-14 17:00:00,168.7255,170.1755,167.9375,168.8001842105263,-0.1428803666616937,168.8001842105263,False,True,0.42702227432590595,4.96257616391336,18,6,0.3333333333333333,True,True,True,1,0,D1順,0.10011641443540709,0.10862429161151892,1.995195607412488,171.77000922453587,169.92649999999998,False,278-279-297-303-309,5,312,2014-03-16 21:00:00,168.7255,164.15873616319624,fixed_1_5R,1.4999999999999953,372,2014-03-30 21:00:00,171.282,time_exit,60,3.044509224535858,-0.8397084099456928,-0.8449637725739532,False
GBPJPY,H4,observe_loose,候補量確認。浅い戻しも許容し、文脈フィルタなし。,role_ab_5pivot,A_plus_diag,short,2014-04-09 13:00:00,170.617,170.7265,170.016,170.80389999999994,0.017706054621962574,170.7265,False,True,0.9532497149372904,1.8056058027289899,3,1,0.3333333333333333,True,True,True,0,0,D1中立,0.6970802919708459,0.2254433698960284,1.1309808612440135,171.65964191200254,171.124,False,404-406-409-410-413,5,419,2014-04-09 17:00:00,170.617,169.05303713199618,fixed_1_5R,1.4999999999999865,446,2014-04-16 05:00:00,171.65964191200254,SL,27,1.0426419120025514,-1.0,-1.0153456328734083,False
GBPJPY,H4,observe_loose,候補量確認。浅い戻しも許容し、文脈フィルタなし。,ihs_5pivot,B_confirmed,short,2014-04-27 21:00:00,171.303,171.368,171.484,171.6386666666667,0.04985347113436713,171.484,True,True,0.6300699300699344,3.6874377787312147,3,9,3.0,True,False,False,0,1,D1逆,0.7704761904762069,0.46673163493034225,1.0721420643729156,172.3465606307582,171.554,False,475-478-483-484-487,5,493,2014-04-28 01:00:00,171.303,169.73765905386267,fixed_1_5R,1.5000000000000135,495,2014-04-28 09:00:00,172.3465606307582,SL,2,1.0435606307582077,-1.0,-1.0153321230491368,False
GBPJPY,H4,observe_loose,候補量確認。浅い戻しも許容し、文脈フィルタなし。,ihs_5pivot,B_confirmed,long,2014-05-02 05:00:00,173.02,172.586,172.914,174.38999999999987,0.2584070658778547,172.914,True,False,0.4869367663763695,4.1612991523382465,4,10,2.5,True,True,True,1,0,D1順,0.5693548387096872,0.33403840223244713,1.6749611197511618,171.87953424319386,172.60325,False,492-496-497-500-506,5,519,2014-05-02 09:00:00,173.02,174.73069863520925,fixed_1_5R,1.5000000000000124,523,2014-05-05 01:00:00,171.87953424319386,SL,4,1.140465756806151,-1.0,-1.0140293559052813,False
GBPJPY,H4,observe_loose,候補量確認。浅い戻しも許容し、文脈フィルタなし。,ihs_5pivot,B_confirmed,short,2014-05-08 13:00:00,172.0855,171.7805,172.153,172.37029166666667,0.07707963232857906,172.153,True,True,0.7118494560423527,4.222515375293905,6,13,2.1666666666666665,True,False,False,0,1,D1逆,0.5103817816476912,0.16760940184199855,0.7480380008261044,173.071544407722,172.14075000000003,False,519-525-530-537-538,5,545,2014-05-08 17:00:00,172.0855,170.60643338841697,fixed_1_5R,1.5000000000000144,569,2014-05-14 17:00:00,170.60643338841697,TP,24,0.9860444077220052,1.5000000000000144,1.4837735502836336,False
GBPJPY,H4,observe_loose,候補量確認。浅い戻しも許容し、文脈フィルタなし。,ihs_5pivot,B_confirmed,long,2014-06-04 13:00:00,171.9275,171.9835,171.8205,171.7836935483871,-0.015378370624779113,171.8205,True,True,0.8778947368420816,2.083863565489864,12,36,3.0,True,False,True,1,0,D1順,0.4211409395973686,0.31294512492268384,0.9104716227018638,169.4726174041526,171.71425,False,608-620-632-651-656,5,659,2014-06-04 17:00:00,171.9275,175.60982389377114,fixed_1_5R,1.5000000000000058,719,2014-06-18 17:00:00,173.2065,time_exit,60,2.4548825958474083,0.5210025123659711,0.514484889068187,False
GBPJPY,H4,observe_loose,候補量確認。浅い戻しも許容し、文脈フィルタなし。,ihs_5pivot,B_confirmed,short,2014-06-24 21:00:00,173.043,172.839,173.1785,173.36946875,0.06955104391342624,173.1785,True,True,0.9060574948665325,3.192587535631147,3,21,7.0,True,False,False,0,1,D1逆,0.7212389380530227,0.44414333786247334,0.7688385269121708,174.15801633794717,173.2345,False,716-719-729-735-740,5,745,2014-06-25 01:00:00,173.043,171.37047549307925,fixed_1_5R,1.5,771,2014-07-01 09:00:00,174.15801633794717,SL,26,1.1150163379471678,-1.0,-1.01434956552249,False
GBPJPY,H4,observe_loose,候補量確認。浅い戻しも許容し、文脈フィルタなし。,role_ab_5pivot,B_confirmed,long,2014-07-15 05:00:00,174.0345,173.809,174.01,172.86775,-0.2268304228553844,174.01,True,True,0.848556275780787,2.4537448770396133,5,3,0.6,True,True,False,1,0,D1順,0.5808823529411967,0.0708506181349598,1.31319444444446,173.0198404057863,173.51325,False,810-813-818-821-824,5,831,2014-07-15 09:00:00,174.0345,175.55648939132055,fixed_1_5R,1.5,845,2014-07-17 17:00:00,173.0198404057863,SL,14,1.014659594213697,-1.0,-1.0157688352736847,False
GBPJPY,H4,observe_loose,候補量確認。浅い戻しも許容し、文脈フィルタなし。,classic_6pivot,B_confirmed,short,2014-07-23 05:00:00,172.962,172.6785,172.981,172.38250000000008,-0.06368776684141933,172.981,True,False,0.4019390581717497,6.213860494529049,14,14,1.0,True,False,True,0,1,D1逆,0.4708737864078008,0.06540905783716643,0.7112336319779625,173.5360959293048,172.5755,True,832-846-848-850-860-862,6,867,2014-07-23 09:00:00,172.962,172.10085610604278,fixed_1_5R,1.5,898,2014-07-30 13:00:00,173.5360959293048,SL,31,0.5740959293048036,-1.0,-1.0278699067234192,False
GBPJPY,H4,observe_loose,候補量確認。浅い戻しも許容し、文脈フィルタなし。,ihs_5pivot,B_confirmed,short,2014-08-06 09:00:00,172.3325,172.3865,172.463,172.60324999999995,0.039494097131271506,172.463,True,True,0.7640640981929734,4.542595564158703,2,12,6.0,False,True,True,0,0,D1中立,0.42664872139974347,0.4042337000495314,1.0481927710843395,173.57156661084122,172.77375,False,908-910-914-916-922,5,928,2014-08-06 13:00:00,172.3325,170.47390008373822,fixed_1_5R,1.4999999999999885,970,2014-08-15 13:00:00,170.47390008373822,TP,42,1.2390666108412063,1.4999999999999885,1.4870870541905965,False
GBPJPY,H4,observe_loose,候補量確認。浅い戻しも許容し、文脈フィルタなし。,role_ab_5pivot,A_plus_diag,long,2014-08-20 17:00:00,172.193,171.683,172.264,172.02875,0.07930396476432333,172.02875,False,True,0.7829209896249046,3.448776324501285,7,3,0.42857142857142855,True,True,False,0,1,D1逆,0.6449541284404106,0.4520842069428381,1.519877675841001,170.6293365459454,171.3285,False,969-970-977-980-986,5,990,2014-08-20 21:00:00,172.193,174.53849518108194,fixed_1_5R,1.5,1050,2014-09-03 21:00:00,172.627,time_exit,60,1.5636634540546197,0.2775533308491826,0.2673209499883707,False
GBPJPY,H4,observe_loose,候補量確認。浅い戻しも許容し、文脈フィルタなし。,ihs_5pivot,B_confirmed,long,2014-09-23 17:00:00,178.449,180.714,178.372,173.21960000000004,-0.6934881237194809,178.372,True,True,0.5271066778936437,11.429081065441023,17,13,0.7647058823529411,False,False,True,1,0,D1順,0.37928286852589704,0.11400210402732518,0.4433521749815697,176.50991477388604,180.50475,True,1100-1117-1121-1122-1130,5,1134,2014-09-23 21:00:00,178.449,181.35762783917096,fixed_1_5R,1.4999999999999927,1169,2014-10-01 17:00:00,176.50991477388604,SL,35,1.9390852261139742,-1.0,-1.008251313446436,False
GBPJPY,H4,observe_loose,候補量確認。浅い戻しも許容し、文脈フィルタなし。,role_ab_5pivot,A_plus_diag,short,2014-10-15 09:00:00,169.926,173.4435,169.9295,170.63986363636366,-0.14250058649178354,170.63986363636366,False,True,0.92587123449497,2.581506247311795,8,3,0.375,True,True,True,1,0,D1順,0.5329670329670464,1.08850764146575,3.2440191387559953,175.1421637344874,174.16449999999998,False,1186-1189-1197-1200-1221,5,1228,2014-10-15 13:00:00,169.926,162.10175439826884,fixed_1_5R,1.5000000000000027,1288,2014-10-29 13:00:00,174.539,time_exit,60,5.216163734487424,-0.8843664107973606,-0.8874337991721222,False
GBPJPY,H4,observe_loose,候補量確認。浅い戻しも許容し、文脈フィルタなし。,ihs_5pivot,B_confirmed,long,2014-10-30 17:00:00,174.76,174.747,174.694,174.63216666666662,-0.01957826311760151,174.694,True,True,0.5558431952662864,2.9965824605642815,7,8,1.1428571428571428,True,True,True,1,0,D1順,0.23861720067450568,0.14628287159559875,1.0172987358615788,173.90526387149075,174.67149999999998,False,1275-1282-1286-1288-1290,5,1296,2014-10-30 21:00:00,174.76,176.04210419276387,fixed_1_5R,1.5000000000000167,1297,2014-10-31 01:00:00,176.04210419276387,TP,1,0.854736128509245,1.5000000000000167,1.4812807725491712,False
GBPJPY,H4,observe_loose,候補量確認。浅い戻しも許容し、文脈フィルタなし。,ihs_5pivot,B_confirmed,long,2014-11-11 06:00:00,183.789,184.329,182.903,180.94224999999997,-0.24303050096335013,182.903,True,True,1.0146897952805116,4.362278192607182,11,13,1.1818181818181819,False,False,True,1,0,D1順,0.8412098298676678,1.207994523722439,0.8336670260280238,180.93581059328486,182.68225,False,1310-1321-1324-1329-1334,5,1341,2014-11-11 10:00:00,183.789,188.06878411007267,fixed_1_5R,1.4999999999999951,1401,2014-11-25 10:00:00,185.127,time_exit,60,2.8531894067151313,0.46894888816388036,0.46334112866415605,False
GBPJPY,H4,observe_loose,候補量確認。浅い戻しも許容し、文脈フィルタなし。,ihs_5pivot,B_confirmed,long,2014-12-01 10:00:00,186.136,186.116,185.9095,185.703,-0.04348538009797455,185.9095,True,True,0.5547514159848973,2.676930517217662,9,12,1.3333333333333333,True,False,True,1,0,D1順,0.7818770226537229,0.38157631349890253,1.022688598978992,184.90228193916278,186.029,False,1400-1409-1412-1417-1421,5,1426,2014-12-01 14:00:00,186.136,187.9865770912558,fixed_1_5R,1.4999999999999885,1438,2014-12-03 14:00:00,187.9865770912558,TP,12,1.2337180608372194,1.4999999999999885,1.487031072570036,False
GBPJPY,H4,observe_loose,候補量確認。浅い戻しも許容し、文脈フィルタなし。,role_ab_5pivot,A_plus_diag,long,2014-12-08 10:00:00,188.8405,186.9345,189.719,188.69164285714288,0.1280171066926899,188.69164285714288,False,True,0.3855882352941242,2.972494770035154,10,5,0.5,True,True,True,1,0,D1順,0.10481825866438006,0.26028063448537214,3.9077040427153715,186.16461796527702,187.12900000000002,False,1417-1421-1431-1436-1449,5,1456,2014-12-08 14:00:00,188.8405,192.85432305208445,fixed_1_5R,1.5,1462,2014-12-09 14:00:00,186.16461796527702,SL,6,2.6758820347229744,-1.0,-1.0059793368289032,False
