filter,target_model,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,avg_planned_rr,median_planned_rr,avg_hold_bars,tp_rate
diag_break,fixed_1_5R,120,49.166666666666664,25.297031458723957,0.2108085954893663,1.471326583521164,5.4996192269033415,5,1.5000000000000009,1.5,28.191666666666666,40.0
diag_break,fixed_2R,118,44.91525423728814,22.580630263732314,0.19136127342146028,1.3903356868339924,5.617676493597851,5,2.0,2.0,32.70338983050848,27.966101694915253
observe_loose,fixed_1_5R,273,45.42124542124542,17.361143453404065,0.06359393206375115,1.1325991979515007,11.370122745158511,8,1.5000000000000004,1.5,30.816849816849818,31.868131868131865
context,fixed_1_5R,71,46.478873239436616,13.231496878453893,0.18635911096413935,1.4125089199057983,4.114398224562926,4,1.5000000000000009,1.5,28.87323943661972,39.436619718309856
basic_role,fixed_1_5R,209,44.01913875598086,12.185388264532158,0.05830329313173281,1.1158836830190537,16.472337993190266,6,1.5000000000000004,1.5,27.555023923444978,33.49282296650718
basic_role,fixed_2R,202,40.099009900990104,11.979611772184791,0.05930500877319204,1.1092532233150272,15.47233799319028,7,2.0,2.0,30.143564356435643,24.752475247524753
strict_synapse,fixed_2R,14,71.42857142857143,10.02215086893953,0.7158679192099664,6.02538834190906,1.0104885238424401,1,2.0,2.0,50.285714285714285,28.57142857142857
strict_synapse,fixed_1_5R,14,71.42857142857143,9.82851517926094,0.7020367985186385,5.928293960651629,1.0104885238424401,1,1.5000000000000007,1.5,44.714285714285715,42.857142857142854
context,fixed_2R,70,41.42857142857143,9.092131216089138,0.1298875888012734,1.2579837382322487,5.786447837179509,4,2.0,2.0,33.31428571428572,25.71428571428571
observe_loose,fixed_2R,260,40.76923076923077,4.323722344626029,0.016629701325484726,1.0312318947886194,14.54328570227103,7,2.0,2.0,33.75,21.153846153846153
observe_loose,half_wave,7,57.14285714285714,-0.4512592420266309,-0.06446560600380442,0.8518526484339106,2.0361212201698553,3,0.7027746853273834,0.6311683614505403,18.714285714285715,57.14285714285714
