max_entries,entries,baskets,win_rate,total_r_after_cost,total_r_clean,avg_r_after_cost,pf_after_cost,max_dd_after_cost_r,max_losing_streak,max_winning_streak
1,461,461,36.88,191.53,219.0,0.4155,1.624,18.27,15,9
2,465,461,37.2,197.15,224.88,0.424,1.64,18.27,15,9
3,465,461,37.2,197.15,224.88,0.424,1.64,18.27,15,9
4,465,461,37.2,197.15,224.88,0.424,1.64,18.27,15,9
5,465,461,37.2,197.15,224.88,0.424,1.64,18.27,15,9
