symbol,max_entries,basket_id,leg_no,signal_time,entry_time,exit_time,direction,entry,exit_price,basket_sl,basket_tp,sl_dist,pnl_r_clean,pnl_r_after_cost,bars_held,exit_reason,basket_key
AUDJPY,1,1,1,2015-03-06 12:00:00,2015-03-06 13:00:00,2015-03-06 13:00:00,long,93.998,93.71623409786797,93.71623409786797,94.8432977063961,0.281765902132031,-1.0000000000000202,-1.0443630684387673,0,SL,AUDJPY#1#1
AUDJPY,1,2,1,2015-03-30 11:00:00,2015-03-30 12:00:00,2015-04-02 02:00:00,short,91.797,90.64834527911337,92.1798849069622,90.64834527911337,0.38288490696221,2.9999999999999885,2.9673531137616065,62,TP,AUDJPY#1#2
AUDJPY,1,3,1,2015-05-13 09:00:00,2015-05-13 10:00:00,2015-05-18 07:00:00,long,96.084,95.63980396003187,95.63980396003187,97.41658811990442,0.44419603996813983,-0.9999999999999858,-1.0281407281363402,69,SL,AUDJPY#1#3
AUDJPY,1,4,1,2015-06-28 21:00:00,2015-06-28 22:00:00,2015-06-29 01:00:00,short,93.454,93.97896828439269,93.97896828439269,91.8790951468219,0.5249682843926997,-0.9999999999999988,-1.0238109622459353,3,SL,AUDJPY#1#4
AUDJPY,1,5,1,2015-10-09 06:00:00,2015-10-09 07:00:00,2015-10-13 13:00:00,long,87.548,87.12339262086965,87.12339262086965,88.82182213739105,0.4246073791303495,-1.0000000000000016,-1.0294389608244465,54,SL,AUDJPY#1#5
AUDJPY,1,6,1,2015-11-19 00:00:00,2015-11-19 01:00:00,2015-11-24 22:00:00,long,88.144,89.07668866914129,87.83310377695291,89.07668866914129,0.3108962230470951,3.0,2.9597936575829835,93,TP,AUDJPY#1#6
AUDJPY,1,7,1,2016-01-04 05:00:00,2016-01-04 06:00:00,2016-01-06 01:00:00,short,86.146,84.84790322832232,86.57869892389256,84.84790322832232,0.4326989238925574,3.0000000000000124,2.971111552837864,43,TP,AUDJPY#1#7
AUDJPY,1,8,1,2016-02-11 08:00:00,2016-02-11 09:00:00,2016-02-11 12:00:00,short,78.322,79.34319032270673,79.34319032270673,75.25842903187983,1.0211903227067254,-1.0000000000000042,-1.0122406173678389,3,SL,AUDJPY#1#8
AUDJPY,1,9,1,2016-04-05 09:00:00,2016-04-05 10:00:00,2016-04-07 00:00:00,short,83.126,83.70612201460138,83.70612201460138,81.3856339561959,0.5801220146013681,-1.0000000000000064,-1.0215471912552427,38,SL,AUDJPY#1#9
AUDJPY,1,10,1,2016-06-03 14:00:00,2016-06-03 15:00:00,2016-06-06 07:00:00,short,78.191,78.63008079192335,78.63008079192335,76.87375762422998,0.4390807919233394,-1.0000000000000133,-1.0284685648516751,16,SL,AUDJPY#1#10
AUDJPY,1,11,1,2016-06-14 07:00:00,2016-06-14 08:00:00,2016-06-14 13:00:00,short,77.893,78.32493149566804,78.32493149566804,76.59720551299588,0.4319314956680374,-1.0000000000000029,-1.0289397743053144,5,SL,AUDJPY#1#11
AUDJPY,1,12,1,2016-10-26 00:00:00,2016-10-26 01:00:00,2016-10-26 13:00:00,long,80.146,79.80679785200688,79.80679785200688,81.16360644397938,0.3392021479931255,-0.9999999999999845,-1.036851181733191,12,SL,AUDJPY#1#12
AUDJPY,1,13,1,2017-02-10 15:00:00,2017-02-10 16:00:00,2017-02-10 18:00:00,long,87.124,86.81466272718721,86.81466272718721,88.05201181843834,0.30933727281278556,-0.9999999999999925,-1.0404089681347628,2,SL,AUDJPY#1#13
AUDJPY,1,14,1,2017-05-02 00:00:00,2017-05-02 01:00:00,2017-05-03 03:00:00,long,84.418,84.14249385671542,84.14249385671542,85.24451842985378,0.2755061432845944,-0.999999999999976,-1.045371039102637,26,SL,AUDJPY#1#14
AUDJPY,1,15,1,2017-05-18 09:00:00,2017-05-18 10:00:00,2017-05-18 11:00:00,short,81.865,82.45514325572694,82.45514325572694,80.09457023281917,0.590143255726943,-1.0,-1.02118129772506,1,SL,AUDJPY#1#15
AUDJPY,1,16,1,2017-06-27 11:00:00,2017-06-27 12:00:00,2017-06-27 13:00:00,long,85.13,84.88152384571451,84.88152384571451,85.87542846285645,0.24847615428548592,-0.9999999999999927,-1.050306638220201,1,SL,AUDJPY#1#16
AUDJPY,1,17,1,2017-07-27 03:00:00,2017-07-27 04:00:00,2017-07-27 13:00:00,long,89.33,88.9752758622228,88.9752758622228,90.39417241333157,0.35472413777719075,-1.000000000000017,-1.035238650739483,9,SL,AUDJPY#1#17
