mode,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,tp_rate
Expansion88,88,61.36363636363637,44.282945103371716,0.5032152852655877,2.2657571492588957,4.174137463355834,4,61.36363636363637
Balanced,73,64.38356164383562,42.31353648402554,0.5796374860825416,2.5869594226585915,3.128434542842495,3,64.38356164383562
Strict,69,65.21739130434783,41.47021784041192,0.6010176498610423,2.686277060522746,3.128434542842495,3,65.21739130434783
