mode,axis,bucket,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,tp_rate
Balanced,retrace_bin,50-61.8,24,70.83333333333334,18.080408283439183,0.7533503451432993,3.61907393210737,2.0822313397230516,2,70.83333333333334
Balanced,retrace_bin,61.8-70,12,75.0,10.10883968123121,0.8424033067692674,4.289333635035754,1.0341859150167585,2,75.0
Balanced,retrace_bin,70-78.6,15,53.333333333333336,4.373852941887064,0.2915901961258042,1.5969926208640504,4.880743065528744,4,53.333333333333336
Balanced,retrace_bin,78.6-82,0,,0.0,,,0.0,0,
Balanced,retrace_bin,82-88.6,0,,0.0,,,0.0,0,
Balanced,box_position,bottom,27,66.66666666666666,17.459098146156542,0.6466332646724645,2.932983164189588,3.175008028479125,3,66.66666666666666
Balanced,box_position,low-mid,22,63.63636363636363,12.181025437768875,0.5536829744440398,2.4727657041832125,2.081693961603568,2,63.63636363636363
Balanced,box_position,mid-high,2,100.0,2.9229773226320384,1.4614886613160192,inf,0.0,0,100.0
Balanced,box_position,late,0,,0.0,,,0.0,0,
Balanced,h4_state,align,40,60.0,18.88308967631667,0.4720772419079167,2.159816230762129,4.182526010812811,4,60.0
Balanced,h4_state,neutral,3,100.0,4.384437479059515,1.4614791596865049,inf,0.0,0,100.0
Balanced,h4_state,oppose,8,87.5,9.295573751181273,1.161946718897659,10.095919262201761,1.0219498967860432,1,87.5
Balanced,break_quality,ok_close,15,66.66666666666666,9.416907724925819,0.6277938483283879,2.8142265103927744,4.164362686862699,4,66.66666666666666
Balanced,break_quality,strong_close,24,70.83333333333334,17.72429147044614,0.7385121446019225,3.4314369176719137,3.1803963414555234,3,70.83333333333334
Balanced,break_quality,weak_or_wick,12,58.333333333333336,5.421901711185495,0.4518251425987912,2.1242164503957297,2.0763056486271694,2,58.333333333333336
Balanced,recent_phase,early,12,66.66666666666666,7.988103204432564,0.665675267036047,3.08649407833998,2.1267323462077576,2,66.66666666666666
Balanced,recent_phase,late_or_chase,17,64.70588235294117,9.837465230230562,0.5786744253076801,2.5846008736313157,3.11324507892052,3,64.70588235294117
Balanced,recent_phase,normal,22,68.18181818181817,14.73753247189433,0.6698878396315604,3.0281730905449225,3.1357854295738843,3,68.18181818181817
Balanced,action_class,GO_A_PLUS,24,70.83333333333334,18.080408283439183,0.7533503451432993,3.61907393210737,2.0822313397230516,2,70.83333333333334
Balanced,action_class,GO_CLEAN_A,15,66.66666666666666,9.484066296940771,0.632271086462718,2.8120945198115725,3.1803963414555225,3,66.66666666666666
Balanced,action_class,SELECTIVE_A,12,58.333333333333336,4.998626326177503,0.4165521938481252,1.9676128390829186,3.1177560211521036,3,58.333333333333336
Expansion88,retrace_bin,50-61.8,25,72.0,19.56680147805324,0.7826720591221296,3.834388409958031,2.0822313397230516,2,72.0
Expansion88,retrace_bin,61.8-70,13,69.23076923076923,9.086734896289137,0.6989796074068567,3.2188079279816204,2.056290699958832,3,69.23076923076923
Expansion88,retrace_bin,70-78.6,15,53.333333333333336,4.373852941887064,0.2915901961258042,1.5969926208640504,4.880743065528744,4,53.333333333333336
Expansion88,retrace_bin,78.6-82,7,57.14285714285714,2.751725808449068,0.39310368692129544,1.886068521168334,2.058614600504992,2,57.14285714285714
Expansion88,retrace_bin,82-88.6,0,,0.0,,,0.0,0,
Expansion88,box_position,bottom,34,64.70588235294117,20.22889067644395,0.5949673728365867,2.6660208074898337,3.175008028479125,3,64.70588235294117
Expansion88,box_position,low-mid,24,62.5,12.62724712560252,0.526135296900105,2.359425388547641,3.099508210505281,3,62.5
Expansion88,box_position,mid-high,2,100.0,2.9229773226320384,1.4614886613160192,inf,0.0,0,100.0
Expansion88,box_position,late,0,,0.0,,,0.0,0,
Expansion88,h4_state,align,48,58.333333333333336,20.612710699823666,0.42943147291299305,2.0099935489088145,4.774701636745721,4,58.333333333333336
Expansion88,h4_state,neutral,3,100.0,4.384437479059515,1.4614791596865049,inf,0.0,0,100.0
Expansion88,h4_state,oppose,9,88.88888888888889,10.781966945795329,1.197996327310592,11.55038703923139,1.0219498967860432,1,88.88888888888889
Expansion88,break_quality,ok_close,18,66.66666666666666,11.343374703242347,0.6301874835134638,2.827099604627031,4.164362686862699,4,66.66666666666666
Expansion88,break_quality,strong_close,30,66.66666666666666,19.013838710250667,0.6337946236750223,2.8283464990583664,4.221196693058802,4,66.66666666666666
Expansion88,break_quality,weak_or_wick,12,58.333333333333336,5.421901711185495,0.4518251425987912,2.1242164503957297,2.0763056486271694,2,58.333333333333336
Expansion88,recent_phase,early,16,62.5,8.842478346407052,0.5526548966504408,2.5020102870553083,3.1327905797748725,3,62.5
Expansion88,recent_phase,late_or_chase,18,61.111111111111114,8.815360445288487,0.48974224696047153,2.219229643809445,3.1132450789205195,3,61.111111111111114
Expansion88,recent_phase,normal,26,69.23076923076923,18.121276332982966,0.696972166653191,3.1797833627759484,3.1357854295738843,3,69.23076923076923
Expansion88,action_class,GO_A_PLUS,25,72.0,19.56680147805324,0.7826720591221296,3.834388409958031,2.0822313397230516,2,72.0
Expansion88,action_class,GO_CLEAN_A,22,63.63636363636363,12.23579210538984,0.556172368426811,2.4672437447918294,5.239010941960515,5,63.63636363636363
Expansion88,action_class,SELECTIVE_A,13,53.84615384615385,3.97652154123543,0.30588627240272537,1.642613948819628,3.1177560211521036,3,53.84615384615385
Strict,retrace_bin,50-61.8,23,69.56521739130434,16.60756904043256,0.7220682191492417,3.4057228391966707,2.0822313397230516,2,69.56521739130434
Strict,retrace_bin,61.8-70,12,75.0,10.10883968123121,0.8424033067692674,4.289333635035754,1.0341859150167585,2,75.0
Strict,retrace_bin,70-78.6,13,53.84615384615385,3.969679483280052,0.3053599602523117,1.6311435072436913,3.8439279067184646,3,53.84615384615385
Strict,retrace_bin,78.6-82,0,,0.0,,,0.0,0,
Strict,retrace_bin,82-88.6,0,,0.0,,,0.0,0,
Strict,box_position,bottom,27,66.66666666666666,17.459098146156542,0.6466332646724645,2.932983164189588,3.175008028479125,3,66.66666666666666
Strict,box_position,low-mid,20,65.0,11.745001353572533,0.5872500676786266,2.6235752624703474,2.081693961603568,2,65.0
Strict,box_position,mid-high,1,100.0,1.4819887052147485,1.4819887052147485,inf,0.0,0,100.0
Strict,box_position,late,0,,0.0,,,0.0,0,
Strict,h4_state,align,38,60.526315789473685,18.47891621770966,0.48628726888709634,2.2121861086840635,4.182526010812811,4,60.526315789473685
Strict,h4_state,neutral,3,100.0,4.384437479059515,1.4614791596865049,inf,0.0,0,100.0
Strict,h4_state,oppose,7,85.71428571428571,7.822734508174649,1.117533501167807,8.654714318947113,1.0219498967860432,1,85.71428571428571
Strict,break_quality,ok_close,14,64.28571428571429,7.975919107508529,0.5697085076791807,2.5366109886888837,4.164362686862699,4,64.28571428571429
Strict,break_quality,strong_close,24,70.83333333333334,17.72429147044614,0.7385121446019225,3.4314369176719137,3.1803963414555234,3,70.83333333333334
Strict,break_quality,weak_or_wick,10,60.0,4.985877626989151,0.4985877626989151,2.316920688874163,2.0763056486271694,2,60.0
Strict,recent_phase,early,12,66.66666666666666,7.988103204432564,0.665675267036047,3.08649407833998,2.1267323462077576,2,66.66666666666666
Strict,recent_phase,late_or_chase,14,64.28571428571429,7.960452528616926,0.5686037520440662,2.5393371691536233,2.0764299201102405,2,64.28571428571429
Strict,recent_phase,normal,22,68.18181818181817,14.73753247189433,0.6698878396315604,3.0281730905449225,3.1357854295738843,3,68.18181818181817
Strict,action_class,GO_A_PLUS,23,69.56521739130434,16.60756904043256,0.7220682191492417,3.4057228391966707,2.0822313397230516,2,69.56521739130434
Strict,action_class,GO_CLEAN_A,15,66.66666666666666,9.484066296940771,0.632271086462718,2.8120945198115725,3.1803963414555225,3,66.66666666666666
Strict,action_class,SELECTIVE_A,10,60.0,4.594452867570492,0.4594452867570492,2.112695091424224,2.0809408623418246,2,60.0
