mode,rank,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,tp_rate
Balanced,A,27,62.96296296296296,14.482692623118275,0.5363960230784547,2.3926073722546675,2.106220362185642,2,62.96296296296296
Balanced,A+,24,70.83333333333334,18.080408283439183,0.7533503451432993,3.61907393210737,2.0822313397230516,2,70.83333333333334
Balanced,B,22,59.09090909090909,9.75043557746808,0.44320161715764,2.0416886229984645,2.114650078921996,2,59.09090909090909
Expansion88,A,35,60.0,16.21231364662527,0.46320896133215056,2.11598596634073,4.164834962690634,4,60.0
Expansion88,A+,25,72.0,19.56680147805324,0.7826720591221296,3.834388409958031,2.0822313397230516,2,72.0
Expansion88,B,28,53.57142857142857,8.503829978693213,0.30370821352475763,1.6273742789303405,3.364031763083426,3,53.57142857142857
Strict,A,25,64.0,14.078519164511263,0.5631407665804505,2.5036525781401524,2.106220362185642,2,64.0
Strict,A+,23,69.56521739130434,16.60756904043256,0.7220682191492417,3.4057228391966707,2.0822313397230516,2,69.56521739130434
Strict,B,21,61.904761904761905,10.78412963546809,0.5135299826413376,2.2951534167047494,2.1146500789219953,2,61.904761904761905
