hour,label,trades,wr,total_r,avg_r,pf,dd,max_streak
0,,2,50.0,0.9569018605691719,0.47845093028458596,1.9217757414412724,0.0,1
4,,7,57.14285714285714,4.65675732940785,0.6652510470582643,2.4814326460210228,1.044972053134844,1
8,,6,50.0,2.8381984621240557,0.47303307702067593,1.9288487228994526,1.0345651866019792,2
12,,10,40.0,1.7365974774227055,0.17365974774227055,1.2864732043339053,4.085169593452007,4
16,,8,75.0,9.909862589483627,1.2387328236854533,5.908385451863405,1.0097758505240912,2
20,,10,50.0,4.6198930008663694,0.46198930008663697,1.9068362454988388,2.0498425915125793,2
