label,trades,wr,total_r,avg_r,pf,dd,max_streak
BASELINE SQZ_STRICT_RR2 ex GBPJPY,43,53.48837209302325,24.71821071987378,0.5748421097645066,2.2109288791606927,3.0865492191086927,3
REFINE_shelf2.2_drop4.0,21,57.14285714285714,14.375746186413952,0.6845593422101882,2.5660054052692787,2.059722437883531,2
v2 SYNTHESIS (refined + early exit),21,57.14285714285714,14.375746186413952,0.6845593422101882,2.5660054052692787,2.059722437883531,2
v2 + hour filter,15,60.0,11.559954529594261,0.7706636353062841,2.878169429025939,2.059722437883532,2
