label,trades,wr,total_r,avg_r,pf,dd,max_streak,thr_mfe,bars_min,early_loss
thr0.7_bars4_loss-0.25,43,53.48837209302325,33.97353378959615,0.7900821811533988,4.04496556306297,2.309722437883531,3,0.7,4,-0.25
thr0.6_bars4_loss-0.25,43,53.48837209302325,33.20799217931757,0.7722788878911063,3.7852460506242958,2.309722437883531,3,0.6,4,-0.25
thr0.7_bars4_loss-0.35,43,53.48837209302325,32.77353378959615,0.7621752044092128,3.6521640223915006,2.4097224378835307,3,0.7,4,-0.35
thr0.6_bars4_loss-0.35,43,53.48837209302325,32.10799217931757,0.746697492542269,3.465517290067202,2.4097224378835307,3,0.6,4,-0.35
thr0.5_bars4_loss-0.25,43,53.48837209302325,31.676209448044908,0.736656033675463,3.354302536534576,2.309722437883531,3,0.5,4,-0.25
thr0.7_bars4_loss-0.5,43,53.48837209302325,30.973533789596154,0.7203147392929338,3.1878166917281288,2.559722437883531,3,0.7,4,-0.5
thr0.5_bars4_loss-0.35,43,53.48837209302325,30.77620944804491,0.7157258011173234,3.1439956424826825,2.4097224378835307,3,0.5,4,-0.35
thr0.6_bars4_loss-0.5,43,53.48837209302325,30.457992179317575,0.7083253995190134,3.0758101411806336,2.559722437883531,3,0.6,4,-0.5
thr0.5_bars4_loss-0.5,43,53.48837209302325,29.426209448044908,0.6843304522801141,2.8737313309176504,2.559722437883531,3,0.5,4,-0.5
thr0.7_bars8_loss-0.25,43,53.48837209302325,29.39711765538453,0.6836538989624309,2.868417767301806,3.0865492191086927,3,0.7,8,-0.25
thr0.3_bars4_loss-0.25,43,53.48837209302325,29.347461072186384,0.682499094702009,2.8593933333404173,2.309722437883531,3,0.3,4,-0.25
thr0.4_bars4_loss-0.25,43,53.48837209302325,29.347461072186384,0.682499094702009,2.8593933333404173,2.309722437883531,3,0.4,4,-0.25
thr0.7_bars8_loss-0.35,43,53.48837209302325,28.797117655384525,0.6697004105903378,2.763049660048091,3.0865492191086927,3,0.7,8,-0.35
thr0.4_bars4_loss-0.35,43,53.48837209302325,28.747461072186383,0.6685456063299159,2.7546750857739584,2.409722437883531,3,0.4,4,-0.35
thr0.3_bars4_loss-0.35,43,53.48837209302325,28.747461072186383,0.6685456063299159,2.7546750857739584,2.409722437883531,3,0.3,4,-0.35
thr0.6_bars8_loss-0.25,43,53.48837209302325,28.631576045105952,0.6658506057001384,2.735327186238386,3.0865492191086927,3,0.6,8,-0.25
thr0.6_bars8_loss-0.35,43,53.48837209302325,28.131576045105945,0.6542226987233941,2.6548727798240312,3.0865492191086927,3,0.6,8,-0.35
thr0.7_bars8_loss-0.5,43,53.48837209302325,27.89711765538453,0.6487701780321984,2.6187541673606067,3.0865492191086927,3,0.7,8,-0.5
thr0.4_bars4_loss-0.5,43,53.48837209302325,27.847461072186384,0.6476153737717764,2.6112302577757687,2.559722437883531,3,0.4,4,-0.5
thr0.3_bars4_loss-0.5,43,53.48837209302325,27.847461072186384,0.6476153737717764,2.6112302577757687,2.559722437883531,3,0.3,4,-0.5
thr0.7_bars12_loss-0.25,43,53.48837209302325,27.798674891844836,0.646480811438252,2.6038802157511904,3.0865492191086927,3,0.7,12,-0.25
thr0.7_bars16_loss-0.25,43,53.48837209302325,27.798674891844836,0.646480811438252,2.6038802157511904,3.0865492191086927,3,0.7,16,-0.25
thr0.7_bars16_loss-0.35,43,53.48837209302325,27.398674891844834,0.6371784858568567,2.545142119667238,3.0865492191086927,3,0.7,16,-0.35
thr0.7_bars12_loss-0.35,43,53.48837209302325,27.398674891844834,0.6371784858568567,2.545142119667238,3.0865492191086927,3,0.7,12,-0.35
thr0.6_bars8_loss-0.5,43,53.48837209302325,27.381576045105952,0.6367808382582779,2.5426902400244336,3.0865492191086927,3,0.6,8,-0.5
thr0.5_bars8_loss-0.25,43,53.48837209302325,27.099793313833285,0.630227751484495,2.5029539313557647,3.0865492191086927,3,0.5,8,-0.25
thr0.6_bars12_loss-0.25,43,53.48837209302325,27.033133281566258,0.6286775181759595,2.493734684253619,3.0865492191086927,3,0.6,12,-0.25
thr0.6_bars16_loss-0.25,43,53.48837209302325,27.033133281566258,0.6286775181759595,2.493734684253619,3.0865492191086927,3,0.6,16,-0.25
thr0.7_bars24_loss-0.25,43,53.48837209302325,27.014109705242856,0.6282351094242524,2.4911161201085688,3.0865492191086927,3,0.7,24,-0.25
thr0.5_bars8_loss-0.35,43,53.48837209302325,26.799793313833284,0.6232510072984485,2.461991336018798,3.0865492191086927,3,0.5,8,-0.35
thr0.7_bars12_loss-0.5,43,53.48837209302325,26.798674891844836,0.6232249974847637,2.4618411328569842,3.0865492191086927,3,0.7,12,-0.5
thr0.7_bars16_loss-0.5,43,53.48837209302325,26.798674891844836,0.6232249974847637,2.4618411328569842,3.0865492191086927,3,0.7,16,-0.5
thr0.6_bars12_loss-0.35,43,53.48837209302325,26.733133281566253,0.6217007739899129,2.453070840817182,3.0865492191086927,3,0.6,12,-0.35
thr0.6_bars16_loss-0.35,43,53.48837209302325,26.733133281566253,0.6217007739899129,2.453070840817182,3.0865492191086927,3,0.6,16,-0.35
thr0.7_bars24_loss-0.35,43,53.48837209302325,26.714109705242855,0.6212583652382059,2.4505369357378433,3.0865492191086927,3,0.7,24,-0.35
thr0.5_bars8_loss-0.5,43,53.48837209302325,26.349793313833285,0.6127858910193787,2.4030011392585253,3.0865492191086927,3,0.5,8,-0.5
thr0.6_bars16_loss-0.5,43,53.48837209302325,26.283133281566258,0.6112356577108432,2.394502261517994,3.0865492191086927,3,0.6,16,-0.5
thr0.6_bars12_loss-0.5,43,53.48837209302325,26.283133281566258,0.6112356577108432,2.394502261517994,3.0865492191086927,3,0.6,12,-0.5
thr0.5_bars12_loss-0.25,43,53.48837209302325,26.273943285444894,0.6110219368708115,2.3933352881152152,3.0865492191086927,3,0.5,12,-0.25
thr0.5_bars16_loss-0.25,43,53.48837209302325,26.273943285444894,0.6110219368708115,2.3933352881152152,3.0865492191086927,3,0.5,16,-0.25
thr0.7_bars24_loss-0.5,43,53.48837209302325,26.264109705242856,0.6107932489591362,2.3920878495466145,3.0865492191086927,3,0.7,24,-0.5
thr0.6_bars24_loss-0.25,43,53.48837209302325,26.248568094964277,0.61043181616196,2.390118968437634,3.0865492191086927,3,0.6,24,-0.25
thr0.5_bars16_loss-0.35,43,53.48837209302325,26.07394328544489,0.6063707740801138,2.3682174675308225,3.0865492191086927,3,0.5,16,-0.35
thr0.5_bars12_loss-0.35,43,53.48837209302325,26.07394328544489,0.6063707740801138,2.3682174675308225,3.0865492191086927,3,0.5,12,-0.35
thr0.6_bars24_loss-0.35,43,53.48837209302325,26.048568094964274,0.6057806533712622,2.3650682591056964,3.0865492191086927,3,0.6,24,-0.35
thr0.5_bars16_loss-0.5,43,53.48837209302325,25.773943285444894,0.5993940298940673,2.331513950030979,3.0865492191086927,3,0.5,16,-0.5
thr0.5_bars12_loss-0.5,43,53.48837209302325,25.773943285444894,0.5993940298940673,2.331513950030979,3.0865492191086927,3,0.5,12,-0.5
thr0.6_bars24_loss-0.5,43,53.48837209302325,25.748568094964277,0.5988039091852158,2.3284615374721245,3.0865492191086927,3,0.6,24,-0.5
thr0.4_bars8_loss-0.25,43,53.48837209302325,25.544060748262176,0.5940479243781901,2.304149826050086,3.0865492191086927,3,0.4,8,-0.25
thr0.3_bars8_loss-0.25,43,53.48837209302325,25.544060748262176,0.5940479243781901,2.304149826050086,3.0865492191086927,3,0.3,8,-0.25
thr0.5_bars24_loss-0.25,43,53.48837209302325,25.489378098842913,0.592776234856812,2.29773496828394,3.0865492191086927,3,0.5,24,-0.25
thr0.3_bars8_loss-0.35,43,53.48837209302325,25.444060748262174,0.5917223429828412,2.2924457639055027,3.0865492191086927,3,0.3,8,-0.35
thr0.4_bars8_loss-0.35,43,53.48837209302325,25.444060748262174,0.5917223429828412,2.2924457639055027,3.0865492191086927,3,0.4,8,-0.35
thr0.5_bars24_loss-0.35,43,53.48837209302325,25.38937809884291,0.5904506534614631,2.2860958201058454,3.0865492191086927,3,0.5,24,-0.35
thr0.4_bars8_loss-0.5,43,53.48837209302325,25.294060748262176,0.588233970889818,2.275110927830114,3.0865492191086927,3,0.4,8,-0.5
thr0.3_bars8_loss-0.5,43,53.48837209302325,25.294060748262176,0.588233970889818,2.275110927830114,3.0865492191086927,3,0.3,8,-0.5
thr0.5_bars24_loss-0.5,43,53.48837209302325,25.239378098842913,0.5869622813684399,2.2688565229523525,3.0865492191086927,3,0.5,24,-0.5
thr0.3_bars12_loss-0.25,43,53.48837209302325,24.71821071987378,0.5748421097645066,2.2109288791606927,3.0865492191086927,3,0.3,12,-0.25
thr0.3_bars12_loss-0.35,43,53.48837209302325,24.71821071987378,0.5748421097645066,2.2109288791606927,3.0865492191086927,3,0.3,12,-0.35
