label,trades,wr,total_r,avg_r,pf,dd,max_streak,body_min,close_loc_min
body>=0.0 close_loc>=0.0,107,46.728971962616825,39.55434086034253,0.369666737012547,1.6868426067588094,6.322321434832573,6,0.0,0.0
body>=0.0 close_loc>=0.5,103,46.601941747572816,37.76154669957461,0.36661695824829715,1.6807738478315564,6.322321434832573,5,0.0,0.5
body>=0.0 close_loc>=0.7,89,47.19101123595505,34.48885972782681,0.3875152778407506,1.73424892066562,5.6414194175584305,5,0.0,0.7
body>=0.3 close_loc>=0.0,100,47.0,37.76142295500471,0.3776142295500471,1.7068590616765134,7.7608832476214635,5,0.3,0.0
body>=0.3 close_loc>=0.5,99,46.464646464646464,35.83474304912898,0.36196710150635336,1.6707933881969654,7.7608832476214635,5,0.3,0.5
body>=0.3 close_loc>=0.7,86,46.51162790697674,31.53522929615602,0.36668871274600023,1.6862748145210449,7.626023300245733,5,0.3,0.7
body>=0.5 close_loc>=0.0,91,46.15384615384615,32.21049138025824,0.35396144373910154,1.6552439932698226,7.7608832476214635,5,0.5,0.0
body>=0.5 close_loc>=0.5,91,46.15384615384615,32.21049138025824,0.35396144373910154,1.6552439932698226,7.7608832476214635,5,0.5,0.5
body>=0.5 close_loc>=0.7,81,45.67901234567901,27.660561911061,0.34148841865507407,1.6296051161186478,7.626023300245733,5,0.5,0.7
body>=0.7 close_loc>=0.0,52,48.07692307692308,20.746055804856866,0.3989626116318628,1.7542690219036183,7.202846752532961,7,0.7,0.0
body>=0.7 close_loc>=0.5,52,48.07692307692308,20.746055804856866,0.3989626116318628,1.7542690219036183,7.202846752532961,7,0.7,0.5
body>=0.7 close_loc>=0.7,52,48.07692307692308,20.746055804856866,0.3989626116318628,1.7542690219036183,7.202846752532961,7,0.7,0.7
