label,trades,wr,total_r,avg_r,pf,dd,max_streak,shelf_atr_max,drop_atr_min
shelf<=1.5 drop>=2.5,23,39.130434782608695,3.3000936099372105,0.14348233086683523,1.227205290601293,4.329102778516122,4,1.5,2.5
shelf<=1.5 drop>=3.0,23,39.130434782608695,3.3000936099372105,0.14348233086683523,1.227205290601293,4.329102778516122,4,1.5,3.0
shelf<=1.5 drop>=3.5,9,22.22222222222222,-3.1704012953455347,-0.3522668105939483,0.5561010974453972,3.0492874591490895,3,1.5,3.5
shelf<=1.5 drop>=4.0,2,0.0,-2.0492293894490095,-1.0246146947245047,0.0,1.0042573363141654,2,1.5,4.0
shelf<=1.5 drop>=4.5,2,0.0,-2.0492293894490095,-1.0246146947245047,0.0,1.0042573363141654,2,1.5,4.5
shelf<=1.5 drop>=5.0,1,0.0,-1.0042573363141651,-1.0042573363141651,0.0,0.0,1,1.5,5.0
shelf<=1.8 drop>=2.5,57,47.368421052631575,22.026026329266536,0.38642151454853574,1.7366588333140658,3.1782151606512112,3,1.8,2.5
shelf<=1.8 drop>=3.0,57,47.368421052631575,22.026026329266536,0.38642151454853574,1.7366588333140658,3.1782151606512112,3,1.8,3.0
shelf<=1.8 drop>=3.5,28,50.0,13.165521836809566,0.4701972084574845,1.924419271266457,2.043760114120431,2,1.8,3.5
shelf<=1.8 drop>=4.0,12,58.333333333333336,8.641801161082736,0.7201500967568947,2.702400925371059,2.0136124660380013,2,1.8,4.0
shelf<=1.8 drop>=4.5,8,50.0,3.8598506404490553,0.4824813300561319,1.9500371360101527,2.0136124660380013,2,1.8,4.5
shelf<=1.8 drop>=5.0,5,40.0,0.945155079648399,0.1890310159296798,1.3131861682408346,2.0136124660380013,2,1.8,5.0
shelf<=2.0 drop>=2.5,83,48.19277108433735,34.34735213293358,0.4138235196738986,1.7944792460036556,5.2897717002263205,5,2.0,2.5
shelf<=2.0 drop>=3.0,83,48.19277108433735,34.34735213293358,0.4138235196738986,1.7944792460036556,5.2897717002263205,5,2.0,3.0
shelf<=2.0 drop>=3.5,43,53.48837209302325,24.71821071987378,0.5748421097645066,2.2109288791606927,3.0865492191086927,3,2.0,3.5
shelf<=2.0 drop>=4.0,18,61.111111111111114,14.395139324361057,0.7997299624645032,3.0085744930707268,2.059722437883531,2,2.0,4.0
shelf<=2.0 drop>=4.5,9,44.44444444444444,2.845100255700367,0.3161222506333741,1.5603246816779246,2.0136124660380013,2,2.0,4.5
shelf<=2.0 drop>=5.0,5,40.0,0.945155079648399,0.1890310159296798,1.3131861682408346,2.0136124660380013,2,2.0,5.0
shelf<=2.2 drop>=2.5,98,45.91836734693878,33.73540213965148,0.3442387973433824,1.631212701665872,6.322321434832573,6,2.2,2.5
shelf<=2.2 drop>=3.0,98,45.91836734693878,33.73540213965148,0.3442387973433824,1.631212701665872,6.322321434832573,6,2.2,3.0
shelf<=2.2 drop>=3.5,49,48.97959183673469,21.559591671217184,0.4399916667595344,1.843328875429187,3.0865492191086927,3,2.2,3.5
shelf<=2.2 drop>=4.0,21,57.14285714285714,14.375746186413952,0.6845593422101882,2.5660054052692787,2.059722437883531,2,2.2,4.0
shelf<=2.2 drop>=4.5,10,40.0,1.8360336718305679,0.18360336718305678,1.3016488561112003,2.0136124660380013,2,2.2,4.5
shelf<=2.2 drop>=5.0,6,33.33333333333333,-0.06391150422140113,-0.010651917370233521,0.9841290007857905,2.0136124660380013,2,2.2,5.0
shelf<=2.5 drop>=2.5,107,46.728971962616825,39.55434086034253,0.369666737012547,1.6868426067588094,6.322321434832573,6,2.5,2.5
shelf<=2.5 drop>=3.0,107,46.728971962616825,39.55434086034253,0.369666737012547,1.6868426067588094,6.322321434832573,6,2.5,3.0
shelf<=2.5 drop>=3.5,55,49.09090909090909,24.499514441571634,0.4454457171194843,1.8564708673809858,3.1801114643626285,3,2.5,3.5
shelf<=2.5 drop>=4.0,23,56.52173913043478,15.354776305911052,0.6675989698222197,2.5065331292209567,2.059722437883531,2,2.5,4.0
shelf<=2.5 drop>=4.5,11,45.45454545454545,3.827307477019108,0.34793704336537346,1.6288026958011026,2.0136124660380013,2,2.5,4.5
shelf<=2.5 drop>=5.0,7,42.857142857142854,1.9273623009671386,0.2753374715667341,1.478617518657992,2.0136124660380013,2,2.5,5.0
shelf<=3.0 drop>=2.5,107,46.728971962616825,39.55434086034253,0.369666737012547,1.6868426067588094,6.322321434832573,6,3.0,2.5
shelf<=3.0 drop>=3.0,107,46.728971962616825,39.55434086034253,0.369666737012547,1.6868426067588094,6.322321434832573,6,3.0,3.0
shelf<=3.0 drop>=3.5,55,49.09090909090909,24.499514441571634,0.4454457171194843,1.8564708673809858,3.1801114643626285,3,3.0,3.5
shelf<=3.0 drop>=4.0,23,56.52173913043478,15.354776305911052,0.6675989698222197,2.5065331292209567,2.059722437883531,2,3.0,4.0
shelf<=3.0 drop>=4.5,11,45.45454545454545,3.827307477019108,0.34793704336537346,1.6288026958011026,2.0136124660380013,2,3.0,4.5
shelf<=3.0 drop>=5.0,7,42.857142857142854,1.9273623009671386,0.2753374715667341,1.478617518657992,2.0136124660380013,2,3.0,5.0
