dow,label,trades,wr,total_r,avg_r,pf,dd,max_streak
0,,14,50.0,6.796591886648338,0.4854708490463099,1.9578091756352112,3.035327636096337,3
1,,6,50.0,2.7406159895127713,0.4567693315854619,1.8881291090842405,1.044972053134844,1
2,,6,33.33333333333333,-0.2706676760139455,-0.04511127933565758,0.9339072242073403,2.030334907110972,2
3,,7,71.42857142857143,7.705222269018803,1.1007460384312575,4.694441245155897,1.0097758505240912,2
4,,10,60.0,7.7464482507078145,0.7746448250707815,2.912750022798571,2.0359941031571074,2
