label,trades,wr,total_r,avg_r,pf,dd,max_streak
baseline SQZ_STRICT_RR2 ex GBPJPY,43,53.48837209302325,24.71821071987378,0.5748421097645066,2.2109288791606927,3.0865492191086927,3
EARLY_EXIT thr0.5 bars12 loss-0.35,43,53.48837209302325,26.07394328544489,0.6063707740801138,2.3682174675308225,3.0865492191086927,3
