rule,symbol,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak
base_core4,GBPJPY,4,100.0,7.92461498008352,1.98115374502088,inf,0.0,0
base_core4,CHFJPY,3,66.66666666666666,2.829627537204873,0.9432091790682909,3.7243705746250266,0.0,1
base_core4,EURJPY,2,50.0,0.9379891229298176,0.4689945614649088,1.9022149925498935,0.0,1
base_core4,XAUUSD,2,50.0,0.8623824341806088,0.4311912170903044,1.801710209551639,1.0756784981731753,1
core4_quality,GBPJPY,4,100.0,7.92461498008352,1.98115374502088,inf,0.0,0
core4_quality,CHFJPY,3,66.66666666666666,2.829627537204873,0.9432091790682909,3.7243705746250266,0.0,1
core4_quality,EURJPY,1,100.0,1.97764057039559,1.97764057039559,inf,0.0,0
core4_quality,XAUUSD,1,100.0,1.938060932353784,1.938060932353784,inf,0.0,0
core4_strict,GBPJPY,4,100.0,7.92461498008352,1.98115374502088,inf,0.0,0
core4_strict,CHFJPY,2,100.0,3.8682628695492385,1.9341314347746192,inf,0.0,0
core4_strict,EURJPY,1,100.0,1.97764057039559,1.97764057039559,inf,0.0,0
core4_strict,XAUUSD,1,100.0,1.938060932353784,1.938060932353784,inf,0.0,0
no_AUD_USD_strict,GBPJPY,4,100.0,7.92461498008352,1.98115374502088,inf,0.0,0
no_AUD_USD_strict,CHFJPY,2,100.0,3.8682628695492385,1.9341314347746192,inf,0.0,0
no_AUD_USD_strict,EURJPY,1,100.0,1.97764057039559,1.97764057039559,inf,0.0,0
no_AUD_USD_strict,XAUUSD,1,100.0,1.938060932353784,1.938060932353784,inf,0.0,0
no_AUD_USD_strict,SILVER,2,50.0,0.4807245609936468,0.2403622804968234,1.3719484858744968,1.292449302121513,1
