symbol,timeframe,strategy,trigger_mode,lookback_bars,lookback_months,lookback_label,signal_time,entry_i,support_age_bars,support_age_months,support_age_ratio,support_touch_bars_0_5atr,support_touch_clusters_0_5atr,pre_break_range_width_atr,pre_break_net_move_atr,pre_break_efficiency,pre_break_slope_atr_per_100,pre_break_regime,support_age_bucket,direction,trigger_type,break_i,trigger_i,prior_low,break_low,low_extreme,pullback_high,bars_after_break,pullback_atr,break_depth_atr,trigger_level,risk_atr_at_signal,open,high,low,close,atr,body_ratio,ema20,ema50,ema200,ema20_slope_10_atr,rsi14,adx14,bb_width_atr,bb_pos,atr_ratio_50,atr_pctile_252,close_location,range5_atr,macd,macd_signal,macd_hist,macd_hist_slope3,entry_time,entry,stop,base_target_2r,base_exit_time,base_exit,base_exit_reason,base_bars_held,risk,base_r_clean,base_r_after_cost,base_mfe_r,base_mae_r,period,year,zone_high,zone_low,zone_mid,zone_range_atr,zone_body_avg_atr,zone_close_drift_atr,zone_high_drift_atr,zone_low_drift_atr,zone_closes_below_mid,break_body_atr,break_body_ratio,break_close_location,broke_prior_low_atr,zone_high_vs_prior_low_atr,zone_low_vs_prior_low_atr,mfe_3bar_r,mfe_6bar_r,mae_3bar_r,mae_6bar_r,hit_1r_bar_48,hit_1r_within_3,hit_1r_within_6,retest_zone_low_3,retest_zone_mid_6,retest_zone_high_6,stopped_within_6,mid_retest_exit_time,mid_retest_exit_price,mid_retest_exit_reason,mid_retest_exit_r_clean,mid_retest_exit_r_after_cost,mgmt_fixed_1_5R_r_after_cost,mgmt_fixed_1_5R_reason,mgmt_fixed_1_5R_bars_held,mgmt_fixed_2R_no_1R_by_6bars_r_after_cost,mgmt_fixed_2R_no_1R_by_6bars_reason,mgmt_fixed_2R_no_1R_by_6bars_bars_held,mgmt_fixed_2R_no_1R_by_12bars_r_after_cost,mgmt_fixed_2R_no_1R_by_12bars_reason,mgmt_fixed_2R_no_1R_by_12bars_bars_held,mgmt_BE_after_1R_to_2R_r_after_cost,mgmt_BE_after_1R_to_2R_reason,mgmt_BE_after_1R_to_2R_bars_held,mgmt_half_1R_BE_rest_2R_r_after_cost,mgmt_half_1R_BE_rest_2R_reason,mgmt_half_1R_BE_rest_2R_bars_held,mgmt_half_1R_trail1ATR_rest_2R_r_after_cost,mgmt_half_1R_trail1ATR_rest_2R_reason,mgmt_half_1R_trail1ATR_rest_2R_bars_held,zone_range_bucket,break_depth_bucket,break_close_location_bucket,break_body_bucket,zone_drift_bucket,risk_bucket,bb_width_bucket,bb_pos_bucket,bars_after_break_bucket,followthrough_bucket,retest_bucket,hit_1r_by_12,r_mid6_then_no12,r_no12_if_mid_retest,r_no_1r_by_4bars,r_no_1r_by_6bars,r_no_1r_by_8bars,r_no_1r_by_10bars,r_no_1r_by_12bars,r_no_1r_by_16bars,r_no_1r_by_20bars,r_no_1r_by_24bars
AUDJPY,H4,L120_STAG,stagnation,120,1.0,1m,2016-06-27 12:00:00,3992,34,0.2833333333333333,0.2833333333333333,3,1,4.641475993431308,-0.1116186611646849,0.0051136363636365,-1.2748938437104915,mixed_or_wide_range,01_25-59bars,short,stagnation,3981,3991,75.588,72.476,72.476,80.142,10,6.552674627467382,0.2111284415581063,74.78,1.4099242720419092,75.123,75.404,74.522,74.78,1.1699039607225117,0.3888888888888969,76.66554676719532,77.42194396870651,78.89886893001605,-1.3980343336298435,35.83226132402463,39.29248472587997,6.699227418231059,0.1849231379687434,1.7054438316109408,96.03174603174604,0.2925170068027191,1.3949863021167117,-0.7658805049986341,-0.4941236178982852,-0.2717568871003489,0.0291641652787854,2016-06-27 16:00:00,74.779,76.42947599018063,71.47804801963872,2016-06-29 08:00:00,76.42947599018063,SL,10,1.650475990180638,-1.0,-1.0075735727598318,0.077553385060749,1.013041092356032,train_2015_2020,2016,76.137,75.027,75.582,0.9487958304837976,0.4279553565725747,-0.4077257758024882,-0.0008547710184579,-0.0316265276827863,1,0.2931864593296812,0.3888888888888969,0.2925170068027191,0.6906549829107225,0.4692692891311815,-0.4795265413526162,0.077553385060749,0.077553385060749,0.5113676327443187,0.670715603611321,-1,False,False,True,True,False,False,2016-06-28 00:00:00,75.582,mid_retest_exit_6,-0.4865263140920409,-0.4940998868518727,-1.0075735727598318,SL,10,-0.640118369661564,no_progress_exit,6,-1.0075735727598318,SL,10,-1.0075735727598318,SL,10,-1.0075735727598318,SL,10,-1.0075735727598318,SL,10,02_wide_0.70-1.00,02_strong_0.20-0.40,01_lower_mid,01_medium_body,00_drifting_down,01_1-1.5ATR,02_5-8ATR,01_0-0.25,00_<=12,02_no_fast_1r,01_mid_retest_6,False,-1.0075735727598318,-1.0075735727598318,-0.5268177211743774,-0.640118369661564,-0.6964657509947666,-1.0075735727598318,-1.0075735727598318,-1.0075735727598318,-1.0075735727598318,-1.0075735727598318
AUDJPY,H4,L120_STAG,stagnation,120,1.0,1m,2019-07-29 00:00:00,8958,108,0.9,0.9,2,2,6.263860966806758,-3.1258372334356395,0.0546151389332471,0.3986849127251849,range_support_break,02_60-119bars,short,rebreak+stagnation,8953,8957,75.132,75.023,74.996,75.115,4,0.8118155837900843,0.2592352284371478,74.958,1.3415167513143529,75.021,75.033,74.902,74.958,0.1465850155825171,0.4809160305343685,75.32722866199013,75.5357552607893,75.61847696394783,-1.7814343828138122,27.5783157339644,33.10293634586705,5.127185956508174,0.0025071784279418,0.8934806687397978,0.7936507936507936,0.4274809160305136,2.824299594026023,-0.1827505656233512,-0.1474422544541798,-0.0353083111691714,-0.0059533280862629,2019-07-29 04:00:00,74.958,75.15464625389562,74.56470749220875,2019-07-29 12:00:00,75.15464625389562,SL,2,0.1966462538956221,-1.0,-1.0635659197790948,0.0,1.1950392918480666,train_2015_2020,2019,75.118,74.996,75.05699999999999,0.8322815228772301,0.0750417766528679,-0.44342868022146,-0.0204659390871457,-0.3410989847858279,1,0.4297847208300617,0.4809160305343685,0.4274809160305136,1.1870244670544563,-0.0955077157400783,-0.9277892386173084,0.0,0.0,1.195039291848067,1.195039291848067,7,False,False,True,True,True,True,2019-07-29 04:00:00,75.05699999999999,mid_retest_exit_6,-0.5034420846508358,-0.5670080044299307,-1.0635659197790948,SL,2,-1.0635659197790948,SL,2,-1.0635659197790948,SL,2,-1.0635659197790948,SL,2,-1.0635659197790948,SL,2,-1.0635659197790948,SL,2,02_wide_0.70-1.00,02_strong_0.20-0.40,01_lower_mid,01_medium_body,00_drifting_down,01_1-1.5ATR,02_5-8ATR,01_0-0.25,00_<=12,02_no_fast_1r,01_mid_retest_6,True,-1.0635659197790948,-1.0635659197790948,-1.0635659197790948,-1.0635659197790948,-1.0635659197790948,-1.0635659197790948,-1.0635659197790948,-1.0635659197790948,-1.0635659197790948,-1.0635659197790948
AUDJPY,H4,L120_STAG,stagnation,120,1.0,1m,2024-07-22 00:00:00,16964,1,0.0083333333333333,0.0083333333333333,2,1,11.238246655757118,-0.8021472485537068,0.0175271253129851,3.5958175307491462,trend_continuation_break,00_<=24bars,short,stagnation,16948,16963,105.25,104.974,104.614,105.77,15,3.364717275058614,0.3114400937986782,105.052,1.332763690589786,105.404,105.404,104.992,105.052,0.3435652702736678,0.8543689320388266,105.5784411355,106.35007263650338,106.1349521098514,-1.367571653321813,33.9828293668582,53.240471765038734,4.33476421773448,0.2655905516038055,0.9808251884814816,72.61904761904762,0.1456310679611734,1.4960767122665448,-0.4031253967404353,-0.4641979376845417,0.0610725409441064,-0.004473647361406,2024-07-22 04:00:00,105.054,105.50989131756842,104.14221736486316,2024-07-22 12:00:00,104.14221736486316,TP,2,0.4558913175684154,2.0,1.972581184334328,2.360211652503193,0.0504506208248735,test_2021_2024,2024,105.424,105.159,105.2915,0.7713235967911254,0.3327848977350418,0.4453302275813072,0.2241204413317965,-0.0844089973846784,2,1.0245505889451607,0.8543689320388266,0.1456310679611734,0.5763097062816503,0.5064539843081532,-0.2648696124829721,2.360211652503193,3.053359312531981,0.0504506208248735,0.0504506208248735,0,True,True,False,False,False,False,2024-07-22 12:00:00,104.14221736486316,TP,2.000000000000031,1.9725811843343592,1.4725811843343282,TP,0,1.972581184334328,TP,2,1.972581184334328,TP,2,-0.0274188156656718,TP1_then_BE_same_bar,0,0.4725811843343281,TP1_then_BE_same_bar,0,0.4725811843343281,TP1_then_BE_same_bar,0,02_wide_0.70-1.00,02_strong_0.20-0.40,00_close_near_low,02_large_body,02_drifting_up,01_1-1.5ATR,01_3-5ATR,02_0.25-0.50,01_13-24,00_hit_1r_<=3,00_no_mid_retest_6,True,1.972581184334328,1.972581184334328,1.972581184334328,1.972581184334328,1.972581184334328,1.972581184334328,1.972581184334328,1.972581184334328,1.972581184334328,1.972581184334328
CHFJPY,H4,L120_STAG,stagnation,120,1.0,1m,2017-01-17 04:00:00,4894,9,0.075,0.075,7,2,5.8658621871670755,-2.4431488873858975,0.0516166731593299,-1.0126302087405044,trend_continuation_break,00_<=24bars,short,rebreak+stagnation,4886,4893,112.981,112.852,112.642,112.988,7,0.8857180400197935,0.179191510986644,112.572,1.3149095510064477,112.907,112.946,112.464,112.572,0.3906435054571898,0.6950207468879548,113.1932527235712,113.67066809427554,113.28631666885944,-1.4224157403185853,32.915070727814964,33.74073539502996,4.004413811537436,0.0854051485618049,0.892084702864686,23.809523809523807,0.2240663900415025,1.3413764536715829,-0.3255157927634826,-0.2965301712104731,-0.0289856215530095,0.0139648382385318,2017-01-17 08:00:00,112.568,113.0856608763643,111.5326782472714,2017-01-17 12:00:00,113.0856608763643,SL,1,0.5176608763643031,-1.0,-1.0386353323443651,0.1970401949561695,1.4604155626162605,train_2015_2020,2017,112.988,112.642,112.815,0.8857180400197935,0.0511975745676316,0.1484729662461087,0.1382334513325727,-0.1484729662461087,0,0.8575593740075785,0.6950207468879548,0.2240663900415025,1.0469903999077586,0.0179191510986789,-0.8677988889211146,0.4037392229984167,0.4056709896156157,1.4604155626162605,1.4604155626162605,-1,False,False,True,True,True,True,2017-01-17 08:00:00,112.815,mid_retest_exit_6,-0.4771463544526667,-0.5157816867970321,-1.0386353323443651,SL,1,-1.0386353323443651,SL,1,-1.0386353323443651,SL,1,-1.0386353323443651,SL,1,-1.0386353323443651,SL,1,-1.0386353323443651,SL,1,02_wide_0.70-1.00,01_clean_0.05-0.20,00_close_near_low,02_large_body,01_flat,01_1-1.5ATR,01_3-5ATR,01_0-0.25,00_<=12,02_no_fast_1r,01_mid_retest_6,False,-1.0386353323443651,-1.0386353323443651,-1.0386353323443651,-1.0386353323443651,-1.0386353323443651,-1.0386353323443651,-1.0386353323443651,-1.0386353323443651,-1.0386353323443651,-1.0386353323443651
CHFJPY,H4,L120_STAG,stagnation,120,1.0,1m,2019-04-22 12:00:00,8527,114,0.95,0.95,4,1,8.027968566261828,-5.311814098252063,0.0886839899413254,1.1915573891674915,mixed_or_wide_range,02_60-119bars,short,stagnation,8513,8526,110.368,110.206,110.172,110.457,13,1.9352642520625023,0.1765504229952488,110.225,1.3160929388555531,110.302,110.309,110.166,110.225,0.1472667103194091,0.5384615384616226,110.47355888027194,110.8230435157074,111.0528908952087,-2.11432580210044,31.861921268089816,43.44907153081055,6.464889745089878,0.2866212736698709,0.7810462596654358,0.3968253968253968,0.4125874125873931,1.4667265910369172,-0.2245417837741854,-0.2431160472095273,0.0185742634353418,0.0157637711522857,2019-04-22 16:00:00,110.224,110.41881667757984,109.8343666448403,2019-04-23 08:00:00,109.8343666448403,TP,4,0.1948166775798512,2.0,1.897339384654003,2.8077678297115676,0.102660615345924,train_2015_2020,2019,110.382,110.251,110.3165,0.8895425158603204,0.1991850926099302,0.2376640309550238,-0.4956992645634347,-0.1018560132664525,3,0.5228608681011876,0.5384615384616226,0.4125874125873931,0.9710273264734824,0.0950656123820867,-0.7944769034782336,1.7965607685540732,3.9678327831208096,0.1026606153459241,0.1026606153459241,2,True,True,False,False,False,False,2019-04-23 08:00:00,109.8343666448403,TP,2.0000000000000004,1.8973393846540032,1.3973393846539954,TP,2,1.8973393846539952,TP,4,1.8973393846539952,TP,4,-0.1026606153460045,TP1_then_BE_same_bar,2,0.3973393846539954,TP1_then_BE_same_bar,2,0.3973393846539954,TP1_then_BE_same_bar,2,02_wide_0.70-1.00,01_clean_0.05-0.20,01_lower_mid,01_medium_body,02_drifting_up,01_1-1.5ATR,02_5-8ATR,02_0.25-0.50,01_13-24,00_hit_1r_<=3,00_no_mid_retest_6,True,1.897339384654003,1.897339384654003,1.8973393846539952,1.8973393846539952,1.8973393846539952,1.8973393846539952,1.8973393846539952,1.8973393846539952,1.8973393846539952,1.8973393846539952
CHFJPY,H4,L120_STAG,stagnation,120,1.0,1m,2024-11-28 20:00:00,17550,1,0.0083333333333333,0.0083333333333333,2,1,8.881011157880788,-8.036162266227155,0.1557657804599583,-3.7977162124271264,trend_continuation_break,00_<=24bars,short,stagnation,17539,17549,172.027,171.662,171.259,171.878,10,1.2297328623683723,0.2562771231752966,171.317,1.3645074891577176,171.558,171.631,171.097,171.317,0.5033613550896352,0.4513108614232006,172.15334818729562,173.17551689543544,174.00366424717276,-2.144459809971446,29.330977095697875,45.49001029149255,7.308164074480173,0.2419431915951812,0.8475635458752321,42.46031746031746,0.4119850187265959,1.5515692496117472,-0.6375516469358615,-0.6461461020113316,0.00859445507547,0.0411294287833901,2024-11-29 00:00:00,171.316,172.0038403387724,169.94031932245522,2024-11-29 16:00:00,169.94031932245522,TP,4,0.6878403387723893,2.0,1.9709234848952353,2.2417993145793957,0.0479762499228864,test_2021_2024,2024,171.878,171.446,171.66199999999998,0.8582303659824269,0.127807454193401,-0.3059432323178673,-0.488714513962191,-0.2880634330265373,2,0.4787812921336994,0.4513108614232006,0.4119850187265959,1.4105174996470429,-0.2960100104893193,-1.1542403764717462,1.9713877241048283,2.4787729126834592,0.0479762499228864,0.0479762499228864,0,True,True,False,False,False,False,2024-11-29 16:00:00,169.94031932245522,TP,2.0,1.9709234848952353,1.4709234848952353,TP,0,1.9709234848952353,TP,4,1.9709234848952353,TP,4,-0.0290765151047646,TP1_then_BE_same_bar,0,0.4709234848952354,TP1_then_BE_same_bar,0,0.4709234848952354,TP1_then_BE_same_bar,0,02_wide_0.70-1.00,02_strong_0.20-0.40,01_lower_mid,01_medium_body,00_drifting_down,01_1-1.5ATR,02_5-8ATR,01_0-0.25,00_<=12,00_hit_1r_<=3,00_no_mid_retest_6,True,1.9709234848952353,1.9709234848952353,1.9709234848952353,1.9709234848952353,1.9709234848952353,1.9709234848952353,1.9709234848952353,1.9709234848952353,1.9709234848952353,1.9709234848952353
EURJPY,H4,L120_STAG,stagnation,120,1.0,1m,2021-11-10 00:00:00,12502,120,1.0,1.0,4,2,9.241419640508802,1.0532500325579963,0.0175240248728094,-1.406271390719292,range_support_break,03_120-239bars,short,stagnation,12495,12501,130.74,130.67,130.67,131.23,6,2.1456924055310806,0.07663187162604,130.68,1.284530266952424,130.89,130.92,130.65,130.68,0.2609880141983336,0.7777777777777544,131.09555889726963,131.47718561747732,131.21793955839524,-1.4822212674408377,35.00198592780556,40.098667141455024,3.7277082914930815,0.0878247690116278,0.8533596120844871,38.88888888888889,0.1111111111111228,1.1494780743915802,-0.2534705532848136,-0.241841265016153,-0.0116292882686605,0.0138251383423708,2021-11-10 04:00:00,130.7,131.01524700354958,130.06950599290082,2021-11-10 08:00:00,131.01524700354958,SL,1,0.3152470035495867,-1.0,-1.0396514474657723,0.1903269478358883,1.3005674768786,test_2021_2024,2021,130.95,130.7,130.825,0.9578983953263712,0.1404917646478489,0.3448434223173978,-0.07663187162604,0.3065274865044867,2,0.8046346520740736,0.7777777777777544,0.1111111111111228,0.2298956148783378,0.8046346520740736,-0.1532637432522978,0.1903269478358883,0.2220481058085062,2.1570387421400072,2.1570387421400072,14,False,False,True,True,True,True,2021-11-10 04:00:00,130.825,mid_retest_exit_6,-0.3965144746580856,-0.4361659221238581,-1.0396514474657723,SL,1,-1.0396514474657723,SL,1,-1.0396514474657723,SL,1,-1.0396514474657723,SL,1,-1.0396514474657723,SL,1,-1.0396514474657723,SL,1,02_wide_0.70-1.00,01_clean_0.05-0.20,00_close_near_low,02_large_body,02_drifting_up,01_1-1.5ATR,01_3-5ATR,01_0-0.25,00_<=12,02_no_fast_1r,01_mid_retest_6,False,-1.0396514474657723,-1.0396514474657723,-1.0396514474657723,-1.0396514474657723,-1.0396514474657723,-1.0396514474657723,-1.0396514474657723,-1.0396514474657723,-1.0396514474657723,-1.0396514474657723
EURJPY,H4,L120_STAG,stagnation,120,1.0,1m,2022-03-03 08:00:00,13000,116,0.9666666666666668,0.9666666666666668,9,2,8.476151827289092,0.3539103059410698,0.0084317032040466,1.3883956112816331,range_support_break,02_60-119bars,short,stagnation,12968,12999,128.34,127.91,127.91,130.27,31,4.5719333523104595,0.1549807916037126,128.12,1.102394353820563,128.32,128.38,128.12,128.12,0.5161930015465712,0.7692307692307524,128.46996112478473,129.11588769377883,129.9296721399499,-0.899678888468944,42.24012086496313,32.628970075652674,4.283119783106971,0.3579774468498708,0.9685087277733428,87.3015873015873,0.0,1.1042381401766592,-0.3140368819936441,-0.3708461431009864,0.0568092611073423,0.0163320806089113,2022-03-03 12:00:00,128.13,128.68904825038663,127.01190349922672,2022-03-03 20:00:00,127.01190349922672,TP,2,0.5590482503866383,2.0,1.97764057039559,2.146505242025295,0.2504256115696465,test_2021_2024,2022,128.56,128.2,128.38,0.6974135622168722,0.1678958575707162,-0.0387451979009556,-0.1356081926532623,-0.0193725989504503,3,0.3874519790093367,0.7692307692307524,0.0,0.4261971769102924,0.4261971769102924,-0.2712163853065797,2.146505242025295,3.416520843556954,0.2504256115696465,0.2504256115696465,0,True,True,True,False,False,False,2022-03-03 20:00:00,127.01190349922672,TP,2.0,1.97764057039559,1.47764057039559,TP,2,1.97764057039559,TP,2,1.97764057039559,TP,2,-0.02235942960441,TP1_then_BE_same_bar,0,0.4776405703955899,TP1_then_BE_same_bar,0,0.4776405703955899,TP1_then_BE_same_bar,0,01_mid_0.40-0.70,01_clean_0.05-0.20,00_close_near_low,02_large_body,01_flat,01_1-1.5ATR,01_3-5ATR,02_0.25-0.50,02_25-36,00_hit_1r_<=3,00_no_mid_retest_6,True,1.97764057039559,1.97764057039559,1.97764057039559,1.97764057039559,1.97764057039559,1.97764057039559,1.97764057039559,1.97764057039559,1.97764057039559,1.97764057039559
GBPJPY,H4,L120_STAG,stagnation,120,1.0,1m,2016-10-10 00:00:00,5960,48,0.4,0.4,10,2,7.712197655547297,-5.238083239875087,0.1515877771120437,-4.801722846109474,mixed_or_wide_range,01_25-59bars,short,stagnation,5951,5959,129.65,124.84,124.84,131.29,8,6.853232508645066,0.4250066672028016,127.53,1.3762676680874246,128.07,128.2,127.45,127.53,0.9411617060800992,0.7200000000000031,129.46612036642583,130.40196899915065,132.57616956396382,-1.939194225088339,30.353969554238446,42.02941883953761,7.060537731742598,0.1224289960176201,1.4228418302996466,96.82539682539682,0.1066666666666664,1.3493961683688869,-0.8806955920048836,-0.5762932229040656,-0.3044023691008179,0.0576117940342313,2016-10-10 04:00:00,127.53,128.82529042652004,124.93941914695992,2016-10-11 16:00:00,124.93941914695992,TP,9,1.2952904265200402,2.0,1.9845594473713952,2.099915157489135,0.8029087366870163,train_2015_2020,2016,128.59,127.93,128.26,0.7012610008846091,0.2302119447348445,0.0637510000804217,-0.3400053337622292,-0.0531258334003464,3,0.5737590007237655,0.7200000000000031,0.1066666666666664,2.2525353361748213,-1.1262676680874106,-1.8275286689720196,0.0231608289428957,0.0231608289428957,0.8029087366870163,0.8029087366870163,8,False,False,True,True,False,False,2016-10-10 08:00:00,128.26,mid_retest_exit_6,-0.5635801709437674,-0.579020723572361,1.4845594473713954,TP,9,-0.1698460789145725,no_progress_exit,6,1.9845594473713952,TP,9,-0.0154405526286044,TP1_then_BE_same_bar,8,0.4845594473713955,TP1_then_BE_same_bar,8,0.4845594473713955,TP1_then_BE_same_bar,8,02_wide_0.70-1.00,03_too_deep_>0.40,00_close_near_low,02_large_body,01_flat,01_1-1.5ATR,02_5-8ATR,01_0-0.25,00_<=12,02_no_fast_1r,01_mid_retest_6,True,1.9845594473713952,1.9845594473713952,-0.3705732630863211,-0.1698460789145725,1.9845594473713952,1.9845594473713952,1.9845594473713952,1.9845594473713952,1.9845594473713952,1.9845594473713952
GBPJPY,H4,L120_STAG,stagnation,120,1.0,1m,2018-05-25 04:00:00,8563,68,0.5666666666666667,0.5666666666666667,4,3,10.421048481352967,-9.11612001190664,0.2024489795918354,-3.1528835027201754,mixed_or_wide_range,02_60-119bars,short,stagnation,8551,8562,147.01,145.94,145.94,147.24,11,2.0491951544176685,0.1733934361430086,145.96,1.4007018944037537,146.49,146.49,145.8,145.96,0.6343954099234828,0.7681159420289897,147.12566457265578,147.97097999787755,149.17898805873168,-2.040328838966986,33.10386642669364,39.09105818900925,7.880669570252164,0.2250703407253658,1.360961968401539,98.8095238095238,0.2318840579710103,2.175299471612576,-0.7262305272444962,-0.6600876553761187,-0.0661428718683775,0.0870536633841491,2018-05-25 08:00:00,145.97,146.84859885248088,144.21280229503824,2018-05-29 04:00:00,144.21280229503824,TP,11,0.8785988524808772,2.0,1.9772364829028537,2.3446422610082323,0.6487602372692597,train_2015_2020,2018,146.69,146.07,146.38,0.9773084582607328,0.2416999412902762,0.441365110182265,0.3152607929873129,0.015763039649397,1,0.8354411014164286,0.7681159420289897,0.2318840579710103,1.65511916318346,-0.5044172687797186,-1.4817257270404514,0.8081048569494474,0.8081048569494474,0.6487602372692597,0.6487602372692597,10,False,False,True,True,False,False,2018-05-25 08:00:00,146.38,mid_retest_exit_6,-0.4666521004919253,-0.4894156175890719,1.4772364829028537,TP,11,0.4666521004919576,no_progress_exit,6,1.9772364829028537,TP,11,1.9772364829028537,TP,11,1.4772364829028537,TP,11,1.4772364829028537,TP,11,02_wide_0.70-1.00,01_clean_0.05-0.20,00_close_near_low,02_large_body,02_drifting_up,01_1-1.5ATR,02_5-8ATR,01_0-0.25,00_<=12,02_no_fast_1r,01_mid_retest_6,True,1.9772364829028537,1.9772364829028537,0.1024358269372566,0.4666521004919576,0.3869797906518476,1.9772364829028537,1.9772364829028537,1.9772364829028537,1.9772364829028537,1.9772364829028537
