rule,period,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak
base_core4,oos_2025_2026,1,100.0,1.9843734742835315,1.9843734742835315,inf,0.0,0
base_core4,test_2021_2024,4,75.0,4.887358183350793,1.2218395458376983,5.700958379141483,1.0396514474657723,1
base_core4,train_2015_2020,6,66.66666666666666,5.682882416764494,0.947147069460749,3.687814048576433,1.0756784981731755,1
core4_quality,oos_2025_2026,1,100.0,1.9843734742835315,1.9843734742835315,inf,0.0,0
core4_quality,test_2021_2024,3,100.0,5.927009630816565,1.975669876938855,inf,0.0,0
core4_quality,train_2015_2020,5,80.0,6.75856091493767,1.351712182987534,7.507154825633097,0.0,1
core4_strict,oos_2025_2026,1,100.0,1.9843734742835315,1.9843734742835315,inf,0.0,0
core4_strict,test_2021_2024,3,100.0,5.927009630816565,1.975669876938855,inf,0.0,0
core4_strict,train_2015_2020,4,100.0,7.797196247282036,1.949299061820509,inf,0.0,0
no_AUD_USD_strict,oos_2025_2026,1,100.0,1.9843734742835315,1.9843734742835315,inf,0.0,0
no_AUD_USD_strict,test_2021_2024,3,100.0,5.927009630816565,1.975669876938855,inf,0.0,0
no_AUD_USD_strict,train_2015_2020,6,83.33333333333334,8.277920808275683,1.3796534680459471,7.404832123540744,1.292449302121513,1
