audit,symbol,entry_time,period,base_r_after_cost,support_age_bars,break_depth_atr,break_close_location,break_body_ratio,pre_break_regime,passes_quality,passes_fresh_support,passes_strict
kept_winner,XAUUSD,2015-06-05 12:00:00,train_2015_2020,1.938060932353784,111,0.2092987441803503,0.2376088915590122,0.6449384199459879,mixed_or_wide_range,True,True,True
kept_winner,GBPJPY,2016-10-10 04:00:00,train_2015_2020,1.9845594473713952,48,0.4250066672028016,0.1066666666666664,0.7200000000000031,mixed_or_wide_range,True,True,True
kept_winner,GBPJPY,2018-05-25 08:00:00,train_2015_2020,1.9772364829028537,68,0.1733934361430086,0.2318840579710103,0.7681159420289897,mixed_or_wide_range,True,True,True
kept_winner,CHFJPY,2019-04-22 16:00:00,train_2015_2020,1.897339384654003,114,0.1765504229952488,0.4125874125873931,0.5384615384616226,mixed_or_wide_range,True,True,True
kept_winner,EURJPY,2022-03-03 12:00:00,test_2021_2024,1.97764057039559,116,0.1549807916037126,0.0,0.7692307692307524,range_support_break,True,True,True
kept_winner,GBPJPY,2023-12-13 12:00:00,test_2021_2024,1.97844557552574,73,0.2058476696193535,0.2307692307692349,0.769230769230765,range_support_break,True,True,True
kept_winner,CHFJPY,2024-11-29 00:00:00,test_2021_2024,1.9709234848952353,1,0.2562771231752966,0.4119850187265959,0.4513108614232006,trend_continuation_break,True,True,True
kept_winner,GBPJPY,2025-01-15 08:00:00,oos_2025_2026,1.9843734742835315,3,0.4238563482934323,0.4872465663832611,0.495094833224334,trend_continuation_break,True,True,True
loss,CHFJPY,2017-01-17 08:00:00,train_2015_2020,-1.0386353323443651,9,0.179191510986644,0.2240663900415025,0.6950207468879548,trend_continuation_break,True,False,False
loss,XAUUSD,2017-06-21 16:00:00,train_2015_2020,-1.0756784981731753,1,0.0856851299377142,0.5247426104284106,0.1343407505812363,trend_continuation_break,False,False,False
loss,EURJPY,2021-11-10 04:00:00,test_2021_2024,-1.0396514474657723,120,0.07663187162604,0.1111111111111228,0.7777777777777544,range_support_break,False,True,False
