symbol,timeframe,strategy,family,signal_time,direction,v_start_i,v_extreme_i,v_start,v_extreme,v_move_atr,v_move_bars,v_recovery_bars,v_recovery_to_drop_bars,v_drop_speed_atr_per_bar,v_recovery_speed_atr_per_bar,fib_ratio,trigger_level,entry_time,entry,stop,target,exit_time,exit,exit_reason,bars_held,risk,r_clean,r_after_cost,ladder,stage,note,trigger_type,candidate_i,candidate_recovery_bars,candidate_recovery_to_drop_bars,signal_recovery_bars,signal_fib_ratio,candidate_fib_min,candidate_fib_max
USDJPY,H4,I0_STRICT_100_BODY60_REC1_SPEED1,V字フィボ,2017-09-11 16:00:00,long,5926,5937,109.396,107.318,5.064413185080985,11,8.0,0.7272727272727273,0.4604011986437259,0.656204643928321,1.0365736284889284,109.396,2017-09-11 20:00:00,109.475,107.21542148181543,113.98515703636913,2017-10-22 20:00:00,113.98515703636913,TP,180,2.2595785181845685,1.996016956291817,1.991591352171618,Immediate V,I0 厳格,完全回復100%、実体60%、回復本数<=下落本数、回復速度>=下落速度,,,,,,,,
USDJPY,H4,I0_STRICT_100_BODY60_REC1_SPEED1,V字フィボ,2017-12-07 16:00:00,long,6316,6326,113.089,111.993,3.6424478159890583,10,9.0,0.9,0.36424478159890583,0.422071964079023,1.0428832116788294,113.089,2017-12-07 20:00:00,113.136,111.91777586122242,115.57244827755514,2018-01-10 04:00:00,111.91777586122242,SL,136,1.2182241387775719,-1.0,-1.008208670048211,Immediate V,I0 厳格,完全回復100%、実体60%、回復本数<=下落本数、回復速度>=下落速度,,,,,,,,
EURJPY,H4,I0_STRICT_100_BODY60_REC1_SPEED1,V字フィボ,2018-02-01 08:00:00,long,6463,6476,136.11,134.14,4.828498401063218,13,12.0,0.9230769230769231,0.37142295392793984,0.4391400830070136,1.0913705583756224,136.11,2018-02-01 12:00:00,136.31,134.0380014159492,140.79399716810158,2018-02-07 16:00:00,134.0380014159492,SL,26,2.271998584050806,-1.0,-1.0055017639921686,Immediate V,I0 厳格,完全回復100%、実体60%、回復本数<=下落本数、回復速度>=下落速度,,,,,,,,
GBPJPY,H4,I0_STRICT_100_BODY60_REC1_SPEED1,V字フィボ,2018-02-01 08:00:00,long,8042,8054,155.81,151.99,6.075043642188385,12,12.0,1.0,0.5062536368490321,0.5354096054633742,1.057591623036649,155.81,2018-02-01 12:00:00,156.05,151.83279948322215,164.4244010335557,2018-02-06 00:00:00,151.83279948322215,SL,16,4.217200516777865,-1.0,-1.0047424825830342,Immediate V,I0 厳格,完全回復100%、実体60%、回復本数<=下落本数、回復速度>=下落速度,,,,,,,,
USDJPY,H4,I0_STRICT_100_BODY60_REC1_SPEED1,V字フィボ,2018-06-11 20:00:00,long,7126,7136,110.266,109.198,4.252015229305867,10,10.0,1.0,0.4252015229305866,0.47496761877920346,1.1170411985018713,110.266,2018-06-12 00:00:00,110.394,109.13520624560331,112.90258750879339,2018-07-17 12:00:00,112.90258750879339,TP,158,1.2587937543966916,1.9928502981774692,1.9849061850413314,Immediate V,I0 厳格,完全回復100%、実体60%、回復本数<=下落本数、回復速度>=下落速度,,,,,,,,
XAUUSD,H4,I0_STRICT_100_BODY60_REC1_SPEED1,V字フィボ,2018-07-03 12:00:00,long,7173,7182,1255.569,1237.949,3.941526609760708,9,3.0,0.3333333333333333,0.43794740108452307,1.3846793254494238,1.053916004540298,1255.569,2018-07-03 16:00:00,1256.518,1236.8314127207232,1295.8941745585537,2018-07-13 12:00:00,1236.8314127207232,SL,48,19.686587279276864,-1.0,-1.0177786020011994,Immediate V,I0 厳格,完全回復100%、実体60%、回復本数<=下落本数、回復速度>=下落速度,,,,,,,,
EURJPY,H4,I0_STRICT_100_BODY60_REC1_SPEED1,V字フィボ,2018-07-31 04:00:00,long,7250,7260,130.26,129.11,4.057122917336586,10,10.0,1.0,0.4057122917336586,0.48332681710879444,1.1913043478260898,130.26,2018-07-31 08:00:00,130.49,129.03913697567026,133.36172604865945,2018-08-03 12:00:00,129.03913697567026,SL,19,1.450863024329749,-1.0,-1.0086155617659105,Immediate V,I0 厳格,完全回復100%、実体60%、回復本数<=下落本数、回復速度>=下落速度,,,,,,,,
XAUUSD,H4,I0_STRICT_100_BODY60_REC1_SPEED1,V字フィボ,2018-08-24 12:00:00,long,7408,7417,1201.558,1183.118,3.5062243796662194,9,3.0,0.3333333333333333,0.3895804866295799,1.5978292952166533,1.3671366594360066,1201.558,2018-08-24 16:00:00,1208.321,1181.803195383748,1261.3776092325038,2018-09-28 04:00:00,1181.803195383748,SL,152,26.51780461625185,-1.0,-1.0131986793426193,Immediate V,I0 厳格,完全回復100%、実体60%、回復本数<=下落本数、回復速度>=下落速度,,,,,,,,
XAUUSD,H4,I0_STRICT_100_BODY60_REC1_SPEED1,V字フィボ,2019-02-15 08:00:00,long,8167,8173,1318.078,1302.288,3.9092101211799446,6,5.0,0.8333333333333334,0.6515350201966574,0.7970431326236053,1.0194426852438263,1318.078,2019-02-15 12:00:00,1318.335,1301.2782052134235,1352.598589573153,2019-03-01 16:00:00,1301.2782052134235,SL,63,17.056794786576575,-1.0,-1.020519681709226,Immediate V,I0 厳格,完全回復100%、実体60%、回復本数<=下落本数、回復速度>=下落速度,,,,,,,,
USDJPY,H4,I0_STRICT_100_BODY60_REC1_SPEED1,V字フィボ,2019-02-28 12:00:00,long,8280,8290,111.234,110.351,3.683130421789809,10,7.0,0.7,0.3683130421789809,0.5642977688780095,1.0724801812004614,111.234,2019-02-28 16:00:00,111.299,110.29106457151394,113.31187085697212,2019-03-22 12:00:00,110.29106457151394,SL,98,1.0079354284860642,-1.0,-1.0099212704677036,Immediate V,I0 厳格,完全回復100%、実体60%、回復本数<=下落本数、回復速度>=下落速度,,,,,,,,
