ladder,stage,note,trigger_type,trades,win_rate,total_r_after_cost,avg_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_hold_bars
Immediate V,I4 61.8%回復,61.8%回復で入る,SILVER,23,34.78260869565217,0.12782413224426414,0.005557570967141919,1.0083617924212518,7.043275944035805,4,57.43478260869565
Immediate V,I4 61.8%回復,61.8%回復で入る,USDJPY,33,42.42424242424242,3.6088555995066343,0.10935926059111013,1.1882733666717042,8.442811345402419,7,73.72727272727273
Immediate V,I4 61.8%回復,61.8%回復で入る,CHFJPY,22,40.909090909090914,3.879254238291111,0.1763297381041414,1.3107325422162772,4.053131205399345,5,75.9090909090909
Immediate V,I5 急落条件を緩和,61.8%回復、下落幅3.0ATR、下落速度0.25ATR/本,AUDJPY,58,44.827586206896555,19.26656046259517,0.33218207694129603,1.6424078400011142,3.1673486584558734,4,61.39655172413793
Immediate V,I5 急落条件を緩和,61.8%回復、下落幅3.0ATR、下落速度0.25ATR/本,GBPJPY,71,33.80281690140845,-8.564781022996469,-0.12063071863375308,0.819634500110617,14.55505207573306,6,56.436619718309856
Immediate V,I5 急落条件を緩和,61.8%回復、下落幅3.0ATR、下落速度0.25ATR/本,USDJPY,63,46.03174603174603,17.5056435471224,0.2778673578908317,1.540816727687406,4.060789012647419,4,71.80952380952381
Immediate V,I5 急落条件を緩和,61.8%回復、下落幅3.0ATR、下落速度0.25ATR/本,XAUUSD,64,34.375,2.2284170841369857,0.0348190169396404,1.0555331600461293,8.855986964051706,6,59.578125
Immediate V,I5 急落条件を緩和,61.8%回復、下落幅3.0ATR、下落速度0.25ATR/本,SILVER,58,37.93103448275862,5.122409254145108,0.08831740093353634,1.136722563313354,12.355778591580723,8,58.08620689655172
Immediate V,I5 急落条件を緩和,61.8%回復、下落幅3.0ATR、下落速度0.25ATR/本,EURJPY,69,44.927536231884055,18.962574969780118,0.2748199270982626,1.494362119217102,8.119098204936583,8,66.46376811594203
Immediate V,I5 急落条件を緩和,61.8%回復、下落幅3.0ATR、下落速度0.25ATR/本,CHFJPY,65,47.69230769230769,21.719936178162982,0.3341528642794305,1.640503593189591,6.11751691137605,5,71.61538461538461
Immediate V,I6 実体50%,I5から実体条件を50%へ緩和,AUDJPY,75,38.666666666666664,11.031095113605783,0.14708126818141043,1.2497641883530821,8.46995078811975,5,61.56
Immediate V,I6 実体50%,I5から実体条件を50%へ緩和,GBPJPY,82,35.36585365853659,-4.412244167370367,-0.05380785569963862,0.9176242448998316,12.353973668478039,7,54.97560975609756
Immediate V,I6 実体50%,I5から実体条件を50%へ緩和,USDJPY,73,43.83561643835616,16.381218927965104,0.2244002592871932,1.4150843978715946,5.075356034589927,4,68.5068493150685
Immediate V,I6 実体50%,I5から実体条件を50%へ緩和,XAUUSD,73,35.61643835616438,5.122324638755906,0.07016883066788912,1.1133239619153066,8.855986964051706,6,56.9041095890411
Immediate V,I6 実体50%,I5から実体条件を50%へ緩和,SILVER,64,39.0625,7.819372134681197,0.12217768960439371,1.19233485195651,13.471387456760596,8,56.828125
Immediate V,I6 実体50%,I5から実体条件を50%へ緩和,EURJPY,79,41.77215189873418,14.818228443919699,0.18757251194835062,1.319030558681485,7.052016521537839,5,62.79746835443038
Immediate V,I6 実体50%,I5から実体条件を50%へ緩和,CHFJPY,74,45.94594594594595,19.794075610820467,0.26748750825433065,1.4943524974030815,8.144996612459542,7,69.63513513513513
Immediate V,I7 実体条件なし,I5から実体条件を撤廃,AUDJPY,79,40.50632911392405,14.009998841928478,0.17734175749276554,1.3100624298419976,7.528795883705908,6,64.62025316455696
Immediate V,I7 実体条件なし,I5から実体条件を撤廃,GBPJPY,96,39.58333333333333,8.262876276025452,0.08607162787526512,1.140914295011545,8.33004083379123,7,52.166666666666664
Immediate V,I7 実体条件なし,I5から実体条件を撤廃,USDJPY,80,43.75,17.26065230139355,0.21575815376741936,1.3968331309814173,6.467659550907677,5,67.7625
Immediate V,I7 実体条件なし,I5から実体条件を撤廃,XAUUSD,79,37.9746835443038,10.299568805177822,0.130374288673137,1.218200054954844,8.495265494244945,7,60.22784810126582
Immediate V,I7 実体条件なし,I5から実体条件を撤廃,EURJPY,97,39.175257731958766,10.679331348657257,0.11009619947069338,1.1816299047343377,5.314064932351744,5,60.83505154639175
Immediate V,I7 実体条件なし,I5から実体条件を撤廃,CHFJPY,85,42.35294117647059,14.121582238911245,0.16613626163424994,1.2866985309128554,8.14499661245954,7,68.4235294117647
Immediate V,I7 実体条件なし,I5から実体条件を撤廃,SILVER,78,37.17948717948718,4.788062695080969,0.06138541916770473,1.0932505954824214,12.678819098035556,9,53.37179487179487
