lookback_bars,lookback_label,trigger_mode,filter,filter_notes,all_trades,all_win_rate,all_total_r,all_avg_r,all_pf,all_max_dd_r,all_max_losing_streak,train_trades,train_win_rate,train_total_r,train_avg_r,train_pf,train_max_dd_r,train_max_losing_streak,test_trades,test_win_rate,test_total_r,test_avg_r,test_pf,test_max_dd_r,test_max_losing_streak,oos_trades,oos_win_rate,oos_total_r,oos_avg_r,oos_pf,oos_max_dd_r,oos_max_losing_streak,avg_mfe_r,hit_1r_rate,hit_1_5r_rate,hit_2r_rate,giveback_1r_to_loss_rate,giveback_1_5r_to_loss_rate,score
480,1m,either,ADX30_RISK_LE3_BBW3_12,ADX>=30 + risk<=3H1ATR + BB幅3-12H1ATR,66,46.96969696969697,24.27717055559486,0.36783591750901307,1.6739081420203055,5.361459879104707,4,40,45.0,12.150461376599868,0.3037615344149967,1.5362747926546556,5.361459879104707,4,22,54.54545454545454,13.220890261310469,0.600949557332294,2.2814413822744557,4.231280781340516,3,4,25.0,-1.0941810823154752,-0.2735452705788688,0.6412629884122134,2.0376636721238803,3,1.41688827431981,59.09090909090909,54.54545454545454,46.96969696969697,12.121212121212121,7.575757575757576,40.9471257114476
240,0.5m,rebreak,GBP_ADX25_RISK_LE4_BBW3_14,GBPJPY + ADX>=25 + risk<=4H1ATR + BB幅3-14H1ATR,37,56.75675675675676,25.013554339673185,0.6760420091803564,2.5232262287912457,2.1445916248935966,2,20,65.0,18.394980906821957,0.9197490453410978,3.548334789886712,1.0489070299715486,1,14,42.857142857142854,3.6690493806643834,0.26207495576174167,1.4484382134542861,2.0495943251118915,2,3,66.66666666666666,2.9495240521868404,0.9831746840622801,3.8884057266369236,1.0211598824175852,1,1.5042333140751156,62.16216216216216,59.45945945945946,56.75675675675676,5.405405405405405,2.7027027027027026,34.107659955759715
240,0.5m,either,ADX25_RISK_LE4_BBW3_14,ADX>=25 + risk<=4H1ATR + BB幅3-14H1ATR,237,39.24050632911392,30.525789930339165,0.12880080139383615,1.204934927350005,23.866645374238285,13,143,41.25874125874126,25.050033902164362,0.17517506225289764,1.2846717783230404,23.866645374238285,13,76,36.84210526315789,5.8128481309433395,0.07648484382820184,1.1193317439983443,12.558025315738963,8,18,33.33333333333333,-0.33709210276853274,-0.018727339042696262,0.9724726385552882,5.103651806014289,5,1.2965766451950465,54.43037974683544,48.52320675105485,38.81856540084388,15.18987341772152,9.70464135021097,32.25468447683695
240,0.5m,rebreak,ADX25_RISK_LE4_BBW3_14,ADX>=25 + risk<=4H1ATR + BB幅3-14H1ATR,184,40.21739130434783,29.592689866295323,0.16082983622986588,1.2611530159819078,16.186494073164887,9,107,42.05607476635514,20.93098938619275,0.19561672323544627,1.3210763845358706,16.186494073164887,9,61,36.0655737704918,3.9666436242820526,0.06502694466036152,1.1018900752228218,8.580935801465342,6,16,43.75,4.695056855820527,0.2934410534887829,1.5106186547145093,4.10032229393879,4,1.330655436141724,55.434782608695656,48.369565217391305,39.67391304347826,15.217391304347828,8.695652173913043,32.21051105804394
240,0.5m,either,GBP_ADX25_RISK_LE4_BBW3_14,GBPJPY + ADX>=25 + risk<=4H1ATR + BB幅3-14H1ATR,44,50.0,20.882172035440714,0.47459481898728895,1.9270011918326835,3.376638970465212,3,23,56.52173913043478,15.344429217643231,0.6671490964192709,2.4953217272243426,2.1678877788772777,2,17,41.17647058823529,3.595789956129972,0.21151705624293954,1.35128065885555,3.0784703900979977,3,4,50.0,1.9419528616675135,0.48548821541687837,1.9572253748034858,1.0166332098045865,1,1.4442602372769586,59.09090909090909,56.81818181818182,50.0,9.090909090909092,6.8181818181818175,28.178340707962217
480,1m,rebreak,ADX30_RISK_LE3_BBW3_12,ADX>=30 + risk<=3H1ATR + BB幅3-12H1ATR,59,40.67796610169492,10.54773802401887,0.17877522074608254,1.2919254663289068,8.047546624437992,6,37,37.83783783783784,3.337277103170331,0.09019667846406301,1.1405025846698615,8.047546624437992,6,17,52.94117647058824,9.325801885581596,0.5485765815047997,2.122517332173096,4.17876586160054,4,5,20.0,-2.1153409647330603,-0.4230681929466121,0.4804200904167958,2.0376636721238803,3,1.27701800520872,50.847457627118644,49.152542372881356,40.67796610169492,10.16949152542373,8.47457627118644,20.733839979920525
240,0.5m,either,ADX30_RISK_LE3_BBW3_12,ADX>=30 + risk<=3H1ATR + BB幅3-12H1ATR,104,41.34615384615385,18.913053297988967,0.18185628171143237,1.2952566335572886,16.860484078122088,8,66,43.93939393939394,17.085571756030053,0.2588722993337887,1.4399456014032712,16.860484078122088,8,36,36.11111111111111,0.8763071504872542,0.024341865291312617,1.036226907149493,7.7424912016850085,5,2,50.0,0.9511743914716575,0.47558719573582875,1.9223300843985132,0.0,1,1.3574916918008606,55.769230769230774,50.96153846153846,41.34615384615385,14.423076923076922,9.615384615384617,17.77218261944617
480,1m,rebreak,GBP_ADX25_RISK_LE4_BBW3_14,GBPJPY + ADX>=25 + risk<=4H1ATR + BB幅3-14H1ATR,21,52.38095238095239,11.473160390130168,0.5463409709585795,2.125107422037058,3.081930429252081,3,13,61.53846153846154,10.611240057534237,0.8162492351949413,3.066455257094502,3.0717005572658476,3,6,50.0,2.8885313597893014,0.4814218932982169,1.9514944328217971,2.020894406896131,2,2,0.0,-2.02661102719337,-1.013305513596685,0.0,1.021159882417585,2,1.549920463576966,66.66666666666666,61.904761904761905,52.38095238095239,14.285714285714285,9.523809523809524,17.479386720435684
480,1m,either,ADX25_RISK_LE4_BBW3_14,ADX>=25 + risk<=4H1ATR + BB幅3-14H1ATR,154,37.01298701298701,8.779364573317352,0.05700886086569709,1.0884292228757357,15.023138660219352,10,95,38.94736842105263,8.731556018306616,0.09191111598217491,1.1454661974329214,14.310388770201854,10,46,39.130434782608695,7.227206693756627,0.15711318899470927,1.2569729911017733,8.077263089716457,6,13,15.384615384615385,-7.179398138745889,-0.5522613952881453,0.35508038527975594,7.149241998759411,6,1.2467668177224633,52.5974025974026,42.857142857142854,35.714285714285715,15.584415584415584,7.142857142857142,14.012692607108987
240,0.5m,rebreak,ADX30_RISK_LE3_BBW3_12,ADX>=30 + risk<=3H1ATR + BB幅3-12H1ATR,85,38.82352941176471,9.417846428317437,0.11079819327432279,1.1724035686788123,14.470336339686005,6,53,37.735849056603776,3.8360330624678896,0.07237798231071489,1.109629310719993,14.470336339686005,6,28,39.285714285714285,3.695887400645017,0.1319959785944649,1.2101921903919968,6.2880789009428675,6,4,50.0,1.8859259652045315,0.47148149130113287,1.9188732572256104,2.0524331842008126,2,1.300917070839557,52.94117647058824,47.05882352941176,38.82352941176471,14.117647058823529,8.235294117647058,11.850923565946058
360,0.75m,rebreak,GBP_ADX25_RISK_LE4_BBW3_14,GBPJPY + ADX>=25 + risk<=4H1ATR + BB幅3-14H1ATR,29,44.827586206896555,9.245454017002608,0.3188087592069865,1.5646744613800994,4.112645008793354,3,16,56.25,10.542211909967927,0.6588882443729954,2.4648934682592136,3.0717005572658476,3,11,36.36363636363637,0.7336353940244011,0.06669412672949102,1.1026622964342625,3.05365021222607,3,2,0.0,-2.030393286989719,-1.0151966434948596,0.0,1.0211598824175854,2,1.5211646433645283,62.06896551724138,62.06896551724138,44.827586206896555,17.24137931034483,17.24137931034483,10.937564735841594
360,0.75m,either,GBP_ADX25_RISK_LE4_BBW3_14,GBPJPY + ADX>=25 + risk<=4H1ATR + BB幅3-14H1ATR,30,43.333333333333336,8.246224056723303,0.2748741352241101,1.4748777861096862,4.103582989508094,3,17,52.94117647058824,9.533919930403362,0.5608188194354919,2.163027060656912,2.1678877788772777,2,11,36.36363636363637,0.7336353940244011,0.06669412672949102,1.1026622964342625,3.05365021222607,3,2,0.0,-2.0213312677044595,-1.0106656338522297,0.0,1.0092334045721338,2,1.513890633364023,63.33333333333333,60.0,43.333333333333336,20.0,16.666666666666664,9.675065109181688
480,1m,either,GBP_ADX25_RISK_LE4_BBW3_14,GBPJPY + ADX>=25 + risk<=4H1ATR + BB幅3-14H1ATR,24,41.66666666666667,3.9518198559757085,0.16465916066565453,1.2767996831415178,4.089501619771408,4,15,46.666666666666664,4.097470713899104,0.27316471425994027,1.4992740970669343,3.083588636895879,3,6,50.0,2.8885313597893014,0.4814218932982169,1.9514944328217971,2.020894406896131,2,3,0.0,-3.034182217712697,-1.011394072570899,0.0,2.0220843545803717,3,1.3485506959709719,62.5,45.83333333333333,37.5,20.833333333333336,8.333333333333332,7.331118408584153
1920,4m,stagnation,ADX30_RISK_LE2_BBW3_10,ADX>=30 + risk<=2H1ATR + BB幅3-10H1ATR,0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2880,6m,stagnation,ADX30_RISK_LE2_BBW3_10,ADX>=30 + risk<=2H1ATR + BB幅3-10H1ATR,0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
