support_age_bucket,trigger_mode,filter,filter_notes,all_trades,all_win_rate,all_total_r,all_avg_r,all_pf,all_max_dd_r,all_max_losing_streak,train_trades,train_win_rate,train_total_r,train_avg_r,train_pf,train_max_dd_r,train_max_losing_streak,test_trades,test_win_rate,test_total_r,test_avg_r,test_pf,test_max_dd_r,test_max_losing_streak,oos_trades,oos_win_rate,oos_total_r,oos_avg_r,oos_pf,oos_max_dd_r,oos_max_losing_streak,avg_mfe_r,hit_1r_rate,hit_1_5r_rate,hit_2r_rate,giveback_1r_to_loss_rate,giveback_1_5r_to_loss_rate,score
01_97-239bars,rebreak,ADX25_RISK_LE4_BBW3_14,ADX>=25 + risk<=4H1ATR + BB幅3-14H1ATR,126,50.79365079365079,56.43818210838013,0.44792208022523916,1.8868716307175672,19.81534166292837,19,92,53.2608695652174,46.06776552294714,0.5007365817711645,2.0313608649923798,19.81534166292837,19,26,46.15384615384615,9.516195284811168,0.3660075109542757,1.6834105495845955,7.1222276833005616,7,8,37.5,0.8542213006218242,0.10677766257772803,1.1692922613652954,5.045837853028635,5,1.469473539209983,58.730158730158735,55.55555555555556,48.41269841269841,7.936507936507936,7.142857142857142,66.58234098603997
01_97-239bars,either,ADX30_RISK_LE3_BBW3_12,ADX>=30 + risk<=3H1ATR + BB幅3-12H1ATR,80,60.0,60.60247756831928,0.757530969603991,2.8182219036828218,11.62683198775894,11,59,67.79661016949152,58.46598553995573,0.9909489074568768,3.934164090200824,11.62683198775894,11,21,38.095238095238095,2.136492028363556,0.1017377156363598,1.1593839772703665,9.312744498871233,9,0,0.0,0.0,0.0,,0.0,0,1.669424535535552,66.25,63.74999999999999,60.0,6.25,3.75,66.10790578751461
01_97-239bars,rebreak,ADX30_RISK_LE3_BBW3_12,ADX>=30 + risk<=3H1ATR + BB幅3-12H1ATR,60,63.33333333333333,51.303731541230505,0.8550621923538417,3.2371479667119747,11.601282908735032,11,48,62.5,39.91658555876232,0.831595532474215,3.1183019063784174,11.601282908735032,11,10,60.0,7.4753230701672635,0.7475323070167263,2.8281639643884815,2.100540649990558,2,2,100.0,3.9118229123009183,1.9559114561504591,inf,0.0,0,1.7359822757345185,68.33333333333333,68.33333333333333,63.33333333333333,5.0,5.0,64.0311952343748
01_97-239bars,either,ADX25_RISK_LE4_BBW3_14,ADX>=25 + risk<=4H1ATR + BB幅3-14H1ATR,159,47.79874213836478,55.35198239508494,0.34812567544078576,1.6478570289659675,15.600209091166917,12,110,54.54545454545454,57.44935511050619,0.5222668646409654,2.10491532831627,13.707404219194494,12,41,31.70731707317073,-2.9668974680701705,-0.07236335287976026,0.8955258493334302,15.600209091166956,11,8,37.5,0.869524752648914,0.10869059408111426,1.1723251475722718,5.045837853028635,5,1.3570415272201102,55.9748427672956,50.943396226415096,44.65408805031446,8.176100628930817,6.289308176100629,48.93201289133812
01_97-239bars,either,GBP_ADX25_RISK_LE4_BBW3_14,GBPJPY + ADX>=25 + risk<=4H1ATR + BB幅3-14H1ATR,23,82.6086956521739,30.366310623174,1.3202743749206087,8.406848781409533,2.036736308776721,2,18,88.88888888888889,26.46915187166499,1.4705084373147217,13.830263496630035,1.0387821621759983,1,4,50.0,1.9089225101594702,0.47723062753986756,1.9372457798947882,2.0367363087767205,2,1,100.0,1.9882362413495407,1.9882362413495407,inf,0.0,0,2.109688902029018,86.95652173913044,78.26086956521739,73.91304347826086,4.3478260869565215,4.3478260869565215,42.42893105785362
01_97-239bars,rebreak,GBP_ADX25_RISK_LE4_BBW3_14,GBPJPY + ADX>=25 + risk<=4H1ATR + BB幅3-14H1ATR,25,56.00000000000001,16.162523133775608,0.6465009253510243,2.432449433623031,8.210120002804773,8,20,55.00000000000001,12.262862858688523,0.6131431429344262,2.325872264615312,8.210120002804773,8,4,50.0,1.9114240337375468,0.4778560084343867,1.9396280348980928,2.034234785198644,2,1,100.0,1.9882362413495407,1.9882362413495407,inf,0.0,0,1.7966071501907672,60.0,56.00000000000001,56.00000000000001,4.0,0.0,21.4221551085866
03_480-959bars,stagnation,ALL,全候補,131,38.16793893129771,12.579607798271748,0.0960275404448225,1.1608810812232537,25.152318682360118,23,91,36.26373626373626,8.27411535150572,0.09092434452204089,1.1514460037344094,22.93646657169556,21,33,48.484848484848484,8.393426508484863,0.2543462578328746,1.4803781026062277,7.292584594810423,7,7,14.285714285714285,-4.087934061718834,-0.5839905802455477,0.3282310728559482,3.064604624438056,4,1.2614113294144982,52.67175572519084,44.274809160305345,34.35114503816794,15.267175572519085,8.396946564885496,16.908631180866095
02_240-479bars,rebreak,ADX25_RISK_LE4_BBW3_14,ADX>=25 + risk<=4H1ATR + BB幅3-14H1ATR,90,40.0,14.69413998745841,0.16326822208287123,1.2605709059539414,19.428757247942546,15,66,43.93939393939394,18.490130103502594,0.28015348641670595,1.4745885612741914,16.213722456025074,15,16,43.75,4.252293995978281,0.26576837474864257,1.453168266813901,5.61005998390263,5,8,0.0,-8.048284112022468,-1.0060355140028086,0.0,7.042379106665891,8,1.3138401107744868,56.666666666666664,46.666666666666664,40.0,16.666666666666664,6.666666666666667,15.85334726493214
02_240-479bars,either,ADX30_RISK_LE3_BBW3_12,ADX>=30 + risk<=3H1ATR + BB幅3-12H1ATR,45,44.44444444444444,12.84086460669326,0.2853525468154058,1.4854166453173923,9.637331220134676,9,30,46.666666666666664,10.68092915124844,0.35603097170828135,1.6294722377069437,9.637331220134676,9,15,40.0,2.159935455444816,0.1439956970296544,1.227716043632673,5.711797233281009,5,0,0.0,0.0,0.0,,0.0,0,1.4627928277354367,57.77777777777777,53.333333333333336,44.44444444444444,13.333333333333334,8.88888888888889,15.650281180772387
02_240-479bars,rebreak,ADX30_RISK_LE3_BBW3_12,ADX>=30 + risk<=3H1ATR + BB幅3-12H1ATR,41,43.90243902439025,11.093743032396581,0.27057909835113614,1.4569268066143133,11.729087286570621,11,30,43.333333333333336,7.7255333789936484,0.2575177792997883,1.4302904024156367,11.729087286570621,11,11,45.45454545454545,3.368209653402933,0.3062008775820848,1.5325395836489684,4.2699496562589125,4,0,0.0,0.0,0.0,,0.0,0,1.4488913202243459,58.536585365853654,53.65853658536586,43.90243902439025,14.634146341463413,9.75609756097561,14.742565994856303
03_480-959bars,stagnation,ADX25_RISK_LE4_BBW3_14,ADX>=25 + risk<=4H1ATR + BB幅3-14H1ATR,29,48.275862068965516,11.891864993399878,0.41006431011723715,1.7721608942826204,4.42641731940968,4,18,55.55555555555556,11.24794241260907,0.6248856895893928,2.372369806984442,4.1164448273377445,4,8,37.5,0.660254979071516,0.0825318723839395,1.1271913982506703,3.2648937008603136,3,3,33.33333333333333,-0.016332398280707094,-0.005444132760235698,0.9918894636273098,1.0066085299148846,1,1.289052307465963,48.275862068965516,48.275862068965516,48.275862068965516,0.0,0.0,13.989984773184844
